kommune_kode,kommune_navn,natur_pct,intensiv_pct,bebygget_pct,natur_ratio,intensiv_ratio,bebygget_ratio,areal_intensiv_ref,areal_bebygget_ref,antropiseret_pct,antropiseret_ratio,areal_antropiseret_ref
101,København,11.0,0.0,77.6,272.73,0.0,546.48,54.7,14.2,80.37,114.18,70.39
147,Frederiksberg,3.2,0.0,90.5,937.5,0.0,637.32,54.7,14.2,89.66,127.38,70.39
151,Ballerup,16.7,4.4,66.0,179.64,8.04,464.79,54.7,14.2,72.87,103.52,70.39
153,Brøndby,16.4,0.4,70.6,182.93,0.73,497.18,54.7,14.2,73.27,104.09,70.39
155,Dragør,22.3,16.4,45.4,134.53,29.98,319.72,54.7,14.2,62.64,88.99,70.39
157,Gentofte,11.0,0.0,84.4,272.73,0.0,594.37,54.7,14.2,85.71,121.76,70.39
159,Gladsaxe,15.4,0.0,80.3,194.81,0.0,565.49,54.7,14.2,84.03,119.38,70.39
161,Glostrup,18.2,0.4,75.5,164.84,0.73,531.69,54.7,14.2,77.1,109.53,70.39
163,Herlev,7.1,1.8,80.9,422.54,3.29,569.72,54.7,14.2,84.03,119.38,70.39
165,Albertslund,41.9,1.0,49.3,71.6,1.83,347.18,54.7,14.2,50.87,72.27,70.39
167,Hvidovre,8.4,1.3,79.6,357.14,2.38,560.56,54.7,14.2,82.22,116.81,70.39
169,Høje-Taastrup,14.6,31.7,37.3,205.48,57.95,262.68,54.7,14.2,70.64,100.36,70.39
173,Lyngby-Taarbæk,40.5,1.3,50.3,74.07,2.38,354.23,54.7,14.2,57.93,82.3,70.39
175,Rødovre,5.3,0.0,88.0,566.04,0.0,619.72,54.7,14.2,88.43,125.63,70.39
183,Ishøj,17.0,31.9,35.5,176.47,58.32,250.0,54.7,14.2,71.08,100.98,70.39
185,Tårnby,47.8,3.0,41.2,62.76,5.48,290.14,54.7,14.2,45.83,65.11,70.39
187,Vallensbæk,17.1,1.0,60.9,175.44,1.83,428.87,54.7,14.2,65.91,93.64,70.39
190,Furesø,44.8,8.7,36.8,66.96,15.9,259.15,54.7,14.2,52.54,74.64,70.39
201,Allerød,32.3,24.0,28.8,92.88,43.88,202.82,54.7,14.2,55.26,78.51,70.39
210,Fredensborg,30.7,23.3,24.0,97.72,42.6,169.01,54.7,14.2,51.21,72.75,70.39
217,Helsingør,35.3,19.9,31.2,84.99,36.38,219.72,54.7,14.2,54.1,76.86,70.39
219,Hillerød,39.1,30.5,18.9,76.73,55.76,133.1,54.7,14.2,54.52,77.45,70.39
223,Hørsholm,30.4,7.7,42.3,98.68,14.08,297.89,54.7,14.2,53.77,76.39,70.39
230,Rudersdal,40.1,4.7,43.9,74.81,8.59,309.15,54.7,14.2,53.85,76.5,70.39
240,Egedal,23.7,36.6,23.8,126.58,66.91,167.61,54.7,14.2,62.11,88.24,70.39
250,Frederikssund,22.2,49.2,20.1,135.14,89.95,141.55,54.7,14.2,70.16,99.67,70.39
253,Greve,10.1,31.9,44.9,297.03,58.32,316.2,54.7,14.2,78.17,111.05,70.39
259,Køge,23.7,47.9,19.3,126.58,87.57,135.92,54.7,14.2,68.54,97.37,70.39
