n_km,e_km,befolkning
3497,4445,15
3497,4446,93
3497,4447,1
3497,4448,6
3498,4445,430
3498,4446,156
3498,4447,4
3498,4448,4
3499,4445,17
3499,4446,19
3499,4447,14
3499,4448,9
3500,4445,5
3500,4446,10
3500,4447,28
3500,4448,8
3501,4445,13
3501,4446,127
3501,4447,27
3501,4448,5
3502,4416,1
3502,4444,15
3502,4445,5
3503,4412,3
3503,4443,13
3503,4444,11
3504,4411,2
3504,4412,32
3504,4413,5
3504,4415,7
3504,4418,2
3504,4420,1
3504,4443,60
3504,4444,57
3505,4411,6
3505,4412,12
3505,4413,1
3505,4415,14
3505,4416,9
3505,4417,21
3505,4418,14
3505,4419,20
3505,4420,29
3505,4443,33
3505,4444,6
3506,4407,45
3506,4408,343
3506,4409,2
3506,4410,9
3506,4411,15
3506,4412,11
3506,4413,7
3506,4414,12
3506,4415,31
3506,4416,16
3506,4417,20
3506,4418,11
3506,4419,4
3506,4420,4
3506,4432,8
3506,4433,22
3506,4434,3
3506,4435,17
3506,4436,9
3506,4437,12
3506,4438,1
3506,4439,2
3506,4442,4
3506,4443,32
3506,4446,72
3506,4447,35
3507,4407,55
3507,4408,374
3507,4409,360
3507,4410,8
3507,4411,1
3507,4412,1
3507,4413,21
3507,4414,3
3507,4416,16
3507,4417,144
3507,4418,27
3507,4419,3
3507,4422,13
3507,4423,5
3507,4424,2
3507,4427,7
3507,4429,9
3507,4430,39
3507,4432,380
3507,4433,269
3507,4434,17
3507,4435,34
3507,4436,40
3507,4437,23
3507,4438,21
3507,4441,6
3507,4442,11
3507,4443,14
3507,4446,83
3507,4447,56
3508,4406,2
3508,4407,6
3508,4408,6
3508,4409,445
3508,4410,10
3508,4411,3
3508,4412,17
3508,4413,23
3508,4414,63
3508,4415,11
3508,4416,22
3508,4417,127
3508,4418,5
3508,4419,5
3508,4420,4
3508,4421,2
3508,4422,5
3508,4423,14
3508,4424,15
3508,4425,2
3508,4427,4
3508,4428,13
3508,4429,17
3508,4430,29
3508,4431,3
3508,4432,495
3508,4433,172
3508,4434,8
3508,4435,21
3508,4436,9
3508,4437,1
3508,4441,8
3508,4442,8
3508,4443,22
3508,4446,50
3508,4447,40
3509,4405,21
3509,4406,6
3509,4408,18
3509,4409,39
3509,4410,293
3509,4411,10
3509,4412,23
3509,4413,3
3509,4414,44
3509,4415,28
3509,4416,8
3509,4417,11
3509,4419,3
3509,4420,1
3509,4421,9
3509,4422,4
3509,4423,8
3509,4424,5
3509,4425,11
3509,4427,7
3509,4428,15
3509,4429,23
3509,4430,49
3509,4431,10
3509,4433,13
3509,4434,23
3509,4435,6
3509,4436,3
3509,4442,10
3509,4443,120
3509,4444,7
3509,4445,3
3509,4446,36
3509,4447,100
3510,4406,2
3510,4408,3
3510,4409,64
3510,4410,1131
3510,4411,230
3510,4412,19
3510,4413,20
3510,4414,5
3510,4415,7
3510,4416,21
3510,4417,29
3510,4419,3
3510,4420,18
3510,4421,10
3510,4422,111
3510,4423,10
3510,4424,21
3510,4425,37
3510,4426,14
3510,4427,11
3510,4428,60
3510,4429,6
3510,4430,6
3510,4431,7
3510,4432,74
3510,4433,21
3510,4434,20
3510,4435,12
3510,4436,11
3510,4437,5
3510,4438,2
3510,4439,12
3510,4440,5
3510,4442,10
3510,4443,19
3510,4444,17
3510,4446,58
3510,4447,185
3511,4401,13
3511,4402,32
3511,4403,10
3511,4404,2
3511,4405,1
3511,4407,6
3511,4409,12
3511,4410,144
3511,4411,180
3511,4413,6
3511,4414,41
3511,4415,8
3511,4416,22
3511,4418,11
3511,4420,21
3511,4421,32
3511,4422,37
3511,4423,60
3511,4424,11
3511,4425,160
3511,4426,88
3511,4427,10
3511,4428,104
3511,4429,4
3511,4430,29
3511,4431,39
3511,4432,313
3511,4433,138
3511,4434,26
3511,4435,11
3511,4436,21
3511,4437,21
3511,4438,13
3511,4443,25
3511,4444,43
3511,4445,11
3511,4446,40
3511,4447,291
3511,4448,19
3512,4399,27
3512,4400,11
3512,4401,5
3512,4402,7
3512,4406,2
3512,4407,2
3512,4408,4
3512,4409,4
3512,4410,51
