kommune_kode,kommune_navn,pct_vasentlig_natur,pct_uerstattelig_natur,bioscore_mean,biodiversitet_ratio,uerstattelig_ratio
0101,København,7.19,1.59,1.34,23.97,15.9
0147,Frederiksberg,0.61,0.0,0.32,2.03,0.0
0151,Ballerup,1.33,0.08,0.65,4.43,0.8
0153,Brøndby,2.4,0.0,0.59,8.0,0.0
0155,Dragør,15.99,7.55,2.75,53.3,75.5
0157,Gentofte,7.16,1.25,1.25,23.87,12.5
0159,Gladsaxe,11.15,5.27,1.61,37.17,52.7
0161,Glostrup,0.04,0.0,0.32,0.13,0.0
0163,Herlev,0.98,0.12,0.73,3.27,1.2
0165,Albertslund,2.14,0.0,1.13,7.13,0.0
0167,Hvidovre,0.29,0.07,0.51,0.97,0.7
0169,Høje-Taastrup,2.13,0.71,0.64,7.1,7.1
0173,Lyngby-Taarbæk,44.09,35.13,6.18,146.97,351.3
0175,Rødovre,0.33,0.0,0.23,1.1,0.0
0183,Ishøj,3.61,0.44,0.96,12.03,4.4
0185,Tårnby,49.2,46.46,7.78,164.0,464.6
0187,Vallensbæk,2.53,0.0,0.97,8.43,0.0
0190,Furesø,33.34,17.83,4.61,111.13,178.3
0201,Allerød,15.41,3.59,2.34,51.37,35.9
0210,Fredensborg,9.84,5.33,2.17,32.8,53.3
0217,Helsingør,18.27,8.8,3.19,60.9,88.0
0219,Hillerød,27.97,14.12,3.83,93.23,141.2
0223,Hørsholm,4.99,3.78,1.85,16.63,37.8
0230,Rudersdal,26.71,14.55,4.18,89.03,145.5
0240,Egedal,9.62,4.11,1.81,32.07,41.1
0250,Frederikssund,11.56,4.34,1.96,38.53,43.4
0253,Greve,0.73,0.06,0.42,2.43,0.6
0259,Køge,7.02,0.1,1.4,23.4,1.0
0260,Halsnæs,26.76,17.9,4.24,89.2,179.0
0265,Roskilde,4.09,1.09,0.91,13.63,10.9
0269,Solrød,3.32,1.19,0.77,11.07,11.9
0270,Gribskov,25.29,19.83,3.98,84.3,198.3
0306,Odsherred,4.16,1.13,1.51,13.87,11.3
