kommune_kode,boerneovervaeght_raw,boerneovervaeght_ratio
101,11.5,121.74
147,9.5,147.37
151,21.2,66.04
153,9.6,145.83
155,10.4,134.62
157,11.8,118.64
159,18.5,75.68
161,11.8,118.64
163,15.9,88.05
165,18.2,76.92
167,13.6,102.94
169,19.3,72.54
173,10.4,134.62
175,15.4,90.91
183,23.4,59.83
185,14.5,96.55
187,15.0,93.33
190,10.5,133.33
201,9.5,147.37
210,14.6,95.89
217,13.9,100.72
219,14.9,93.96
223,14.3,97.9
230,8.4,166.67
240,10.7,130.84
250,14.9,93.96
253,15.1,92.72
259,24.2,57.85
260,21.0,66.67
265,12.3,113.82
269,13.8,101.45
270,16.9,82.84
306,25.0,56.0
316,13.5,103.7
320,0.0,150
326,17.9,78.21
329,18.2,76.92
330,15.2,92.11
336,14.8,94.59
340,10.7,130.84
350,11.1,126.13
360,21.8,64.22
370,17.7,79.1
376,18.0,77.78
390,17.4,80.46
400,15.7,89.17
410,13.0,107.69
420,16.8,83.33
430,15.6,89.74
440,17.1,81.87
450,5.9,237.29
461,14.9,93.96
479,13.8,101.45
480,16.7,83.83
482,17.1,81.87
492,0.0,150
510,7.4,189.19
530,14.6,95.89
540,0.0,150
550,17.3,80.92
561,16.3,85.89
563,15.6,89.74
573,,
575,16.1,86.96
580,23.5,59.57
607,14.1,99.29
615,14.6,95.89
621,21.4,65.42
630,14.3,97.9
657,13.4,104.48
661,12.8,109.38
665,19.9,70.35
671,10.4,134.62
706,13.6,102.94
707,21.1,66.35
710,12.2,114.75
727,7.7,181.82
730,17.1,81.87
740,12.5,112.0
741,,
746,9.5,147.37
751,12.3,113.82
756,13.8,101.45
760,,
766,17.7,79.1
773,18.3,76.5
779,16.2,86.42
787,16.9,82.84
791,22.2,63.06
810,17.6,79.55
813,14.3,97.9
820,13.8,101.45
825,0.0,150
840,12.3,113.82
846,18.0,77.78
849,18.2,76.92
851,11.6,120.69
860,14.7,95.24
