kommune_kode,housing_area_m2,housing_area_ratio,housing_area_ref
101,40.9,75.88,53.9
147,47.4,87.94,53.9
151,45.1,83.67,53.9
153,41.4,76.81,53.9
155,53.9,100.0,53.9
157,54.3,100.74,53.9
159,41.7,77.37,53.9
161,43.3,80.33,53.9
163,43.2,80.15,53.9
165,41.9,77.74,53.9
167,42.3,78.48,53.9
169,42.0,77.92,53.9
173,46.9,87.01,53.9
175,41.4,76.81,53.9
183,41.6,77.18,53.9
185,44.1,81.82,53.9
187,43.1,79.96,53.9
190,51.2,94.99,53.9
201,53.2,98.7,53.9
210,52.0,96.47,53.9
217,51.4,95.36,53.9
219,51.2,94.99,53.9
223,59.3,110.02,53.9
230,56.3,104.45,53.9
240,50.1,92.95,53.9
250,53.6,99.44,53.9
253,50.5,93.69,53.9
259,51.2,94.99,53.9
260,52.9,98.14,53.9
265,50.1,92.95,53.9
269,52.0,96.47,53.9
270,57.4,106.49,53.9
306,61.0,113.17,53.9
316,55.3,102.6,53.9
320,58.4,108.35,53.9
326,60.1,111.5,53.9
329,53.4,99.07,53.9
330,55.0,102.04,53.9
336,59.9,111.13,53.9
340,58.6,108.72,53.9
350,55.5,102.97,53.9
360,66.1,122.63,53.9
370,56.1,104.08,53.9
376,62.9,116.7,53.9
390,61.9,114.84,53.9
400,64.5,119.67,53.9
410,60.4,112.06,53.9
420,63.5,117.81,53.9
430,63.5,117.81,53.9
440,59.6,110.58,53.9
450,60.0,111.32,53.9
461,50.3,93.32,53.9
479,58.3,108.16,53.9
480,64.0,118.74,53.9
482,71.4,132.47,53.9
492,75.7,140.45,53.9
510,62.0,115.03,53.9
530,60.7,112.62,53.9
540,61.2,113.54,53.9
550,67.4,125.05,53.9
561,57.2,106.12,53.9
563,69.6,129.13,53.9
573,63.1,117.07,53.9
575,63.5,117.81,53.9
580,63.0,116.88,53.9
607,55.2,102.41,53.9
615,54.8,101.67,53.9
621,56.1,104.08,53.9
630,57.0,105.75,53.9
657,59.3,110.02,53.9
661,58.9,109.28,53.9
665,69.5,128.94,53.9
671,65.5,121.52,53.9
706,61.6,114.29,53.9
707,64.7,120.04,53.9
710,58.7,108.91,53.9
727,59.6,110.58,53.9
730,58.3,108.16,53.9
740,57.0,105.75,53.9
741,76.1,141.19,53.9
746,55.6,103.15,53.9
751,46.9,87.01,53.9
756,59.3,110.02,53.9
760,63.9,118.55,53.9
766,62.2,115.4,53.9
773,67.4,125.05,53.9
779,64.9,120.41,53.9
787,65.9,122.26,53.9
791,60.6,112.43,53.9
810,63.8,118.37,53.9
813,63.0,116.88,53.9
820,66.7,123.75,53.9
825,76.3,141.56,53.9
840,63.5,117.81,53.9
846,64.1,118.92,53.9
849,66.6,123.56,53.9
851,54.5,101.11,53.9
860,65.1,120.78,53.9
