kommune_kode,bolig_fossil_ratio,bolig_fossil_raw,fossil_direkte_pct,fossil_via_fjv_pct,fritid_fossil_pct,fritid_andel_pct
101,90.75,9.25,0.41,8.84,27.22,0.55
147,86.52,13.48,0.22,13.27,0.0,0.07
151,54.08,45.92,39.01,6.91,20.9,6.59
153,76.36,23.64,12.48,11.16,0.0,0.34
155,23.47,76.53,75.88,0.65,10.0,4.78
157,70.13,29.87,19.73,10.14,63.64,0.25
159,31.15,68.85,32.12,36.74,9.09,0.69
161,64.46,35.54,33.45,2.09,4.35,5.63
163,56.75,43.25,36.09,7.17,12.5,1.12
165,86.58,13.42,0.23,13.19,0.0,0.76
167,67.92,32.08,30.11,1.98,9.09,0.93
169,66.2,33.8,8.0,25.81,2.27,1.62
173,30.32,69.68,54.26,15.42,44.44,0.31
175,60.16,39.84,31.83,8.01,25.0,0.4
183,74.09,25.91,25.91,0.0,5.88,1.6
185,46.86,53.14,47.96,5.18,14.47,3.68
187,61.41,38.59,30.57,8.02,50.0,0.24
190,16.87,83.13,36.76,46.37,26.32,0.84
201,38.25,61.75,59.73,2.02,22.22,0.61
210,54.89,45.11,40.22,4.88,36.84,0.82
217,58.03,41.97,37.36,4.6,6.92,7.79
219,61.04,38.96,14.32,24.64,11.43,1.18
223,48.45,51.55,49.69,1.87,50.0,0.13
230,19.01,80.99,54.19,26.8,23.53,0.49
240,55.97,44.03,38.94,5.09,18.06,2.97
250,50.07,49.93,37.42,12.51,4.0,15.82
253,47.56,52.44,47.96,4.47,7.69,0.46
259,38.98,61.02,50.01,11.01,12.0,0.74
260,82.03,17.97,13.93,4.04,3.22,31.6
265,76.46,23.54,21.99,1.55,15.0,1.23
269,59.11,40.89,34.26,6.62,0.0,0.15
270,70.38,29.62,19.43,10.18,4.28,37.52
306,69.12,30.88,26.12,4.76,2.44,49.47
316,42.99,57.01,53.02,3.98,6.79,4.87
320,63.72,36.28,33.31,2.98,6.78,2.44
326,88.35,11.65,11.51,0.14,1.84,16.24
329,73.44,26.56,23.19,3.36,7.69,0.64
330,67.49,32.51,29.36,3.15,6.35,7.46
336,53.92,46.08,46.03,0.05,9.02,8.28
340,58.46,41.54,35.77,5.77,21.43,0.73
350,62.61,37.39,34.89,2.5,3.98,9.53
360,84.44,15.56,15.56,0.0,5.81,9.38
370,62.62,37.38,32.25,5.14,10.17,3.44
376,78.47,21.53,11.11,10.41,3.41,14.77
390,76.82,23.18,21.89,1.29,3.76,10.85
400,90.48,9.52,8.62,0.9,7.81,13.67
410,69.31,30.69,23.41,7.28,5.04,5.11
420,76.14,23.86,21.4,2.45,7.79,2.7
430,66.18,33.82,30.64,3.18,8.09,3.67
440,70.37,29.63,22.08,7.55,4.17,7.29
450,79.85,20.15,15.45,4.7,6.59,4.21
461,82.81,17.19,0.77,16.42,6.9,0.51
479,55.12,44.88,37.2,7.67,12.82,2.04
480,65.15,34.85,27.52,7.33,2.39,11.23
482,85.7,14.3,14.16,0.14,3.47,15.01
492,87.32,12.68,12.58,0.1,19.23,4.18
510,64.83,35.17,25.35,9.82,7.78,4.68
530,88.25,11.75,8.47,3.29,1.5,6.98
540,77.84,22.16,17.3,4.85,7.45,4.97
550,74.71,25.29,20.18,5.11,4.0,8.97
561,71.72,28.28,6.74,21.54,4.65,1.21
563,88.49,11.51,2.97,8.54,2.5,54.26
573,73.45,26.55,17.65,8.9,3.36,22.03
575,72.03,27.97,25.58,2.4,17.39,0.79
580,78.65,21.35,21.24,0.1,12.63,2.35
607,93.66,6.34,1.81,4.53,6.38,1.49
615,87.43,12.57,8.74,3.83,10.0,0.69
621,85.01,14.99,11.7,3.3,8.28,2.86
630,74.87,25.13,15.41,9.72,11.46,2.06
657,89.26,10.74,4.83,5.9,6.45,1.06
661,88.86,11.14,6.64,4.5,4.18,6.56
665,87.65,12.35,10.66,1.69,2.62,13.24
671,67.21,32.79,12.47,20.32,11.21,7.48
706,90.92,9.08,8.98,0.1,2.47,24.62
707,89.35,10.65,10.05,0.6,2.71,15.75
710,83.71,16.29,11.59,4.7,13.33,0.49
727,77.36,22.64,7.57,15.07,2.46,11.98
730,80.87,19.13,17.54,1.59,11.9,0.67
740,54.81,45.19,19.25,25.94,11.51,2.21
741,88.95,11.05,10.95,0.1,4.55,17.96
746,88.89,11.11,9.61,1.5,13.95,1.11
751,96.15,3.85,1.1,2.76,8.1,1.49
756,78.41,21.59,8.91,12.68,3.23,1.14
760,77.44,22.56,15.31,7.25,3.52,21.09
766,66.82,33.18,28.39,4.79,2.46,5.97
773,52.74,47.26,36.47,10.78,6.35,4.1
779,70.72,29.28,25.78,3.5,4.5,9.09
787,80.79,19.21,14.76,4.45,4.8,10.14
791,60.55,39.45,20.72,18.73,22.12,1.61
810,78.21,21.79,11.47,10.32,9.38,1.25
813,73.12,26.88,13.5,13.39,8.64,10.38
820,87.5,12.5,11.68,0.82,7.35,8.5
825,72.4,27.6,25.81,1.79,4.55,32.12
840,81.62,18.38,9.58,8.8,7.69,0.61
846,75.09,24.91,20.47,4.43,5.0,8.75
849,76.14,23.86,16.97,6.89,5.31,23.54
851,50.44,49.56,3.83,45.73,4.88,4.18
860,84.17,15.83,12.24,3.59,3.11,11.84
