kommune_kode,housing_no_wc_pct,housing_no_wc_ratio,housing_no_bath_pct,housing_no_bath_ratio
101,0.8686,68.66,3.5825,32.59
147,1.4378,41.48,3.8746,30.13
151,0.7673,77.73,0.113,1033.19
153,0.2013,296.27,0.1006,1160.54
155,0.3091,192.95,0.5857,199.33
157,0.8767,68.03,1.8211,64.11
159,0.0826,722.03,0.8509,137.21
161,0.076,784.74,1.2327,94.71
163,0.0407,1465.36,0.8624,135.38
165,0.1666,357.98,0.2348,497.23
167,0.4904,121.62,0.5271,221.49
169,0.1129,528.26,0.7671,152.2
173,0.4929,121.0,0.9858,118.43
175,0.1263,472.21,0.8454,138.1
183,0.3776,157.94,0.0795,1468.55
185,0.3019,197.55,0.8342,139.95
187,0.0273,2184.62,0.1093,1068.16
190,0.0165,3614.55,0.3252,359.01
201,0.7464,79.9,0.2367,493.24
210,0.096,621.25,0.24,486.46
217,0.5504,108.36,1.9911,58.64
219,0.8052,74.07,0.6272,186.14
223,0.1606,371.36,0.3213,363.37
230,0.4447,134.11,0.3862,302.3
240,0.0749,796.26,0.1873,623.33
250,0.4226,141.13,0.9417,123.98
253,0.1488,400.81,0.1182,987.73
259,0.3901,152.88,0.7305,159.82
260,0.9251,64.47,1.7017,68.61
265,1.3198,45.19,0.6727,173.55
269,0.095,627.79,0.152,768.09
270,0.5635,105.84,0.9586,121.79
306,1.4045,42.46,2.583,45.2
316,0.8814,67.67,1.4062,83.03
320,0.827,72.12,0.8723,133.84
326,0.6372,93.6,1.384,84.36
329,0.7814,76.32,0.966,120.86
330,0.6453,92.42,1.2582,92.79
336,0.6533,91.29,1.3066,89.35
340,0.3691,161.58,1.4136,82.59
350,0.1935,308.22,0.9192,127.01
360,0.4964,120.15,2.5451,45.87
370,0.5106,116.8,1.1238,103.89
376,0.6887,86.6,2.1251,54.94
390,0.7991,74.63,1.8264,63.92
400,0.6088,97.96,1.1378,102.61
410,0.3094,192.76,0.7183,162.54
420,0.2143,278.3,0.8885,131.4
430,0.3954,150.83,0.5136,227.32
440,0.3091,192.95,0.7556,154.51
450,0.1316,453.19,0.6014,194.13
461,0.8239,72.39,0.4106,284.34
479,0.6825,87.38,1.1078,105.39
480,0.244,244.43,0.8874,131.56
482,0.3994,149.32,1.8743,62.29
492,0.6491,91.88,1.7311,67.44
510,0.5036,118.43,0.5962,195.82
530,0.2606,228.86,0.2843,410.66
540,0.2859,208.6,0.5064,230.55
550,0.2776,214.84,0.5495,212.47
561,0.4986,119.61,0.6636,175.93
563,0.287,207.8,0.6315,184.88
573,0.2438,244.63,0.5093,229.24
575,0.2195,271.71,0.3266,357.47
580,0.3989,149.51,0.5895,198.05
607,0.4906,121.57,0.6123,190.67
615,0.9098,65.55,0.5986,195.04
621,0.4296,138.83,0.6697,174.33
630,0.3946,151.14,0.5954,196.09
657,0.583,102.3,0.498,234.44
661,0.4556,130.9,0.5202,224.43
665,0.5032,118.52,1.083,107.8
671,0.2308,258.41,0.5519,211.54
706,0.2457,242.74,1.0958,106.54
707,0.8679,68.72,1.7846,65.42
710,0.1897,314.39,0.5217,223.79
727,0.4912,121.42,0.7324,159.41
730,0.3301,180.67,0.8475,137.76
740,0.3927,151.87,0.6343,184.06
741,0.2575,231.61,1.3903,83.97
746,0.3567,167.2,0.4901,238.22
751,1.2558,47.49,0.4751,245.74
756,0.2443,244.13,0.4211,277.25
760,0.3151,189.27,0.5835,200.09
766,0.0831,717.69,0.4615,252.98
773,0.4309,138.41,2.5133,46.45
779,0.3937,151.49,0.7557,154.49
787,0.936,63.72,1.443,80.91
791,0.4454,133.9,0.6552,178.19
810,0.1639,363.88,0.7081,164.88
813,0.2165,275.47,0.9439,123.69
820,0.2186,272.83,0.1323,882.46
825,0.3083,193.45,0.4111,283.99
840,0.0888,671.62,0.8803,132.63
846,0.3171,188.08,0.0793,1472.26
849,0.1437,415.03,0.6911,168.93
851,0.65,91.75,0.7204,162.06
860,0.4287,139.12,1.1164,104.58
