kommune_kode,kommune,cba_2011_baseline,cba_2023_estimate,cba_estimate,estimat_aar,skaleringsfaktor,delta_pct,confidence_flag
165,Albertslund,13.08,9.4,9.45,2024,0.7226,-27.7,medium
201,Allerød,19.17,13.77,13.85,2024,0.7226,-27.7,medium
420,Assens,15.0,10.78,10.84,2024,0.7226,-27.7,medium
151,Ballerup,15.23,10.94,11.01,2024,0.7226,-27.7,medium
530,Billund,15.04,10.81,10.87,2024,0.7226,-27.7,medium
400,Bornholm,14.24,10.23,10.29,2024,0.7226,-27.7,medium
153,Brøndby,13.79,9.91,9.97,2024,0.7226,-27.7,medium
810,Brønderslev,16.49,11.85,11.92,2024,0.7226,-27.7,medium
155,Dragør,19.87,14.28,14.36,2024,0.7226,-27.7,medium
240,Egedal,17.14,12.32,12.39,2024,0.7226,-27.7,medium
561,Esbjerg,14.89,10.7,10.76,2024,0.7226,-27.7,medium
563,Fanø,16.88,12.13,12.2,2024,0.7226,-27.7,medium
710,Favrskov,15.44,11.09,11.16,2024,0.7226,-27.7,medium
320,Faxe,16.32,11.73,11.79,2024,0.7226,-27.7,medium
210,Fredensborg,17.63,12.67,12.74,2024,0.7226,-27.7,medium
607,Fredericia,14.54,10.45,10.51,2024,0.7226,-27.7,medium
147,Frederiksberg,16.07,11.55,11.61,2024,0.7226,-27.7,medium
813,Frederikshavn,17.46,12.55,12.62,2024,0.7226,-27.7,medium
250,Frederikssund,15.88,11.41,11.48,2024,0.7226,-27.7,medium
190,Furesø,18.37,13.2,13.28,2024,0.7226,-27.7,medium
430,Faaborg-Midtfyn,15.23,10.94,11.01,2024,0.7226,-27.7,medium
157,Gentofte,24.06,17.29,17.39,2024,0.7226,-27.7,medium
159,Gladsaxe,15.9,11.42,11.49,2024,0.7226,-27.7,medium
161,Glostrup,15.54,11.17,11.23,2024,0.7226,-27.7,medium
253,Greve,18.3,13.15,13.22,2024,0.7226,-27.7,medium
270,Gribskov,16.3,11.71,11.78,2024,0.7226,-27.7,medium
376,Guldborgsund,15.19,10.91,10.98,2024,0.7226,-27.7,medium
510,Haderslev,14.89,10.7,10.76,2024,0.7226,-27.7,medium
260,Halsnæs,14.57,10.47,10.53,2024,0.7226,-27.7,medium
766,Hedensted,15.51,11.14,11.21,2024,0.7226,-27.7,medium
217,Helsingør,16.3,11.71,11.78,2024,0.7226,-27.7,medium
163,Herlev,15.34,11.02,11.09,2024,0.7226,-27.7,medium
657,Herning,15.14,10.88,10.94,2024,0.7226,-27.7,medium
219,Hillerød,16.18,11.63,11.69,2024,0.7226,-27.7,medium
860,Hjørring,17.01,12.22,12.29,2024,0.7226,-27.7,medium
316,Holbæk,16.73,12.02,12.09,2024,0.7226,-27.7,medium
661,Holstebro,15.03,10.8,10.86,2024,0.7226,-27.7,medium
615,Horsens,15.25,10.96,11.02,2024,0.7226,-27.7,medium
167,Hvidovre,14.73,10.58,10.64,2024,0.7226,-27.7,medium
169,Høje-Taastrup,14.54,10.45,10.51,2024,0.7226,-27.7,medium
223,Hørsholm,23.19,16.66,16.76,2024,0.7226,-27.7,medium
756,Ikast-Brande,14.67,10.54,10.6,2024,0.7226,-27.7,medium
183,Ishøj,13.31,9.56,9.62,2024,0.7226,-27.7,medium
849,Jammerbugt,17.32,12.45,12.52,2024,0.7226,-27.7,medium
326,Kalundborg,15.85,11.39,11.45,2024,0.7226,-27.7,medium
440,Kerteminde,15.15,10.89,10.95,2024,0.7226,-27.7,medium
621,Kolding,15.23,10.94,11.01,2024,0.7226,-27.7,medium
101,København,13.56,9.74,9.8,2024,0.7226,-27.7,medium
259,Køge,17.04,12.24,12.31,2024,0.7226,-27.7,medium
482,Langeland,14.3,10.28,10.33,2024,0.7226,-27.7,medium
350,Lejre,17.9,12.86,12.94,2024,0.7226,-27.7,medium
665,Lemvig,15.32,11.01,11.07,2024,0.7226,-27.7,medium
360,Lolland,14.97,10.76,10.82,2024,0.7226,-27.7,medium
173,Lyngby-Taarbæk,19.36,13.91,13.99,2024,0.7226,-27.7,medium
825,Læsø,18.31,13.16,13.23,2024,0.7226,-27.7,medium
846,Mariagerfjord,17.28,12.42,12.49,2024,0.7226,-27.7,medium
410,Middelfart,15.68,11.27,11.33,2024,0.7226,-27.7,medium
773,Morsø,17.07,12.27,12.34,2024,0.7226,-27.7,medium
707,Norddjurs,14.68,10.55,10.61,2024,0.7226,-27.7,medium
480,Nordfyns,15.06,10.82,10.88,2024,0.7226,-27.7,medium
450,Nyborg,14.87,10.68,10.75,2024,0.7226,-27.7,medium
370,Næstved,16.44,11.81,11.88,2024,0.7226,-27.7,medium
727,Odder,15.67,11.26,11.32,2024,0.7226,-27.7,medium
461,Odense,14.05,10.1,10.15,2024,0.7226,-27.7,medium
306,Odsherred,16.02,11.51,11.58,2024,0.7226,-27.7,medium
730,Randers,14.71,10.57,10.63,2024,0.7226,-27.7,medium
840,Rebild,17.78,12.78,12.85,2024,0.7226,-27.7,medium
760,Ringkøbing-Skjern,15.05,10.81,10.88,2024,0.7226,-27.7,medium
329,Ringsted,16.34,11.74,11.81,2024,0.7226,-27.7,medium
265,Roskilde,17.82,12.8,12.88,2024,0.7226,-27.7,medium
230,Rudersdal,23.07,16.58,16.67,2024,0.7226,-27.7,medium
175,Rødovre,14.92,10.72,10.78,2024,0.7226,-27.7,medium
741,Samsø,15.25,10.96,11.02,2024,0.7226,-27.7,medium
740,Silkeborg,15.37,11.04,11.11,2024,0.7226,-27.7,medium
746,Skanderborg,16.12,11.58,11.65,2024,0.7226,-27.7,medium
779,Skive,15.14,10.88,10.94,2024,0.7226,-27.7,medium
330,Slagelse,16.11,11.58,11.64,2024,0.7226,-27.7,medium
269,Solrød,18.84,13.54,13.61,2024,0.7226,-27.7,medium
340,Sorø,16.7,12.0,12.07,2024,0.7226,-27.7,medium
336,Stevns,17.31,12.44,12.51,2024,0.7226,-27.7,medium
671,Struer,14.84,10.66,10.72,2024,0.7226,-27.7,medium
479,Svendborg,15.33,11.02,11.08,2024,0.7226,-27.7,medium
706,Syddjurs,15.46,11.11,11.17,2024,0.7226,-27.7,medium
540,Sønderborg,14.71,10.57,10.63,2024,0.7226,-27.7,medium
787,Thisted,16.97,12.19,12.26,2024,0.7226,-27.7,medium
550,Tønder,14.33,10.3,10.36,2024,0.7226,-27.7,medium
185,Tårnby,15.71,11.29,11.35,2024,0.7226,-27.7,medium
187,Vallensbæk,16.09,11.56,11.63,2024,0.7226,-27.7,medium
