kommune_kode,kommune_navn,co2e_per_capita,climate_territorial_ratio,year
101,København,1.277,42.56,2023
147,Frederiksberg,0.97,32.35,2023
151,Ballerup,2.82,94.0,2023
153,Brøndby,3.139,104.65,2023
155,Dragør,1.715,57.16,2023
157,Gentofte,2.051,68.37,2023
159,Gladsaxe,2.387,79.55,2023
161,Glostrup,3.124,104.14,2023
163,Herlev,2.079,69.29,2023
165,Albertslund,2.544,84.79,2023
167,Hvidovre,2.237,74.57,2023
169,Høje-Taastrup,2.986,99.54,2023
173,Lyngby-Taarbæk,2.303,76.77,2023
175,Rødovre,1.843,61.42,2023
183,Ishøj,2.699,89.97,2023
185,Tårnby,2.242,74.75,2023
187,Vallensbæk,2.238,74.59,2023
190,Furesø,2.442,81.39,2023
201,Allerød,3.265,108.83,2023
210,Fredensborg,2.558,85.25,2023
217,Helsingør,2.125,70.85,2023
219,Hillerød,3.127,104.24,2023
223,Hørsholm,2.626,87.53,2023
230,Rudersdal,2.821,94.04,2023
240,Egedal,2.045,68.15,2023
250,Frederikssund,3.455,115.17,2023
253,Greve,3.101,103.38,2023
259,Køge,5.466,182.19,2023
260,Halsnæs,5.314,177.12,2023
265,Roskilde,2.407,80.24,2023
269,Solrød,3.379,112.62,2023
270,Gribskov,2.729,90.95,2023
306,Odsherred,5.541,184.69,2023
316,Holbæk,3.179,105.97,2023
320,Faxe,4.257,141.9,2023
326,Kalundborg,14.087,469.56,2023
329,Ringsted,4.117,137.24,2023
330,Slagelse,4.271,142.38,2023
336,Stevns,2.254,75.14,2023
340,Sorø,3.995,133.18,2023
350,Lejre,4.024,134.12,2023
360,Lolland,4.124,137.47,2023
370,Næstved,3.887,129.57,2023
376,Guldborgsund,4.368,145.59,2023
390,Vordingborg,3.242,108.08,2023
400,Bornholm,2.947,98.24,2023
410,Middelfart,4.424,147.48,2023
420,Assens,5.398,179.94,2023
430,Faaborg-Midtfyn,2.937,97.89,2023
440,Kerteminde,3.697,123.24,2023
450,Nyborg,9.707,323.55,2023
461,Odense,3.789,126.29,2023
479,Svendborg,2.79,92.99,2023
480,Nordfyn,3.268,108.94,2023
482,Langeland,3.164,105.48,2023
492,Ærø,2.118,70.61,2023
510,Haderslev,3.378,112.59,2023
530,Billund,3.645,121.49,2023
540,Sønderborg,2.633,87.77,2023
550,Tønder,4.708,156.93,2023
561,Esbjerg,4.354,145.14,2023
563,Fanø,3.422,114.06,2023
573,Varde,3.804,126.82,2023
575,Vejen,4.669,155.64,2023
580,Aabenraa,3.157,105.23,2023
607,Fredericia,10.736,357.86,2023
615,Horsens,3.319,110.64,2023
621,Kolding,4.5,149.99,2023
630,Vejle,3.827,127.58,2023
657,Herning,3.638,121.27,2023
661,Holstebro,4.06,135.33,2023
665,Lemvig,7.681,256.02,2023
671,Struer,3.375,112.51,2023
706,Syddjurs,3.273,109.1,2023
707,Norddjurs,3.402,113.4,2023
710,Favrskov,5.277,175.91,2023
727,Odder,2.62,87.32,2023
730,Randers,2.459,81.97,2023
740,Silkeborg,3.396,113.21,2023
741,Samsø,4.101,136.69,2023
746,Skanderborg,3.988,132.92,2023
751,Aarhus,3.024,100.79,2023
756,Ikast-Brande,4.422,147.42,2023
760,Ringkøbing-Skjern,4.383,146.09,2023
766,Hedensted,4.881,162.69,2023
773,Morsø,3.507,116.9,2023
779,Skive,3.454,115.14,2023
787,Thisted,3.708,123.59,2023
791,Viborg,4.188,139.61,2023
810,Brønderslev,3.445,114.82,2023
813,Frederikshavn,6.651,221.7,2023
820,Vesthimmerlands,4.027,134.23,2023
825,Læsø,-5.16,-172.0,2023
840,Rebild,5.693,189.76,2023
846,Mariagerfjord,5.857,195.25,2023
849,Jammerbugt,3.118,103.93,2023
851,Aalborg,13.64,454.66,2023
860,Hjørring,5.108,170.26,2023
