kommune_kode,recycling_pct,recycling_ratio,national_avg_pct,year
101,42.0,72.41,58.0,2023
147,42.0,72.41,58.0,2023
151,60.0,103.45,58.0,2023
153,60.0,103.45,58.0,2023
155,70.0,120.69,58.0,2023
157,62.0,106.9,58.0,2023
159,64.0,110.34,58.0,2023
161,66.0,113.79,58.0,2023
163,60.0,103.45,58.0,2023
165,54.0,93.1,58.0,2023
167,46.0,79.31,58.0,2023
169,61.0,105.17,58.0,2023
173,59.0,101.72,58.0,2023
175,59.0,101.72,58.0,2023
183,36.0,62.07,58.0,2023
185,58.0,100.0,58.0,2023
187,52.0,89.66,58.0,2023
190,67.0,115.52,58.0,2023
201,75.0,129.31,58.0,2023
210,54.0,93.1,58.0,2023
217,60.0,103.45,58.0,2023
219,67.0,115.52,58.0,2023
223,70.0,120.69,58.0,2023
230,78.0,134.48,58.0,2023
240,66.0,113.79,58.0,2023
250,65.0,112.07,58.0,2023
253,65.0,112.07,58.0,2023
259,59.0,101.72,58.0,2023
260,67.0,115.52,58.0,2023
265,65.0,112.07,58.0,2023
269,65.0,112.07,58.0,2023
270,60.0,103.45,58.0,2023
306,67.0,115.52,58.0,2023
316,66.0,113.79,58.0,2023
320,67.0,115.52,58.0,2023
326,63.0,108.62,58.0,2023
329,61.0,105.17,58.0,2023
330,60.0,103.45,58.0,2023
336,66.0,113.79,58.0,2023
340,62.0,106.9,58.0,2023
350,66.0,113.79,58.0,2023
360,38.0,65.52,58.0,2023
370,65.0,112.07,58.0,2023
376,26.0,44.83,58.0,2023
390,64.0,110.34,58.0,2023
400,53.0,91.38,58.0,2023
410,60.0,103.45,58.0,2023
420,73.0,125.86,58.0,2023
430,57.0,98.28,58.0,2023
440,71.0,122.41,58.0,2023
450,21.0,36.21,58.0,2023
461,66.0,113.79,58.0,2023
479,57.0,98.28,58.0,2023
480,61.0,105.17,58.0,2023
482,41.0,70.69,58.0,2023
492,34.0,58.62,58.0,2023
510,61.0,105.17,58.0,2023
530,67.0,115.52,58.0,2023
540,67.0,115.52,58.0,2023
550,60.0,103.45,58.0,2023
561,70.0,120.69,58.0,2023
563,58.0,100.0,58.0,2023
573,52.0,89.66,58.0,2023
575,65.0,112.07,58.0,2023
580,44.0,75.86,58.0,2023
607,59.0,101.72,58.0,2023
615,34.0,58.62,58.0,2023
621,66.0,113.79,58.0,2023
630,54.0,93.1,58.0,2023
657,71.0,122.41,58.0,2023
661,51.0,87.93,58.0,2023
665,68.0,117.24,58.0,2023
671,68.0,117.24,58.0,2023
706,78.0,134.48,58.0,2023
707,57.0,98.28,58.0,2023
710,80.0,137.93,58.0,2023
727,50.0,86.21,58.0,2023
730,59.0,101.72,58.0,2023
740,62.0,106.9,58.0,2023
741,45.0,77.59,58.0,2023
746,49.0,84.48,58.0,2023
751,55.0,94.83,58.0,2023
756,68.0,117.24,58.0,2023
760,68.0,117.24,58.0,2023
766,57.0,98.28,58.0,2023
773,26.0,44.83,58.0,2023
779,65.0,112.07,58.0,2023
787,45.0,77.59,58.0,2023
791,72.0,124.14,58.0,2023
810,63.0,108.62,58.0,2023
813,55.0,94.83,58.0,2023
820,66.0,113.79,58.0,2023
825,42.0,72.41,58.0,2023
840,55.0,94.83,58.0,2023
846,50.0,86.21,58.0,2023
849,70.0,120.69,58.0,2023
851,42.0,72.41,58.0,2023
860,64.0,110.34,58.0,2023
