kommune_kode,voter_turnout_pct,voter_turnout_ratio,voter_turnout_national_pct,voter_turnout_national_ratio
101,65.58,94.76,84.21,100.26
147,73.24,105.82,87.54,104.23
151,65.05,93.99,81.52,97.06
153,56.24,81.26,75.63,90.05
155,77.34,111.75,88.32,105.16
157,73.4,106.05,89.4,106.44
159,65.06,94.0,83.26,99.13
161,61.78,89.26,80.52,95.87
163,64.17,92.72,80.97,96.4
165,62.3,90.02,77.76,92.58
167,64.34,92.96,81.8,97.39
169,58.9,85.1,79.17,94.26
173,71.99,104.02,87.84,104.58
175,62.1,89.73,81.07,96.52
183,57.49,83.07,73.81,87.88
185,66.52,96.11,83.33,99.21
187,65.01,93.93,82.63,98.38
190,76.74,110.88,88.82,105.75
201,79.66,115.1,90.1,107.27
210,71.36,103.11,85.78,102.13
217,70.49,101.85,83.2,99.06
219,70.79,102.28,85.85,102.21
223,75.98,109.78,88.33,105.17
230,75.63,109.28,89.4,106.44
240,73.76,106.57,88.01,104.79
250,71.03,102.63,84.04,100.06
253,68.56,99.06,84.06,100.08
259,71.44,103.22,83.88,99.87
260,66.96,96.75,82.02,97.65
265,72.84,105.24,86.52,103.01
269,74.33,107.4,87.44,104.11
270,70.06,101.23,84.78,100.94
306,69.45,100.35,81.59,97.14
316,70.32,101.6,83.21,99.07
320,66.85,96.59,82.99,98.81
326,65.97,95.32,80.85,96.26
329,67.97,98.21,83.13,98.98
330,64.7,93.48,79.46,94.61
336,71.04,102.64,85.03,101.24
340,69.96,101.08,83.83,99.81
350,75.05,108.44,88.32,105.16
360,66.1,95.51,76.94,91.61
370,68.6,99.12,82.43,98.14
376,68.96,99.64,80.85,96.26
390,70.97,102.54,82.41,98.12
400,72.31,104.48,80.71,96.09
410,73.7,106.49,85.77,102.12
420,72.41,104.62,84.44,100.54
430,71.38,103.14,84.28,100.35
440,74.69,107.92,84.69,100.83
450,73.91,106.79,84.17,100.21
461,69.22,100.01,82.6,98.35
479,73.3,105.91,84.58,100.7
480,71.27,102.98,84.11,100.14
482,73.94,106.83,81.89,97.5
492,80.0,115.59,84.23,100.29
510,66.63,96.27,82.04,97.68
530,67.85,98.03,83.39,99.29
540,68.84,99.47,82.28,97.96
550,68.76,99.35,82.24,97.92
561,65.12,94.09,81.63,97.19
563,85.71,123.84,89.3,106.32
573,68.92,99.58,84.82,100.99
575,67.85,98.03,83.96,99.96
580,66.44,96.0,81.96,97.58
607,66.49,96.07,81.5,97.04
615,64.61,93.35,83.4,99.3
621,68.06,98.34,83.14,98.99
630,68.29,98.67,84.34,100.42
657,69.47,100.38,84.64,100.77
661,72.51,104.77,84.75,100.9
665,76.57,110.63,85.84,102.2
671,73.57,106.3,84.71,100.86
706,72.68,105.01,85.92,102.3
707,67.67,97.77,81.54,97.08
710,75.69,109.36,88.14,104.94
727,75.53,109.13,87.58,104.27
730,67.36,97.33,81.84,97.44
740,73.89,106.76,86.73,103.26
741,80.88,116.86,85.7,102.04
746,77.04,111.31,89.04,106.01
751,71.62,103.48,86.34,102.8
756,67.17,97.05,83.45,99.36
760,72.19,104.31,84.77,100.93
766,70.06,101.23,85.87,102.24
773,75.69,109.36,82.53,98.26
779,71.82,103.77,83.17,99.02
787,72.17,104.28,84.01,100.02
791,71.86,103.83,84.31,100.38
810,70.95,102.51,84.34,100.42
813,67.49,97.51,81.14,96.61
820,68.73,99.31,81.91,97.52
825,85.69,123.81,85.82,102.18
840,76.14,110.01,87.57,104.26
846,69.63,100.61,82.99,98.81
849,73.12,105.65,83.71,99.67
851,66.7,96.37,83.26,99.13
860,69.53,100.46,82.74,98.51
