kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,low_income_ratio,vacant_housing_ratio,kultur_spending_ratio,civil_society_ratio,life_expectancy_raw,education_raw,disposable_income_raw,employment_raw,child_poverty_raw,gini_raw,low_income_raw,vacant_housing_raw,kultur_spending_raw,civil_society_raw,social_avg,ecological_avg,overall_avg
201,Allerød,102.82,95.71,126.38,108.91,238.89,111.51,211.11,247.58,104.36,78.38,83.9,90.92,363562.0,84.3,1.8,27.29,1.8,2.48,527.0,58.0,142.56,,142.56
153,Brøndby,98.53,85.99,87.31,95.35,50.0,116.32,55.07,211.72,121.78,472.97,80.4,81.69,251169.0,73.8,8.6,26.16,6.9,2.9,615.0,350.0,139.5,,139.5
155,Dragør,102.33,91.79,130.65,108.53,252.94,105.44,211.11,197.43,48.32,144.59,83.5,87.2,375847.0,84.0,1.7,28.86,1.8,3.11,244.0,107.0,139.31,,139.31
175,Rødovre,99.63,91.45,98.07,101.94,87.76,115.57,79.17,174.93,65.35,474.32,81.3,86.88,282144.0,78.9,4.9,26.33,4.8,3.51,330.0,351.0,138.82,,138.82
190,Furesø,101.96,92.57,129.17,106.2,153.57,101.03,140.74,196.17,132.67,206.76,83.2,87.94,371605.0,82.2,2.8,30.12,2.7,3.13,670.0,153.0,136.08,,136.08
230,Rudersdal,102.82,94.84,187.14,103.36,179.17,64.32,172.73,124.8,102.77,217.57,83.9,90.1,538360.0,80.0,2.4,47.31,2.2,4.92,519.0,161.0,134.95,,134.95
167,Hvidovre,99.51,88.66,98.85,101.81,113.16,117.76,102.7,291.0,116.83,170.27,81.2,84.23,284383.0,78.8,3.8,25.84,3.7,2.11,590.0,126.0,130.06,,130.06
157,Gentofte,103.06,96.06,198.25,101.16,179.17,62.05,135.71,107.72,122.38,183.78,84.1,91.26,570329.0,78.3,2.4,49.04,2.8,5.7,618.0,136.0,128.93,,128.93
269,Solrød,102.08,93.25,117.06,109.17,238.89,111.79,190.0,236.15,18.61,71.62,83.3,88.59,336771.0,84.5,1.8,27.22,2.0,2.6,94.0,53.0,128.86,,128.86
746,Skanderborg,101.72,95.52,107.0,106.72,204.76,121.67,200.0,179.53,79.6,91.89,83.0,90.74,307806.0,82.6,2.1,25.01,1.9,3.42,402.0,68.0,128.84,,128.84
265,Roskilde,100.74,92.26,112.46,103.62,179.17,102.84,152.0,188.92,120.4,132.43,82.2,87.65,323534.0,80.2,2.4,29.59,2.5,3.25,608.0,98.0,128.48,,128.48
240,Egedal,101.72,96.64,111.09,109.17,226.32,127.59,180.95,211.72,33.66,75.68,83.0,91.81,319596.0,84.5,1.9,23.85,2.1,2.9,170.0,56.0,127.45,,127.45
151,Ballerup,99.51,89.6,99.08,100.0,104.88,113.88,102.7,305.47,115.05,135.14,81.2,85.12,285035.0,77.4,4.1,26.72,3.7,2.01,581.0,100.0,126.53,,126.53
223,Hørsholm,102.45,93.4,157.3,105.17,159.26,75.94,165.22,146.54,141.98,116.22,83.6,88.73,452520.0,81.4,2.7,40.07,2.3,4.19,717.0,86.0,126.35,,126.35
185,Tårnby,99.51,89.51,104.24,103.88,116.22,122.11,105.56,264.66,58.02,158.11,81.2,85.03,299878.0,80.4,3.7,24.92,3.6,2.32,293.0,117.0,122.18,,122.18
173,Lyngby-Taarbæk,103.06,96.86,139.41,99.35,172.0,77.47,140.74,145.84,86.93,158.11,84.1,92.02,401048.0,76.9,2.5,39.28,2.7,4.21,439.0,117.0,121.98,,121.98
350,Lejre,101.84,90.4,106.12,105.81,148.28,119.99,152.0,170.56,91.88,129.73,83.1,85.88,305283.0,81.9,2.9,25.36,2.5,3.6,464.0,96.0,121.66,,121.66
163,Herlev,98.65,92.75,101.25,101.29,102.38,112.08,97.44,206.73,135.84,159.46,80.5,88.11,291266.0,78.4,4.2,27.15,3.9,2.97,686.0,118.0,120.79,,120.79
210,Fredensborg,100.61,89.6,119.78,103.36,113.16,92.89,122.58,181.12,61.78,217.57,82.1,85.12,344577.0,80.0,3.8,32.76,3.1,3.39,312.0,161.0,120.25,,120.25
183,Ishøj,97.67,83.16,86.3,95.61,71.67,122.31,63.33,247.58,163.56,154.05,79.7,79.0,248266.0,74.0,6.0,24.88,6.0,2.48,826.0,114.0,118.52,,118.52
530,Billund,100.74,86.78,99.69,102.97,172.0,109.42,146.15,77.33,134.06,152.7,82.2,82.44,286776.0,79.7,2.5,27.81,2.6,7.94,677.0,113.0,118.18,,118.18
