kommune_kode,sports_membership_pct,sports_membership_ratio,crime_per_1k,crime_ratio,traffic_accidents_per_100k,traffic_accidents_ratio,sports_membership_ref,crime_rate_ref,traffic_accidents_ref
101,42.2,90.36,116.96,59.2,47.61,95.46,46.7,69.24,45.45
147,27.9,59.74,74.39,93.08,48.18,94.33,46.7,69.24,45.45
151,31.9,68.31,72.06,96.09,22.09,205.75,46.7,69.24,45.45
153,30.5,65.31,76.81,90.14,28.22,161.06,46.7,69.24,45.45
155,56.5,120.99,38.06,181.92,36.71,123.81,46.7,69.24,45.45
157,49.9,106.85,62.62,110.57,36.46,124.66,46.7,69.24,45.45
159,31.0,66.38,58.92,117.52,24.6,184.76,46.7,69.24,45.45
161,25.8,55.25,127.15,54.46,44.21,102.8,46.7,69.24,45.45
163,49.6,106.21,70.72,97.91,24.44,185.97,46.7,69.24,45.45
165,110.1,235.76,83.33,83.09,29.95,151.75,46.7,69.24,45.45
167,33.5,71.73,80.08,86.46,19.26,235.98,46.7,69.24,45.45
169,33.0,70.66,63.16,109.63,29.72,152.93,46.7,69.24,45.45
173,47.4,101.5,61.23,113.08,25.05,181.44,46.7,69.24,45.45
175,25.2,53.96,70.26,98.55,20.6,220.63,46.7,69.24,45.45
183,36.3,77.73,70.88,97.69,27.77,163.67,46.7,69.24,45.45
185,40.6,86.94,142.64,48.54,53.4,85.11,46.7,69.24,45.45
187,42.7,91.43,55.78,124.13,34.06,133.44,46.7,69.24,45.45
190,70.4,150.75,46.24,149.74,27.54,165.03,46.7,69.24,45.45
201,51.7,110.71,43.17,160.39,30.69,148.09,46.7,69.24,45.45
210,45.8,98.07,45.44,152.38,19.85,228.97,46.7,69.24,45.45
217,41.1,88.01,65.75,105.31,30.88,147.18,46.7,69.24,45.45
219,71.9,153.96,69.38,99.8,53.81,84.46,46.7,69.24,45.45
223,60.9,130.41,48.32,143.29,29.45,154.33,46.7,69.24,45.45
230,51.3,109.85,47.73,145.07,25.61,177.47,46.7,69.24,45.45
240,46.6,99.79,40.14,172.5,28.61,158.86,46.7,69.24,45.45
250,42.5,91.01,48.88,141.65,40.07,113.43,46.7,69.24,45.45
253,53.1,113.7,62.24,111.25,21.63,210.12,46.7,69.24,45.45
259,52.4,112.21,59.7,115.98,33.87,134.19,46.7,69.24,45.45
260,37.8,80.94,43.85,157.9,49.7,91.45,46.7,69.24,45.45
265,61.7,132.12,63.99,108.2,31.16,145.86,46.7,69.24,45.45
269,45.8,98.07,41.73,165.92,16.4,277.13,46.7,69.24,45.45
270,48.4,103.64,46.41,149.19,46.34,98.08,46.7,69.24,45.45
306,49.9,106.85,60.88,113.73,47.08,96.54,46.7,69.24,45.45
316,44.1,94.43,50.97,135.84,49.5,91.82,46.7,69.24,45.45
320,30.5,65.31,44.21,156.62,61.02,74.48,46.7,69.24,45.45
326,43.5,93.15,47.21,146.66,66.9,67.94,46.7,69.24,45.45
329,37.1,79.44,52.66,131.48,33.15,137.1,46.7,69.24,45.45
330,35.9,76.87,69.22,100.03,56.24,80.81,46.7,69.24,45.45
336,49.2,105.35,37.02,187.03,36.65,124.01,46.7,69.24,45.45
340,37.9,81.16,47.39,146.11,72.07,63.06,46.7,69.24,45.45
350,42.9,91.86,34.6,200.12,36.47,124.62,46.7,69.24,45.45
360,33.1,70.88,76.02,91.08,60.66,74.93,46.7,69.24,45.45
370,31.0,66.38,68.57,100.98,52.71,86.23,46.7,69.24,45.45
376,42.2,90.36,61.31,112.93,58.06,78.28,46.7,69.24,45.45
390,35.3,75.59,47.43,145.98,54.31,83.69,46.7,69.24,45.45
400,60.8,130.19,38.42,180.22,68.76,66.1,46.7,69.24,45.45
410,41.0,87.79,54.0,128.22,38.18,119.04,46.7,69.24,45.45
420,42.0,89.94,44.63,155.14,41.77,108.81,46.7,69.24,45.45
430,41.0,87.79,43.8,158.08,38.26,118.79,46.7,69.24,45.45
440,45.4,97.22,44.09,157.04,30.62,148.43,46.7,69.24,45.45
450,51.8,110.92,52.18,132.69,59.93,75.84,46.7,69.24,45.45
461,46.6,99.79,75.64,91.54,30.59,148.58,46.7,69.24,45.45
479,55.7,119.27,47.95,144.4,49.04,92.68,46.7,69.24,45.45
480,47.9,102.57,47.51,145.74,37.16,122.31,46.7,69.24,45.45
482,45.7,97.86,37.25,185.88,35.59,127.7,46.7,69.24,45.45
492,66.6,142.61,22.62,306.1,61.37,74.06,46.7,69.24,45.45
510,45.9,98.29,54.32,127.47,46.34,98.08,46.7,69.24,45.45
530,63.9,136.83,65.59,105.56,56.56,80.36,46.7,69.24,45.45
540,41.2,88.22,41.73,165.92,50.3,90.36,46.7,69.24,45.45
550,41.3,88.44,49.48,139.94,77.24,58.84,46.7,69.24,45.45
561,46.9,100.43,59.95,115.5,34.65,131.17,46.7,69.24,45.45
563,58.7,125.7,42.81,161.74,68.97,65.9,46.7,69.24,45.45
573,60.8,130.19,40.9,169.29,58.3,77.96,46.7,69.24,45.45
575,40.3,86.3,40.28,171.9,53.75,84.56,46.7,69.24,45.45
580,38.0,81.37,66.27,104.48,53.31,85.26,46.7,69.24,45.45
607,47.0,100.64,69.48,99.65,41.37,109.86,46.7,69.24,45.45
615,35.4,75.8,49.82,138.98,34.65,131.17,46.7,69.24,45.45
621,41.8,89.51,53.66,129.03,43.46,104.58,46.7,69.24,45.45
630,48.1,103.0,58.13,119.11,38.33,118.58,46.7,69.24,45.45
657,53.5,114.56,49.8,139.04,42.62,106.64,46.7,69.24,45.45
661,50.9,108.99,53.63,129.11,62.09,73.2,46.7,69.24,45.45
665,88.7,189.94,32.71,211.68,83.8,54.24,46.7,69.24,45.45
671,47.7,102.14,35.3,196.15,35.78,127.03,46.7,69.24,45.45
706,49.9,106.85,37.05,186.88,48.34,94.02,46.7,69.24,45.45
707,37.7,80.73,47.36,146.2,59.78,76.03,46.7,69.24,45.45
710,53.4,114.35,27.63,250.6,50.63,89.77,46.7,69.24,45.45
727,46.9,100.43,27.95,247.73,32.09,141.63,46.7,69.24,45.45
730,38.4,82.23,55.37,125.05,47.97,94.75,46.7,69.24,45.45
740,52.7,112.85,43.96,157.51,39.09,116.27,46.7,69.24,45.45
741,98.4,210.71,52.79,131.16,98.97,45.92,46.7,69.24,45.45
746,61.8,132.33,33.0,209.82,28.55,159.19,46.7,69.24,45.45
751,45.7,97.86,73.47,94.24,51.4,88.42,46.7,69.24,45.45
756,46.0,98.5,69.5,99.63,37.39,121.56,46.7,69.24,45.45
760,66.5,142.4,33.0,209.82,70.68,64.3,46.7,69.24,45.45
766,53.3,114.13,39.74,174.23,48.08,94.53,46.7,69.24,45.45
773,47.1,100.86,34.32,201.75,70.87,64.13,46.7,69.24,45.45
779,50.9,108.99,44.98,153.94,61.24,74.22,46.7,69.24,45.45
787,49.5,106.0,32.77,211.29,55.94,81.25,46.7,69.24,45.45
791,50.1,107.28,44.73,154.8,70.01,64.92,46.7,69.24,45.45
810,51.4,110.06,33.13,208.99,39.14,116.12,46.7,69.24,45.45
813,61.6,131.91,51.09,135.53,61.1,74.39,46.7,69.24,45.45
820,55.6,119.06,42.27,163.8,70.13,64.81,46.7,69.24,45.45
825,113.3,242.61,31.41,220.44,56.53,80.4,46.7,69.24,45.45
840,52.7,112.85,31.87,217.26,67.9,66.94,46.7,69.24,45.45
846,42.0,89.94,43.79,158.12,55.89,81.32,46.7,69.24,45.45
849,55.1,117.99,36.81,188.1,84.75,53.63,46.7,69.24,45.45
851,62.9,134.69,57.83,119.73,51.61,88.06,46.7,69.24,45.45
860,47.8,102.36,44.26,156.44,74.39,61.1,46.7,69.24,45.45
