kommune_kode,kommune_navn,fjv_biomasse_pct,fjv_affald_pct,fjv_fossil_pct,fjv_ren_pct,fjv_total_tj,fjv_status
101,København,65.8,24.4,9.0,0.9,13377.9,ok
147,Frederiksberg,,,,,42.6,fælles_net
151,Ballerup,,,,,51.9,fælles_net
153,Brøndby,,,,,51.2,fælles_net
155,Dragør,,,,,0,fælles_net
157,Gentofte,,,,,90.1,fælles_net
159,Gladsaxe,0.0,0.0,60.6,39.4,493.3,ok
161,Glostrup,0.0,96.5,3.5,0.0,3375.5,ok
163,Herlev,,,,,0,fælles_net
165,Albertslund,,,,,54.8,fælles_net
167,Hvidovre,96.7,0.0,3.3,0.0,7600.7,ok
169,Høje-Taastrup,0.0,0.0,30.8,69.2,104.4,ok
173,Lyngby-Taarbæk,3.2,0.0,41.7,55.1,314.7,ok
175,Rødovre,,,,,0,fælles_net
183,Ishøj,100.0,0.0,0.0,0.0,126.5,ok
185,Tårnby,,,,,42.2,fælles_net
187,Vallensbæk,,,,,0,fælles_net
190,Furesø,0.7,0.0,99.3,0.0,189.7,ok
201,Allerød,,,,,98.8,fælles_net
210,Fredensborg,,,,,12.4,fælles_net
217,Helsingør,88.8,0.0,10.4,0.8,914.3,ok
219,Hillerød,59.7,0.0,37.0,3.3,1191.0,ok
223,Hørsholm,52.6,41.8,5.6,0.0,1281.4,ok
230,Rudersdal,0.0,0.0,100.0,0.0,173.5,ok
240,Egedal,45.1,0.0,14.2,40.7,353.8,ok
250,Frederikssund,5.3,0.0,40.5,54.2,541.8,ok
253,Greve,,,,,12.8,fælles_net
259,Køge,48.7,0.0,44.7,6.5,2172.6,ok
260,Halsnæs,81.7,0.0,8.0,10.4,505.7,ok
265,Roskilde,0.5,92.9,2.7,3.9,2500.7,ok
269,Solrød,,,,,89.9,fælles_net
270,Gribskov,42.6,0.0,32.5,24.9,484.6,ok
306,Odsherred,13.1,0.0,16.6,70.3,386.7,ok
316,Holbæk,30.8,0.0,47.1,22.1,205.2,ok
