kommune_kode,kommune_navn,folketal,aar
101,København,671714,2026
147,Frederiksberg,106150,2026
151,Ballerup,53950,2026
153,Brøndby,40990,2026
155,Dragør,14474,2026
157,Gentofte,75106,2026
159,Gladsaxe,71185,2026
161,Glostrup,25834,2026
163,Herlev,32030,2026
165,Albertslund,29262,2026
167,Hvidovre,54228,2026
169,Høje-Taastrup,60458,2026
173,Lyngby-Taarbæk,58614,2026
175,Rødovre,45138,2026
183,Ishøj,24685,2026
185,Tårnby,44214,2026
187,Vallensbæk,18689,2026
190,Furesø,42874,2026
201,Allerød,26496,2026
210,Fredensborg,42445,2026
217,Helsingør,64244,2026
219,Hillerød,55182,2026
223,Hørsholm,25354,2026
230,Rudersdal,57912,2026
240,Egedal,46240,2026
250,Frederikssund,47450,2026
253,Greve,54120,2026
259,Køge,63962,2026
260,Halsnæs,31738,2026
265,Roskilde,92697,2026
269,Solrød,25040,2026
270,Gribskov,41787,2026
306,Odsherred,31988,2026
316,Holbæk,75009,2026
320,Faxe,38143,2026
326,Kalundborg,47954,2026
329,Ringsted,36010,2026
330,Slagelse,80959,2026
336,Stevns,23842,2026
340,Sorø,30853,2026
350,Lejre,29879,2026
360,Lolland,38533,2026
370,Næstved,85163,2026
376,Guldborgsund,59119,2026
390,Vordingborg,44831,2026
400,Bornholm,38677,2026
410,Middelfart,40625,2026
420,Assens,40369,2026
430,Faaborg-Midtfyn,52328,2026
440,Kerteminde,24299,2026
450,Nyborg,32401,2026
461,Odense,213168,2026
479,Svendborg,60027,2026
480,Nordfyns,29179,2026
482,Langeland,11841,2026
492,Ærø,5766,2026
510,Haderslev,55218,2026
530,Billund,27200,2026
540,Sønderborg,74123,2026
550,Tønder,36174,2026
561,Esbjerg,114947,2026
563,Fanø,3332,2026
573,Varde,49468,2026
575,Vejen,42641,2026
580,Aabenraa,58405,2026
607,Fredericia,52939,2026
615,Horsens,98806,2026
621,Kolding,96214,2026
630,Vejle,123250,2026
657,Herning,90546,2026
661,Holstebro,59324,2026
665,Lemvig,18596,2026
671,Struer,20122,2026
706,Syddjurs,44394,2026
707,Norddjurs,36477,2026
710,Favrskov,49773,2026
727,Odder,24310,2026
730,Randers,100564,2026
740,Silkeborg,102753,2026
741,Samsø,3617,2026
746,Skanderborg,66352,2026
751,Aarhus,378361,2026
756,Ikast-Brande,43305,2026
760,Ringkøbing-Skjern,55405,2026
766,Hedensted,48578,2026
773,Morsø,19344,2026
779,Skive,44104,2026
787,Thisted,42572,2026
791,Viborg,97874,2026
810,Brønderslev,36529,2026
813,Frederikshavn,57523,2026
820,Vesthimmerlands,35632,2026
825,Læsø,1683,2026
840,Rebild,31280,2026
846,Mariagerfjord,41541,2026
849,Jammerbugt,37998,2026
851,Aalborg,226033,2026
860,Hjørring,62979,2026
