kommune_kode,waste_kg_per_capita,waste_ratio,cirkularitet_waste_ref
101,334.0,162.57,543.0
147,338.0,160.65,543.0
151,504.0,107.74,543.0
153,552.0,98.37,543.0
155,692.0,78.47,543.0
157,579.0,93.78,543.0
159,481.0,112.89,543.0
161,687.0,79.04,543.0
163,581.0,93.46,543.0
165,471.0,115.29,543.0
167,375.0,144.8,543.0
169,451.0,120.4,543.0
173,442.0,122.85,543.0
175,518.0,104.83,543.0
183,324.0,167.59,543.0
185,568.0,95.6,543.0
187,278.0,195.32,543.0
190,510.0,106.47,543.0
201,258.0,210.47,543.0
210,1379.0,39.38,543.0
217,530.0,102.45,543.0
219,504.0,107.74,543.0
223,57.0,952.63,543.0
230,274.0,198.18,543.0
240,551.0,98.55,543.0
250,674.0,80.56,543.0
253,458.0,118.56,543.0
259,572.0,94.93,543.0
260,735.0,73.88,543.0
265,546.0,99.45,543.0
269,382.0,142.15,543.0
270,868.0,62.56,543.0
306,933.0,58.2,543.0
316,492.0,110.37,543.0
320,688.0,78.92,543.0
326,696.0,78.02,543.0
329,570.0,95.26,543.0
330,615.0,88.29,543.0
336,600.0,90.5,543.0
340,604.0,89.9,543.0
350,460.0,118.04,543.0
360,774.0,70.16,543.0
370,597.0,90.95,543.0
376,714.0,76.05,543.0
390,690.0,78.7,543.0
400,776.0,69.97,543.0
410,688.0,78.92,543.0
420,618.0,87.86,543.0
430,483.0,112.42,543.0
440,586.0,92.66,543.0
450,480.0,113.13,543.0
461,526.0,103.23,543.0
479,550.0,98.73,543.0
480,590.0,92.03,543.0
482,863.0,62.92,543.0
492,1131.0,48.01,543.0
510,391.0,138.87,543.0
530,521.0,104.22,543.0
540,731.0,74.28,543.0
550,591.0,91.88,543.0
561,699.0,77.68,543.0
563,1150.0,47.22,543.0
573,808.0,67.2,543.0
575,444.0,122.3,543.0
580,496.0,109.48,543.0
607,422.0,128.67,543.0
615,324.0,167.59,543.0
621,542.0,100.18,543.0
630,693.0,78.35,543.0
657,554.0,98.01,543.0
661,726.0,74.79,543.0
665,570.0,95.26,543.0
671,546.0,99.45,543.0
706,372.0,145.97,543.0
707,1178.0,46.1,543.0
710,542.0,100.18,543.0
727,551.0,98.55,543.0
730,479.0,113.36,543.0
740,543.0,100.0,543.0
741,615.0,88.29,543.0
746,496.0,109.48,543.0
751,506.0,107.31,543.0
756,642.0,84.58,543.0
760,684.0,79.39,543.0
766,726.0,74.79,543.0
773,489.0,111.04,543.0
779,617.0,88.01,543.0
787,508.0,106.89,543.0
791,576.0,94.27,543.0
810,614.0,88.44,543.0
813,644.0,84.32,543.0
820,574.0,94.6,543.0
825,1296.0,41.9,543.0
840,622.0,87.3,543.0
846,464.0,117.03,543.0
849,1015.0,53.5,543.0
851,523.0,103.82,543.0
860,768.0,70.7,543.0
