kommune_kode,kommune_navn,infiltration_mm_aar,punkter,gitter_m,periode
101,København,264.3,90,1000,1991-2020
147,Frederiksberg,293.2,35,500,1991-2020
151,Ballerup,278.9,137,500,1991-2020
153,Brøndby,261.7,82,500,1991-2020
155,Dragør,211.8,71,500,1991-2020
157,Gentofte,295.0,103,500,1991-2020
159,Gladsaxe,302.5,93,500,1991-2020
161,Glostrup,261.0,52,500,1991-2020
163,Herlev,291.6,50,500,1991-2020
165,Albertslund,222.4,94,500,1991-2020
167,Hvidovre,255.1,90,500,1991-2020
169,Høje-Taastrup,230.8,77,1000,1991-2020
173,Lyngby-Taarbæk,281.9,139,500,1991-2020
175,Rødovre,283.4,47,500,1991-2020
183,Ishøj,213.2,101,500,1991-2020
185,Tårnby,225.8,51,1000,1991-2020
187,Vallensbæk,255.1,37,500,1991-2020
190,Furesø,272.4,54,1000,1991-2020
201,Allerød,259.9,70,1000,1991-2020
210,Fredensborg,281.3,111,1000,1991-2020
217,Helsingør,260.4,121,1000,1991-2020
219,Hillerød,262.7,58,2000,1991-2020
223,Hørsholm,300.0,118,500,1991-2020
230,Rudersdal,272.5,74,1000,1991-2020
240,Egedal,238.8,127,1000,1991-2020
250,Frederikssund,214.5,62,2000,1991-2020
253,Greve,208.8,64,1000,1991-2020
259,Køge,209.6,63,2000,1991-2020
260,Halsnæs,225.2,118,1000,1991-2020
265,Roskilde,314.1,52,2000,1991-2020
269,Solrød,206.0,158,500,1991-2020
270,Gribskov,251.7,66,2000,1991-2020
306,Odsherred,205.5,85,2000,1991-2020
316,Holbæk,198.4,143,2000,1991-2020
320,Faxe,203.4,103,2000,1991-2020
326,Kalundborg,175.4,147,2000,1991-2020
329,Ringsted,216.6,72,2000,1991-2020
330,Slagelse,154.0,143,2000,1991-2020
336,Stevns,161.0,63,2000,1991-2020
340,Sorø,209.5,78,2000,1991-2020
350,Lejre,225.6,62,2000,1991-2020
360,Lolland,141.4,225,2000,1991-2020
370,Næstved,190.5,171,2000,1991-2020
376,Guldborgsund,166.3,231,2000,1991-2020
390,Vordingborg,183.2,153,2000,1991-2020
400,Bornholm,325.7,146,2000,1991-2020
410,Middelfart,325.5,74,2000,1991-2020
420,Assens,292.5,133,2000,1991-2020
430,Faaborg-Midtfyn,299.2,161,2000,1991-2020
440,Kerteminde,202.3,52,2000,1991-2020
450,Nyborg,227.7,70,2000,1991-2020
461,Odense,283.7,74,2000,1991-2020
479,Svendborg,256.3,106,2000,1991-2020
480,Nordfyns,247.4,113,2000,1991-2020
482,Langeland,195.1,73,2000,1991-2020
492,Ærø,226.0,92,1000,1991-2020
510,Haderslev,429.6,205,2000,1991-2020
530,Billund,513.6,135,2000,1991-2020
540,Sønderborg,323.1,121,2000,1991-2020
550,Tønder,468.4,296,2000,1991-2020
561,Esbjerg,467.2,188,2000,1991-2020
563,Fanø,565.1,60,1000,1991-2020
573,Varde,530.3,313,2000,1991-2020
575,Vejen,599.4,202,2000,1991-2020
580,Aabenraa,514.8,241,2000,1991-2020
607,Fredericia,412.6,134,1000,1991-2020
615,Horsens,335.5,128,2000,1991-2020
621,Kolding,434.9,151,2000,1991-2020
630,Vejle,483.4,269,2000,1991-2020
657,Herning,550.6,328,2000,1991-2020
661,Holstebro,553.5,201,2000,1991-2020
665,Lemvig,460.9,123,2000,1991-2020
671,Struer,532.8,63,2000,1991-2020
706,Syddjurs,282.2,173,2000,1991-2020
707,Norddjurs,263.9,178,2000,1991-2020
710,Favrskov,296.1,134,2000,1991-2020
727,Odder,250.8,52,2000,1991-2020
730,Randers,400.6,188,2000,1991-2020
740,Silkeborg,399.3,216,2000,1991-2020
741,Samsø,,0,1000,1991-2020
746,Skanderborg,329.7,111,2000,1991-2020
751,Aarhus,292.3,118,2000,1991-2020
756,Ikast-Brande,491.0,185,2000,1991-2020
760,Ringkøbing-Skjern,493.5,374,2000,1991-2020
766,Hedensted,347.8,137,2000,1991-2020
773,Morsø,454.7,89,2000,1991-2020
779,Skive,406.7,173,2000,1991-2020
787,Thisted,463.2,270,2000,1991-2020
791,Viborg,423.0,352,2000,1991-2020
810,Brønderslev,358.7,160,2000,1991-2020
813,Frederikshavn,370.8,159,2000,1991-2020
820,Vesthimmerlands,367.9,190,2000,1991-2020
825,Læsø,,0,1000,1991-2020
840,Rebild,385.8,156,2000,1991-2020
846,Mariagerfjord,399.7,185,2000,1991-2020
849,Jammerbugt,375.7,217,2000,1991-2020
851,Aalborg,343.4,287,2000,1991-2020
860,Hjørring,383.0,237,2000,1991-2020
