kommune_kode,hjemsyg_raw,hjemsyg_ratio,hjemsyg_ref
101,10.92,232.51,25.39
147,17.74,143.12,25.39
151,27.86,91.13,25.39
153,21.09,120.39,25.39
155,26.64,95.31,25.39
157,16.49,153.97,25.39
159,21.46,118.31,25.39
161,22.28,113.96,25.39
163,19.62,129.41,25.39
165,24.9,101.97,25.39
167,19.74,128.62,25.39
169,19.35,131.21,25.39
173,18.7,135.78,25.39
175,22.0,115.41,25.39
183,20.27,125.26,25.39
185,22.51,112.79,25.39
187,20.74,122.42,25.39
190,18.17,139.74,25.39
201,15.96,159.09,25.39
210,20.36,124.71,25.39
217,26.57,95.56,25.39
219,18.85,134.69,25.39
223,29.4,86.36,25.39
230,20.65,122.95,25.39
240,21.31,119.15,25.39
250,29.03,87.46,25.39
253,26.08,97.35,25.39
259,23.27,109.11,25.39
260,28.93,87.76,25.39
265,22.58,112.44,25.39
269,20.66,122.89,25.39
270,23.95,106.01,25.39
306,47.04,53.98,25.39
316,30.22,84.02,25.39
320,31.99,79.37,25.39
326,35.51,71.5,25.39
329,22.63,112.2,25.39
330,31.85,79.72,25.39
336,35.41,71.7,25.39
340,23.66,107.31,25.39
350,21.76,116.68,25.39
360,35.04,72.46,25.39
370,24.84,102.21,25.39
376,33.87,74.96,25.39
390,39.48,64.31,25.39
400,42.09,60.32,25.39
410,31.55,80.48,25.39
420,30.81,82.41,25.39
430,32.67,77.72,25.39
440,29.86,85.03,25.39
450,40.21,63.14,25.39
461,25.46,99.73,25.39
479,31.4,80.86,25.39
480,34.63,73.32,25.39
482,54.71,46.41,25.39
492,40.13,63.27,25.39
510,31.42,80.81,25.39
530,34.6,73.38,25.39
540,40.12,63.29,25.39
550,43.57,58.27,25.39
561,32.21,78.83,25.39
563,44.34,57.26,25.39
573,33.62,75.52,25.39
575,30.3,83.8,25.39
580,34.27,74.09,25.39
607,31.02,81.85,25.39
615,27.46,92.46,25.39
621,26.3,96.54,25.39
630,27.92,90.94,25.39
657,32.1,79.1,25.39
661,28.29,89.75,25.39
665,41.97,60.5,25.39
671,39.94,63.57,25.39
706,28.09,90.39,25.39
707,38.55,65.86,25.39
710,21.39,118.7,25.39
727,28.61,88.75,25.39
730,25.63,99.06,25.39
740,24.36,104.23,25.39
741,53.88,47.12,25.39
746,21.24,119.54,25.39
751,14.95,169.83,25.39
756,24.58,103.3,25.39
760,25.66,98.95,25.39
766,29.67,85.57,25.39
773,37.86,67.06,25.39
779,31.15,81.51,25.39
787,40.77,62.28,25.39
791,32.21,78.83,25.39
810,29.78,85.26,25.39
813,37.59,67.54,25.39
820,41.24,61.57,25.39
825,59.92,42.37,25.39
840,35.32,71.89,25.39
846,40.02,63.44,25.39
849,30.22,84.02,25.39
851,25.17,100.87,25.39
860,33.26,76.34,25.39
