kommune_kode,kommune_navn,klima_landbrug,klima_energi,klima_transport,energiforbrug,ve_selvforsyning,year
101,København,-0.0016,0.8298,0.3464,41.8807,2.9715,2023
147,Frederiksberg,0.0,0.6632,0.2124,36.5568,0.4505,2023
151,Ballerup,0.011,1.7849,0.8868,70.3122,1.515,2023
153,Brøndby,-0.1264,1.2709,1.9301,77.4349,1.4916,2023
155,Dragør,-0.1099,1.3763,0.2843,41.8171,2.4569,2023
157,Gentofte,-0.0115,1.2782,0.6841,53.7187,1.0422,2023
159,Gladsaxe,-0.0426,1.3299,0.9812,59.4645,1.2099,2023
161,Glostrup,-0.0161,1.6462,1.3497,77.0294,1.3329,2023
163,Herlev,0.0048,1.3429,0.6021,52.4369,2.1231,2023
165,Albertslund,0.0094,1.0211,1.3138,60.0631,1.2731,2023
167,Hvidovre,-0.0151,1.4703,0.6616,62.3303,8.3893,2023
169,Høje-Taastrup,-0.0579,1.2611,1.6767,69.8362,3.3671,2023
173,Lyngby-Taarbæk,0.0165,1.3962,0.7412,53.1042,1.3257,2023
175,Rødovre,0.0091,0.9439,0.7831,42.3881,2.1363,2023
183,Ishøj,-0.0016,0.998,1.5904,58.7395,2.902,2023
185,Tårnby,0.1108,1.5594,0.5473,57.1753,1.3738,2023
187,Vallensbæk,0.0177,0.8198,1.1604,43.8546,2.0053,2023
190,Furesø,0.0585,1.1595,1.1242,51.6217,2.5379,2023
201,Allerød,0.121,1.7296,1.3788,70.3166,4.3993,2023
210,Fredensborg,0.078,1.2944,1.1436,55.2825,2.7298,2023
217,Helsingør,-0.0431,1.3675,0.6796,52.5328,2.0325,2023
219,Hillerød,0.023,1.5377,1.4197,68.9417,4.3944,2023
223,Hørsholm,0.0412,1.6551,0.8428,60.441,1.8136,2023
230,Rudersdal,0.1944,1.5498,1.1508,63.7104,2.4294,2023
240,Egedal,0.3728,1.0917,0.7893,46.2596,4.0109,2023
250,Frederikssund,0.4236,2.2162,1.0615,79.7801,3.6959,2023
253,Greve,0.0558,1.1924,1.7897,64.2933,5.1477,2023
259,Køge,0.5217,2.7088,2.6153,107.384,3.8481,2023
260,Halsnæs,0.3194,3.9518,1.1835,129.5946,5.344,2023
265,Roskilde,0.1368,1.1931,1.1007,58.4871,5.358,2023
269,Solrød,0.1071,0.6163,2.3256,68.3682,4.1544,2023
270,Gribskov,1.2416,1.358,1.1961,69.0761,3.7852,2023
306,Odsherred,1.3064,1.765,3.5999,118.3128,5.8532,2023
316,Holbæk,1.3387,1.349,1.6853,69.9447,46.9377,2023
320,Faxe,0.9946,1.5448,2.4013,94.3669,114.0127,2023
326,Kalundborg,1.3606,11.914,1.4542,331.6622,29.9182,2023
329,Ringsted,0.6458,1.1742,2.6932,92.4146,8.6075,2023
330,Slagelse,0.7162,1.3387,2.8448,91.3186,30.5686,2023
336,Stevns,1.2396,1.4325,0.6627,59.7077,21.4643,2023
340,Sorø,2.331,1.3874,2.4769,84.1142,12.899,2023
350,Lejre,1.0538,1.2135,2.671,79.6901,12.1715,2023
360,Lolland,3.0606,2.6608,1.2948,115.0438,345.2861,2023
370,Næstved,1.1882,2.229,1.5259,80.129,41.4975,2023
376,Guldborgsund,2.6705,2.8746,1.4196,92.5987,57.2176,2023
390,Vordingborg,3.152,0.7847,2.1649,92.3497,51.8644,2023
400,Bornholm,2.2515,1.3149,1.4646,85.1244,54.7843,2023
410,Middelfart,2.1436,1.5689,2.7209,95.7908,19.4771,2023
420,Assens,2.844,1.6755,3.4065,117.8671,41.6515,2023
430,Faaborg-Midtfyn,2.1631,0.9563,1.5712,80.7912,13.5726,2023
440,Kerteminde,1.2789,2.3267,1.1694,88.2324,32.6147,2023
450,Nyborg,2.2818,6.1708,3.3953,129.4917,23.264,2023
461,Odense,0.0568,2.4466,1.2094,78.6064,2.1181,2023
479,Svendborg,1.014,1.4211,1.1709,67.2604,37.8624,2023
480,Nordfyn,3.1619,1.6411,0.905,82.3,26.4685,2023
482,Langeland,6.3384,1.0056,1.957,102.5088,145.7379,2023
492,Ærø,3.054,0.6099,1.3517,81.6568,129.9545,2023
510,Haderslev,4.2712,0.9384,1.7674,90.7147,22.2772,2023
530,Billund,3.5171,1.6978,1.6662,125.9139,53.4543,2023
540,Sønderborg,1.4087,1.2231,0.9102,79.7602,25.3028,2023
550,Tønder,20.4731,3.0092,1.3651,134.5877,78.2937,2023
561,Esbjerg,3.1982,2.8384,1.2719,84.3639,25.0631,2023
563,Fanø,0.664,2.5803,0.7783,80.1975,21.481,2023
573,Varde,11.2271,2.0066,1.412,102.4507,59.4069,2023
575,Vejen,6.732,1.182,2.8004,111.9743,28.8719,2023
580,Aabenraa,7.1848,0.7158,1.8916,102.3952,111.2577,2023
607,Fredericia,0.1522,8.3951,2.2661,217.0582,1.4819,2023
615,Horsens,1.1247,1.5326,1.4727,76.7645,4.42,2023
621,Kolding,1.0329,1.976,2.3534,96.9878,10.6581,2023
630,Vejle,1.5968,1.522,2.1563,89.9069,38.9069,2023
657,Herning,3.6514,1.2491,2.2541,96.6374,53.8787,2023
661,Holstebro,4.0321,2.0318,1.8284,114.2181,103.5807,2023
665,Lemvig,9.6865,5.6614,1.6782,180.6512,299.4062,2023
671,Struer,3.0651,1.5914,1.5346,84.097,134.7652,2023
706,Syddjurs,3.0181,1.3007,1.7976,99.875,15.9636,2023
707,Norddjurs,4.9228,2.133,1.0851,94.7624,49.5439,2023
710,Favrskov,1.6951,1.6288,2.9333,111.641,38.9885,2023
