kommune_kode,kommune_navn,vejr_skader_raw,vejr_skader_ratio,vejr_skader_ref
165,Albertslund,6.0,365.33,21.9196
201,Allerød,16.0,137.0,21.9196
420,Assens,27.0,81.18,21.9196
151,Ballerup,11.0,199.27,21.9196
530,Billund,22.0,99.63,21.9196
400,Bornholm,31.0,70.71,21.9196
153,Brøndby,10.0,219.2,21.9196
810,Brønderslev,26.0,84.31,21.9196
155,Dragør,40.0,54.8,21.9196
240,Egedal,16.0,137.0,21.9196
561,Esbjerg,33.0,66.42,21.9196
563,Fanø,66.0,33.21,21.9196
710,Favrskov,16.0,137.0,21.9196
320,Faxe,19.0,115.37,21.9196
210,Fredensborg,14.0,156.57,21.9196
607,Fredericia,26.0,84.31,21.9196
147,Frederiksberg,13.0,168.61,21.9196
813,Frederikshavn,27.0,81.18,21.9196
250,Frederikssund,17.0,128.94,21.9196
190,Furesø,13.0,168.61,21.9196
430,Faaborg-Midtfyn,27.0,81.18,21.9196
157,Gentofte,33.0,66.42,21.9196
159,Gladsaxe,13.0,168.61,21.9196
161,Glostrup,15.0,146.13,21.9196
253,Greve,18.0,121.78,21.9196
270,Gribskov,25.0,87.68,21.9196
376,Guldborgsund,48.0,45.67,21.9196
510,Haderslev,26.0,84.31,21.9196
260,Halsnæs,20.0,109.6,21.9196
766,Hedensted,23.0,95.3,21.9196
217,Helsingør,18.0,121.78,21.9196
163,Herlev,19.0,115.37,21.9196
657,Herning,24.0,91.33,21.9196
219,Hillerød,17.0,128.94,21.9196
860,Hjørring,32.0,68.5,21.9196
316,Holbæk,15.0,146.13,21.9196
661,Holstebro,43.0,50.98,21.9196
615,Horsens,18.0,121.78,21.9196
167,Hvidovre,16.0,137.0,21.9196
169,Høje-Taastrup,12.0,182.66,21.9196
223,Hørsholm,23.0,95.3,21.9196
756,Ikast-Brande,26.0,84.31,21.9196
183,Ishøj,11.0,199.27,21.9196
849,Jammerbugt,41.0,53.46,21.9196
326,Kalundborg,19.0,115.37,21.9196
440,Kerteminde,30.0,73.07,21.9196
621,Kolding,25.0,87.68,21.9196
101,København,10.0,219.2,21.9196
259,Køge,23.0,95.3,21.9196
482,Langeland,62.0,35.35,21.9196
350,Lejre,14.0,156.57,21.9196
665,Lemvig,66.0,33.21,21.9196
360,Lolland,34.0,64.47,21.9196
173,Lyngby-Taarbæk,21.0,104.38,21.9196
825,Læsø,55.0,39.85,21.9196
846,Mariagerfjord,25.0,87.68,21.9196
410,Middelfart,25.0,87.68,21.9196
773,Morsø,45.0,48.71,21.9196
707,Norddjurs,29.0,75.58,21.9196
480,Nordfyns,51.0,42.98,21.9196
450,Nyborg,23.0,95.3,21.9196
370,Næstved,15.0,146.13,21.9196
727,Odder,24.0,91.33,21.9196
461,Odense,23.0,95.3,21.9196
306,Odsherred,33.0,66.42,21.9196
730,Randers,18.0,121.78,21.9196
840,Rebild,28.0,78.28,21.9196
760,Ringkøbing-Skjern,45.0,48.71,21.9196
329,Ringsted,14.0,156.57,21.9196
265,Roskilde,15.0,146.13,21.9196
230,Rudersdal,22.0,99.63,21.9196
175,Rødovre,14.0,156.57,21.9196
741,Samsø,43.0,50.98,21.9196
740,Silkeborg,17.0,128.94,21.9196
746,Skanderborg,26.0,84.31,21.9196
779,Skive,31.0,70.71,21.9196
330,Slagelse,21.0,104.38,21.9196
269,Solrød,21.0,104.38,21.9196
340,Sorø,13.0,168.61,21.9196
336,Stevns,21.0,104.38,21.9196
671,Struer,42.0,52.19,21.9196
479,Svendborg,27.0,81.18,21.9196
706,Syddjurs,33.0,66.42,21.9196
540,Sønderborg,28.0,78.28,21.9196
787,Thisted,48.0,45.67,21.9196
550,Tønder,28.0,78.28,21.9196
185,Tårnby,27.0,81.18,21.9196
187,Vallensbæk,11.0,199.27,21.9196
573,Varde,38.0,57.68,21.9196
575,Vejen,28.0,78.28,21.9196
630,Vejle,23.0,95.3,21.9196
820,Vesthimmerlands,29.0,75.58,21.9196
791,Viborg,16.0,137.0,21.9196
390,Vordingborg,38.0,57.68,21.9196
492,Ærø,42.0,52.19,21.9196
580,Aabenraa,25.0,87.68,21.9196
851,Aalborg,22.0,99.63,21.9196
751,Aarhus,18.0,121.78,21.9196
