kommune_kode,sport_tilskuer_pct,sport_tilskuer_ratio,sport_tilskuer_ref
101,46,101.1,45.5
147,42,92.31,45.5
151,42.5,93.41,45.5
157,42.5,93.41,45.5
159,41,90.11,45.5
167,49.5,108.79,45.5
169,38.5,84.62,45.5
173,45,98.9,45.5
175,45.5,100.0,45.5
185,43,94.51,45.5
190,43.5,95.6,45.5
210,35.5,78.02,45.5
217,41,90.11,45.5
219,46.5,102.2,45.5
223,46,101.1,45.5
230,39.5,86.81,45.5
240,36,79.12,45.5
250,44.5,97.8,45.5
253,40.5,89.01,45.5
259,41.5,91.21,45.5
265,42,92.31,45.5
270,39,85.71,45.5
306,30,65.93,45.5
316,43,94.51,45.5
320,35.5,78.02,45.5
326,35.5,78.02,45.5
329,41.5,91.21,45.5
330,41.5,91.21,45.5
340,38,83.52,45.5
360,37.5,82.42,45.5
370,44,96.7,45.5
376,45.5,100.0,45.5
390,41,90.11,45.5
400,39.5,86.81,45.5
410,45,98.9,45.5
420,45,98.9,45.5
430,41,90.11,45.5
440,29,63.74,45.5
450,43,94.51,45.5
461,48,105.49,45.5
479,42,92.31,45.5
480,43,94.51,45.5
510,53.5,117.58,45.5
540,39.5,86.81,45.5
550,43,94.51,45.5
561,54,118.68,45.5
573,49,107.69,45.5
575,44,96.7,45.5
580,47,103.3,45.5
607,48.5,106.59,45.5
615,45.5,100.0,45.5
621,49.5,108.79,45.5
630,45.5,100.0,45.5
657,56,123.08,45.5
661,52,114.29,45.5
706,35.5,78.02,45.5
707,39.5,86.81,45.5
710,45,98.9,45.5
727,41,90.11,45.5
730,53.5,117.58,45.5
740,52.5,115.38,45.5
746,46,101.1,45.5
751,48.5,106.59,45.5
756,47,103.3,45.5
760,55.5,121.98,45.5
766,45,98.9,45.5
779,48,105.49,45.5
787,47.5,104.4,45.5
791,51,112.09,45.5
813,48,105.49,45.5
820,52,114.29,45.5
840,46,101.1,45.5
846,50.5,110.99,45.5
849,45,98.9,45.5
851,50,109.89,45.5
860,47,103.3,45.5
