kommune_kode,kommune_navn,kystrisiko_oversvoemmelse_mio,kystrisiko_erosion_mio,kystrisiko_raw,kystrisiko_ratio,kystrisiko_ref
101,København,1113.566,4.614,1752.31,58.73,1029.15
147,Frederiksberg,0.0,0.0,0.0,100.0,1029.15
151,Ballerup,0.0,0.0,0.0,100.0,1029.15
153,Brøndby,7.435,0.256,218.29,100,1029.15
155,Dragør,44.979,8.299,3656.92,28.14,1029.15
157,Gentofte,50.591,38.712,1197.89,85.91,1029.15
159,Gladsaxe,0.0,0.0,0.0,100.0,1029.15
161,Glostrup,0.0,0.0,0.0,100.0,1029.15
163,Herlev,0.0,0.0,0.0,100.0,1029.15
165,Albertslund,0.0,0.0,0.0,100.0,1029.15
167,Hvidovre,267.469,5.212,5101.52,20.17,1029.15
169,Høje-Taastrup,0.012,0.0,0.23,100,1029.15
173,Lyngby-Taarbæk,9.262,21.557,544.37,100,1029.15
175,Rødovre,0.155,0.0,3.76,100,1029.15
183,Ishøj,15.322,0.926,702.43,100,1029.15
185,Tårnby,167.975,7.874,4121.14,24.97,1029.15
187,Vallensbæk,14.53,0.146,888.6,100,1029.15
190,Furesø,0.0,0.0,0.0,100.0,1029.15
201,Allerød,0.0,0.0,0.0,100.0,1029.15
210,Fredensborg,10.089,22.483,794.47,100,1029.15
217,Helsingør,21.942,185.873,3298.65,31.2,1029.15
219,Hillerød,0.007,0.0,0.13,100,1029.15
223,Hørsholm,11.976,32.521,1785.82,57.63,1029.15
230,Rudersdal,13.274,45.349,1028.04,100,1029.15
240,Egedal,0.808,0.0,18.49,100,1029.15
250,Frederikssund,30.637,15.101,1006.58,100,1029.15
253,Greve,18.866,3.58,444.35,100,1029.15
259,Køge,73.44,0.575,1203.98,85.48,1029.15
260,Halsnæs,30.958,42.685,2343.83,43.91,1029.15
265,Roskilde,14.077,7.654,244.48,100,1029.15
269,Solrød,28.793,1.126,1276.37,80.63,1029.15
270,Gribskov,15.248,131.096,3571.88,28.81,1029.15
306,Odsherred,57.46,45.189,3117.85,33.01,1029.15
316,Holbæk,16.741,6.882,328.5,100,1029.15
320,Faxe,3.574,8.879,339.18,100,1029.15
326,Kalundborg,48.868,42.885,1892.32,54.39,1029.15
329,Ringsted,0.0,0.0,0.0,100.0,1029.15
330,Slagelse,73.742,27.631,1281.23,80.33,1029.15
336,Stevns,9.692,18.577,1227.27,83.86,1029.15
340,Sorø,0.0,0.0,0.0,100.0,1029.15
350,Lejre,4.772,3.2,282.95,100,1029.15
360,Lolland,79.16,9.454,2185.87,47.08,1029.15
370,Næstved,29.033,5.186,411.38,100,1029.15
376,Guldborgsund,105.287,19.344,2065.88,49.82,1029.15
390,Vordingborg,59.234,21.513,1783.75,57.7,1029.15
400,Bornholm,19.23,53.02,1825.86,56.37,1029.15
410,Middelfart,31.515,21.045,1343.71,76.59,1029.15
420,Assens,10.305,6.317,406.74,100,1029.15
430,Faaborg-Midtfyn,17.121,16.412,648.81,100,1029.15
440,Kerteminde,34.587,23.589,2439.56,42.19,1029.15
450,Nyborg,31.667,26.201,1812.18,56.79,1029.15
461,Odense,27.339,1.431,139.99,100,1029.15
479,Svendborg,43.531,39.159,1411.38,72.92,1029.15
480,Nordfyns,46.922,17.546,2181.74,47.17,1029.15
482,Langeland,18.88,10.423,2369.4,43.44,1029.15
492,Ærø,5.61,5.533,1869.7,55.04,1029.15
510,Haderslev,20.435,13.547,613.66,100,1029.15
530,Billund,0.0,0.0,0.0,100.0,1029.15
540,Sønderborg,48.237,38.757,1178.27,87.34,1029.15
550,Tønder,19.915,2.145,595.41,100,1029.15
561,Esbjerg,173.004,43.495,1873.17,54.94,1029.15
563,Fanø,15.25,1.775,4925.96,20.89,1029.15
573,Varde,34.309,34.48,1386.09,74.25,1029.15
575,Vejen,0.0,0.0,0.0,100.0,1029.15
580,Aabenraa,31.352,11.239,727.72,100,1029.15
607,Fredericia,58.92,12.878,1400.26,73.5,1029.15
615,Horsens,41.659,5.447,510.74,100,1029.15
621,Kolding,71.037,25.466,1035.87,99.35,1029.15
630,Vejle,89.62,22.153,955.4,100,1029.15
657,Herning,0.0,0.0,0.0,100.0,1029.15
661,Holstebro,10.121,17.309,467.59,100,1029.15
665,Lemvig,54.543,74.809,6597.23,15.6,1029.15
671,Struer,14.209,18.761,1584.49,64.95,1029.15
706,Syddjurs,24.734,40.959,1521.79,67.63,1029.15
707,Norddjurs,29.273,10.117,1066.22,96.52,1029.15
710,Favrskov,0.074,0.0,1.54,100,1029.15
727,Odder,11.476,13.191,1073.46,95.87,1029.15
730,Randers,52.004,2.743,557.56,100,1029.15
740,Silkeborg,0.0,0.0,0.0,100.0,1029.15
741,Samsø,5.942,10.099,4356.5,23.62,1029.15
746,Skanderborg,0.0,0.0,0.0,100.0,1029.15
751,Aarhus,131.308,30.319,458.19,100,1029.15
756,Ikast-Brande,0.0,0.0,0.0,100.0,1029.15
760,Ringkøbing-Skjern,50.404,65.642,2065.53,49.82,1029.15
766,Hedensted,26.41,24.361,1085.47,94.81,1029.15
773,Morsø,30.864,15.66,2318.54,44.39,1029.15
779,Skive,87.43,12.816,2206.87,46.63,1029.15
787,Thisted,35.517,41.816,1791.77,57.44,1029.15
791,Viborg,3.022,1.631,48.13,100,1029.15
810,Brønderslev,1.091,0.159,34.56,100,1029.15
813,Frederikshavn,41.091,47.659,1503.24,68.46,1029.15
820,Vesthimmerlands,14.233,5.92,554.25,100,1029.15
825,Læsø,2.129,5.799,4494.25,22.9,1029.15
840,Rebild,0.069,0.0,2.26,100,1029.15
846,Mariagerfjord,26.143,10.237,875.86,100,1029.15
849,Jammerbugt,19.697,39.553,1552.07,66.31,1029.15
851,Aalborg,74.938,16.573,416.93,100,1029.15
860,Hjørring,4.616,196.873,3140.65,32.77,1029.15
