kommune_kode,laegekontakt_raw,laegekontakt_ratio
101,79.34,92.97
147,82.85,97.08
151,80.72,94.59
153,79.09,92.68
155,86.91,101.84
157,83.07,97.34
159,82.32,96.46
161,75.69,88.69
163,78.51,92.0
165,79.86,93.58
167,82.46,96.63
169,78.04,91.45
173,81.65,95.68
175,82.2,96.32
183,78.49,91.97
185,84.69,99.24
187,78.54,92.03
190,83.92,98.34
201,83.71,98.09
210,84.94,99.53
217,85.95,100.71
219,82.62,96.81
223,84.08,98.52
230,83.81,98.21
240,82.53,96.71
250,83.92,98.34
253,82.89,97.13
259,83.81,98.21
260,83.72,98.1
265,82.36,96.51
269,84.13,98.58
270,85.41,100.08
306,85.76,100.49
316,83.67,98.04
320,82.54,96.72
326,84.81,99.38
329,83.89,98.3
330,83.79,98.18
336,83.32,97.63
340,82.43,96.59
350,82.47,96.64
360,86.35,101.18
370,84.69,99.24
376,84.14,98.59
390,86.63,101.51
400,83.0,97.26
410,85.2,99.84
420,87.12,102.09
430,86.06,100.84
440,84.71,99.26
450,85.9,100.66
461,83.62,97.98
479,85.04,99.65
480,88.13,103.27
482,89.12,104.43
492,85.88,100.63
510,86.49,101.35
530,84.45,98.96
540,85.78,100.52
550,85.77,100.5
561,86.59,101.46
563,88.87,104.14
573,85.95,100.71
575,85.49,100.18
580,84.67,99.21
607,85.11,99.73
615,84.14,98.59
621,84.52,99.04
630,83.45,97.79
657,85.29,99.94
661,85.51,100.2
665,87.16,102.13
671,88.72,103.96
706,85.79,100.53
707,87.12,102.09
710,84.62,99.16
727,85.1,99.72
730,86.81,101.72
740,84.71,99.26
741,88.25,103.41
746,84.81,99.38
751,82.68,96.88
756,83.41,97.74
760,85.85,100.6
766,83.47,97.81
773,89.82,105.25
779,89.36,104.71
787,87.48,102.51
791,85.97,100.74
810,86.18,100.98
813,87.95,103.06
820,87.12,102.09
825,90.2,105.69
840,84.88,99.46
846,87.48,102.51
849,86.67,101.56
851,84.31,98.79
860,87.4,102.41
