kommune_kode,kommune_navn,natur_km2,total_km2,natur_pct,target_pct,land_use_ratio,markblok_km2,markblok_pct
101,København,5.5,91.7,5.97,30.0,502.51,1.9,2.09
147,Frederiksberg,0.0,8.7,0.0,30.0,999.0,0.0,0.0
151,Ballerup,2.0,33.9,5.97,30.0,502.51,4.1,12.15
153,Brøndby,0.1,21.0,0.55,30.0,5454.55,0.1,0.46
155,Dragør,1.6,18.4,8.84,30.0,339.37,5.3,28.73
157,Gentofte,0.7,25.6,2.83,30.0,1060.07,0.1,0.5
159,Gladsaxe,0.8,24.9,3.05,30.0,983.61,0.4,1.5
161,Glostrup,0.1,13.3,0.91,30.0,3296.7,0.2,1.77
163,Herlev,0.4,12.1,3.7,30.0,810.81,0.6,4.87
165,Albertslund,1.5,23.4,6.24,30.0,480.77,3.1,13.24
167,Hvidovre,0.3,23.0,1.51,30.0,1986.75,0.7,2.97
169,Høje-Taastrup,3.8,78.2,4.84,30.0,619.83,31.9,40.84
173,Lyngby-Taarbæk,4.6,38.8,11.79,30.0,254.45,4.0,10.19
175,Rødovre,0.0,12.2,0.12,30.0,25000.0,0.0,0.0
183,Ishøj,1.1,26.5,4.21,30.0,712.59,10.2,38.39
185,Tårnby,28.9,66.0,43.82,30.0,68.46,29.9,45.39
187,Vallensbæk,1.1,9.5,11.57,30.0,259.29,0.9,9.47
190,Furesø,5.8,56.8,10.17,30.0,294.99,11.6,20.47
201,Allerød,4.7,67.4,7.01,30.0,427.96,21.7,32.14
210,Fredensborg,5.8,112.1,5.13,30.0,584.8,43.4,38.7
217,Helsingør,7.7,121.7,6.29,30.0,476.95,36.6,30.08
219,Hillerød,15.0,213.4,7.02,30.0,427.35,87.0,40.77
223,Hørsholm,2.5,31.3,7.97,30.0,376.41,5.7,18.15
230,Rudersdal,6.4,73.4,8.69,30.0,345.22,9.8,13.35
240,Egedal,12.5,125.8,9.93,30.0,302.11,64.5,51.25
250,Frederikssund,22.1,251.0,8.79,30.0,341.3,143.0,56.99
253,Greve,2.0,60.6,3.33,30.0,900.9,24.5,40.38
259,Køge,7.0,258.6,2.7,30.0,1111.11,133.5,51.64
260,Halsnæs,10.5,122.1,8.62,30.0,348.03,40.6,33.21
265,Roskilde,10.6,212.2,4.99,30.0,601.2,115.5,54.41
269,Solrød,2.8,40.5,7.0,30.0,428.57,21.2,52.32
270,Gribskov,19.8,279.5,7.07,30.0,424.33,116.1,41.52
306,Odsherred,23.8,356.7,6.68,30.0,449.1,193.8,54.34
316,Holbæk,31.8,579.2,5.49,30.0,546.45,378.7,65.38
320,Faxe,16.0,405.1,3.95,30.0,759.49,256.6,63.34
326,Kalundborg,52.5,605.5,8.67,30.0,346.02,391.2,64.6
329,Ringsted,12.3,295.2,4.18,30.0,717.7,188.7,63.93
330,Slagelse,22.9,570.1,4.03,30.0,744.42,384.9,67.51
336,Stevns,5.8,249.9,2.31,30.0,1298.7,180.7,72.3
340,Sorø,15.9,309.3,5.14,30.0,583.66,178.7,57.77
350,Lejre,14.0,240.1,5.84,30.0,513.7,151.4,63.07
360,Lolland,24.4,895.6,2.72,30.0,1102.94,692.3,77.29
370,Næstved,33.7,685.3,4.92,30.0,609.76,447.8,65.34
376,Guldborgsund,37.2,903.4,4.11,30.0,729.93,640.4,70.89
390,Vordingborg,37.7,625.5,6.03,30.0,497.51,425.6,68.05
400,Bornholm,20.5,589.3,3.47,30.0,864.55,349.9,59.37
410,Middelfart,17.5,299.6,5.84,30.0,513.7,186.4,62.21
411,Christiansø,0.0,0.4,11.61,30.0,258.4,0.0,0.0
420,Assens,32.9,512.2,6.41,30.0,468.02,339.2,66.22
430,Faaborg-Midtfyn,36.0,637.6,5.65,30.0,530.97,411.8,64.59
440,Kerteminde,9.4,207.3,4.55,30.0,659.34,141.4,68.2
450,Nyborg,12.0,277.1,4.32,30.0,694.44,191.3,69.04
461,Odense,14.8,304.8,4.85,30.0,618.56,131.7,43.22
479,Svendborg,16.0,416.6,3.84,30.0,781.25,259.5,62.3
480,Nordfyns,20.6,452.8,4.54,30.0,660.79,326.2,72.05
482,Langeland,19.8,290.9,6.8,30.0,441.18,208.2,71.57
492,Ærø,10.4,89.8,11.54,30.0,259.97,67.6,75.34
510,Haderslev,44.0,813.7,5.41,30.0,554.53,571.6,70.24
530,Billund,58.1,540.2,10.76,30.0,278.81,313.9,58.1
540,Sønderborg,24.1,495.5,4.86,30.0,617.28,338.0,68.21
550,Tønder,102.0,1184.3,8.61,30.0,348.43,902.9,76.24
561,Esbjerg,63.5,758.3,8.37,30.0,358.42,525.3,69.27
563,Fanø,38.5,66.4,58.03,30.0,51.7,19.7,29.7
573,Varde,220.2,1236.1,17.82,30.0,168.35,774.5,62.66
575,Vejen,51.0,813.7,6.27,30.0,478.47,577.1,70.93
