kommune_kode,le_gender_gap_years,le_gender_gap_ratio,income_gender_gap_pct,income_gender_gap_ratio,employment_origin_gap_pct,employment_origin_gap_ratio,le_gender_gap_ref,income_gender_gap_ref,employment_origin_gap_ref
101,4.4,86.36,90.34,105.69,80.02,97.37,3.8,85.48,82.18
147,3.4,111.76,86.91,101.67,78.79,95.87,3.8,85.48,82.18
151,3.7,102.7,87.54,102.41,86.22,104.92,3.8,85.48,82.18
153,2.0,190.0,87.2,102.01,86.68,105.48,3.8,85.48,82.18
155,3.3,115.15,81.05,94.82,75.35,91.69,3.8,85.48,82.18
157,3.6,105.56,80.46,94.13,80.67,98.16,3.8,85.48,82.18
159,3.7,102.7,89.52,104.73,89.36,108.74,3.8,85.48,82.18
161,4.0,95.0,88.37,103.38,87.76,106.79,3.8,85.48,82.18
163,3.3,115.15,89.6,104.82,88.82,108.08,3.8,85.48,82.18
165,3.4,111.76,92.2,107.86,91.75,111.65,3.8,85.48,82.18
167,3.3,115.15,88.58,103.63,88.02,107.11,3.8,85.48,82.18
169,3.9,97.44,85.92,100.51,87.48,106.45,3.8,85.48,82.18
173,3.7,102.7,88.6,103.65,80.47,97.92,3.8,85.48,82.18
175,3.8,100.0,89.45,104.64,88.36,107.52,3.8,85.48,82.18
183,3.4,111.76,88.2,103.18,89.13,108.46,3.8,85.48,82.18
185,3.8,100.0,87.55,102.42,87.44,106.4,3.8,85.48,82.18
187,3.8,100.0,84.95,99.38,88.42,107.59,3.8,85.48,82.18
190,3.2,118.75,83.72,97.94,86.99,105.85,3.8,85.48,82.18
201,2.1,180.95,81.61,95.47,81.96,99.73,3.8,85.48,82.18
210,3.1,122.58,84.11,98.4,84.96,103.38,3.8,85.48,82.18
217,5.0,76.0,87.66,102.55,75.22,91.53,3.8,85.48,82.18
219,3.7,102.7,86.1,100.73,83.19,101.23,3.8,85.48,82.18
223,4.2,90.48,77.14,90.24,85.92,104.55,3.8,85.48,82.18
230,3.3,115.15,80.13,93.74,86.29,105.0,3.8,85.48,82.18
240,3.0,126.67,85.18,99.65,86.48,105.23,3.8,85.48,82.18
250,3.4,111.76,84.83,99.24,79.66,96.93,3.8,85.48,82.18
253,3.1,122.58,83.97,98.23,84.79,103.18,3.8,85.48,82.18
259,4.3,88.37,84.77,99.17,76.16,92.67,3.8,85.48,82.18
260,4.0,95.0,85.93,100.53,82.26,100.1,3.8,85.48,82.18
265,3.1,122.58,85.46,99.98,80.83,98.36,3.8,85.48,82.18
269,3.7,102.7,83.02,97.12,85.53,104.08,3.8,85.48,82.18
270,3.1,122.58,86.78,101.52,83.89,102.08,3.8,85.48,82.18
306,4.3,88.37,88.25,103.24,87.25,106.17,3.8,85.48,82.18
316,4.4,86.36,84.97,99.4,81.56,99.25,3.8,85.48,82.18
320,4.0,95.0,84.51,98.87,81.34,98.98,3.8,85.48,82.18
326,3.5,108.57,83.72,97.94,88.83,108.09,3.8,85.48,82.18
329,4.2,90.48,84.49,98.84,76.23,92.76,3.8,85.48,82.18
330,4.1,92.68,86.23,100.88,77.46,94.26,3.8,85.48,82.18
336,4.0,95.0,83.4,97.57,87.16,106.06,3.8,85.48,82.18
