kommune_kode,class_size,class_size_ratio,daycare_ratio_val,daycare_ratio,sports_spending_kr,sports_spending_ratio,educated_staff_pct,educated_staff_ratio
101,21.6,93.52,6.0,96.67,204.0,39.53,45.78,97.53
147,21.5,93.95,5.9,98.31,386.0,74.81,43.32,92.29
151,21.9,92.24,5.7,101.75,556.0,107.75,49.21,104.84
153,21.2,95.28,5.3,109.43,428.0,82.95,57.88,123.31
155,22.2,90.99,6.1,95.08,813.0,157.56,38.06,81.08
157,22.4,90.18,5.9,98.31,1093.0,211.82,45.53,97.0
159,21.9,92.24,5.9,98.31,884.0,171.32,42.63,90.82
161,19.9,101.51,6.1,95.08,706.0,136.82,42.96,91.52
163,20.3,99.51,5.5,105.45,1062.0,205.81,44.89,95.63
165,21.4,94.39,5.8,100.0,1183.0,229.26,46.54,99.15
167,21.8,92.66,5.8,100.0,915.0,177.33,50.36,107.29
169,20.8,97.12,5.6,103.57,746.0,144.57,45.56,97.06
173,21.4,94.39,5.6,103.57,377.0,73.06,45.52,96.97
175,20.9,96.65,5.8,100.0,701.0,135.85,47.4,100.98
183,21.4,94.39,5.9,98.31,1013.0,196.32,47.72,101.66
185,21.1,95.73,5.8,100.0,1079.0,209.11,42.5,90.54
187,22.3,90.58,5.7,101.75,661.0,128.1,42.11,89.71
190,22.8,88.6,5.6,103.57,931.0,180.43,48.36,103.03
201,21.7,93.09,5.5,105.45,751.0,145.54,39.38,83.89
210,21.4,94.39,6.1,95.08,527.0,102.13,45.69,97.34
217,21.1,95.73,6.0,96.67,694.0,134.5,47.06,100.26
219,20.8,97.12,5.8,100.0,1110.0,215.12,46.46,98.98
223,21.3,94.84,5.5,105.45,654.0,126.74,39.11,83.32
230,21.1,95.73,5.8,100.0,627.0,121.51,41.93,89.33
240,22.6,89.38,6.2,93.55,587.0,113.76,44.68,95.19
250,19.9,101.51,5.6,103.57,542.0,105.04,50.0,106.52
253,21.9,92.24,5.9,98.31,900.0,174.42,43.45,92.56
259,20.9,96.65,5.7,101.75,673.0,130.43,49.8,106.09
260,19.8,102.02,5.3,109.43,414.0,80.23,47.92,102.09
265,20.3,99.51,6.0,96.67,812.0,157.36,47.51,101.21
269,23.0,87.83,5.8,100.0,828.0,160.47,43.25,92.14
270,18.8,107.45,5.5,105.45,933.0,180.81,43.3,92.25
306,16.6,121.69,5.1,113.73,573.0,111.05,44.29,94.35
316,19.4,104.12,6.3,92.06,725.0,140.5,47.78,101.79
320,18.9,106.88,6.0,96.67,339.0,65.7,42.27,90.05
326,16.6,121.69,6.1,95.08,583.0,112.98,44.82,95.48
329,19.2,105.21,6.0,96.67,607.0,117.64,50.13,106.8
330,20.8,97.12,5.9,98.31,765.0,148.26,46.97,100.06
336,19.5,103.59,5.6,103.57,541.0,104.84,43.35,92.35
340,19.9,101.51,5.8,100.0,339.0,65.7,47.81,101.85
350,20.8,97.12,5.7,101.75,437.0,84.69,42.77,91.12
360,20.1,100.5,5.0,116.0,429.0,83.14,46.23,98.49
370,19.8,102.02,5.9,98.31,507.0,98.26,50.92,108.48
376,19.3,104.66,6.1,95.08,691.0,133.91,52.74,112.36
390,17.7,114.12,6.0,96.67,476.0,92.25,54.79,116.72
400,18.8,107.45,4.9,118.37,604.0,117.05,46.83,99.77
410,20.2,100.0,5.6,103.57,250.0,48.45,46.98,100.09
420,19.0,106.32,5.8,100.0,382.0,74.03,40.91,87.15
430,17.4,116.09,5.8,100.0,129.0,25.0,44.92,95.7
440,20.2,100.0,5.7,101.75,571.0,110.66,43.17,91.97
450,19.6,103.06,5.9,98.31,686.0,132.95,43.94,93.61
461,21.4,94.39,5.9,98.31,300.0,58.14,52.04,110.86
479,21.4,94.39,5.6,103.57,541.0,104.84,50.0,106.52
480,19.4,104.12,5.9,98.31,304.0,58.91,45.8,97.57
482,18.4,109.78,4.2,138.1,122.0,23.64,37.97,80.89
492,16.8,120.24,4.9,118.37,168.0,32.56,48.65,103.64
510,18.8,107.45,5.2,111.54,355.0,68.8,48.7,103.75
530,19.3,104.66,5.9,98.31,1013.0,196.32,41.77,88.99
540,18.5,109.19,5.6,103.57,519.0,100.58,58.25,124.09
550,16.8,120.24,5.3,109.43,576.0,111.63,46.99,100.11
561,20.6,98.06,5.8,100.0,410.0,79.46,50.25,107.05
563,17.8,113.48,5.9,98.31,111.0,21.51,57.14,121.73
573,19.6,103.06,5.6,103.57,401.0,77.71,41.94,89.35
575,18.8,107.45,5.7,101.75,364.0,70.54,42.3,90.12
580,17.1,118.13,5.6,103.57,844.0,163.57,52.33,111.48
607,20.6,98.06,5.2,111.54,463.0,89.73,47.72,101.66
615,22.3,90.58,6.1,95.08,687.0,133.14,45.33,96.57
621,20.3,99.51,5.9,98.31,771.0,149.42,47.69,101.6
630,20.5,98.54,5.4,107.41,563.0,109.11,46.36,98.76
657,19.0,106.32,6.1,95.08,337.0,65.31,44.91,95.68
661,19.7,102.54,6.0,96.67,565.0,109.5,47.03,100.19
665,15.8,127.85,5.6,103.57,574.0,111.24,42.67,90.9
671,17.1,118.13,5.8,100.0,529.0,102.52,47.19,100.53
706,19.8,102.02,5.7,101.75,172.0,33.33,43.36,92.37
707,18.8,107.45,5.7,101.75,356.0,68.99,36.51,77.78
710,19.1,105.76,5.6,103.57,466.0,90.31,39.03,83.15
727,19.6,103.06,6.0,96.67,323.0,62.6,43.8,93.31
730,20.9,96.65,5.6,103.57,193.0,37.4,47.31,100.79
740,21.0,96.19,6.1,95.08,627.0,121.51,43.67,93.03
741,12.6,160.32,3.9,148.72,425.0,82.36,17.86,38.05
746,20.3,99.51,6.0,96.67,540.0,104.65,39.81,84.81
751,21.4,94.39,5.8,100.0,230.0,44.57,49.94,106.39
756,19.3,104.66,6.2,93.55,652.0,126.36,41.87,89.2
760,17.4,116.09,6.0,96.67,520.0,100.78,42.68,90.92
766,17.9,112.85,5.6,103.57,468.0,90.7,40.19,85.62
773,18.4,109.78,5.2,111.54,244.0,47.29,50.75,108.12
779,16.9,119.53,5.7,101.75,1087.0,210.66,43.2,92.03
787,15.9,127.04,6.2,93.55,580.0,112.4,40.12,85.47
791,20.3,99.51,6.3,92.06,579.0,112.21,54.16,115.38
810,19.0,106.32,5.8,100.0,629.0,121.9,42.01,89.5
813,18.7,108.02,6.0,96.67,602.0,116.67,50.21,106.97
820,17.5,115.43,5.4,107.41,795.0,154.07,50.62,107.84
825,13.0,155.38,5.3,109.43,197.0,38.18,50.0,106.52
840,19.4,104.12,6.3,92.06,280.0,54.26,50.99,108.63
846,19.2,105.21,5.9,98.31,258.0,50.0,44.66,95.14
849,16.7,120.96,5.7,101.75,642.0,124.42,49.83,106.16
851,20.3,99.51,5.9,98.31,528.0,102.33,54.21,115.49
860,18.5,109.19,6.0,96.67,542.0,105.04,55.01,117.19
