kommune_kode,library_loans_per_cap,library_ratio,facilities_per_10k,facilities_ratio,library_use_ref
101,4.37,98.42,8.28,38.85,4.44
147,3.68,82.88,9.61,45.1,4.44
151,5.0,112.61,15.94,74.8,4.44
153,2.87,64.64,14.88,69.83,4.44
155,3.94,88.74,17.27,81.04,4.44
157,10.27,231.31,14.11,66.21,4.44
159,4.71,106.08,12.78,59.97,4.44
161,4.24,95.5,12.0,56.31,4.44
163,4.36,98.2,14.05,65.93,4.44
165,3.5,78.83,18.45,86.58,4.44
167,6.36,143.24,13.28,62.32,4.44
169,3.55,79.95,15.71,73.72,4.44
173,7.12,160.36,15.01,70.44,4.44
175,4.7,105.86,12.85,60.3,4.44
183,2.77,62.39,11.75,55.14,4.44
185,5.06,113.96,16.06,75.36,4.44
187,2.37,53.38,13.38,62.79,4.44
190,6.41,144.37,17.73,83.2,4.44
201,9.04,203.6,23.02,108.02,4.44
210,4.38,98.65,19.32,90.66,4.44
217,5.38,121.17,19.15,89.86,4.44
219,5.47,123.2,18.12,85.03,4.44
223,7.5,168.92,17.35,81.42,4.44
230,7.55,170.05,17.61,82.64,4.44
240,4.12,92.79,16.65,78.13,4.44
250,4.33,97.52,22.76,106.8,4.44
253,3.53,79.5,16.44,77.15,4.44
259,4.47,100.68,19.39,90.99,4.44
260,4.05,91.22,15.12,70.95,4.44
265,7.3,164.41,18.45,86.58,4.44
269,4.39,98.87,16.77,78.7,4.44
270,5.3,119.37,26.32,123.51,4.44
306,3.33,75.0,26.89,126.18,4.44
316,3.48,78.38,20.53,96.34,4.44
320,2.95,66.44,25.95,121.77,4.44
326,2.79,62.84,25.44,119.38,4.44
329,3.54,79.73,23.05,108.17,4.44
330,2.81,63.29,20.63,96.81,4.44
336,3.5,78.83,17.62,82.68,4.44
340,4.2,94.59,28.85,135.38,4.44
350,3.44,77.48,19.08,89.54,4.44
360,3.14,70.72,31.14,146.13,4.44
370,3.07,69.14,18.67,87.61,4.44
376,4.51,101.58,27.06,126.98,4.44
390,4.64,104.5,23.87,112.01,4.44
400,6.83,153.83,41.11,192.91,4.44
410,4.69,105.63,23.88,112.06,4.44
420,3.34,75.23,33.69,158.09,4.44
430,4.29,96.62,34.97,164.1,4.44
440,3.96,89.19,23.05,108.17,4.44
450,5.87,132.21,22.84,107.18,4.44
461,4.22,95.05,16.42,77.05,4.44
479,6.87,154.73,28.15,132.1,4.44
480,3.03,68.24,31.53,147.96,4.44
482,4.17,93.92,39.69,186.25,4.44
492,4.24,95.5,38.15,179.02,4.44
510,3.65,82.21,31.33,147.02,4.44
530,3.47,78.15,33.09,155.28,4.44
540,3.95,88.96,25.5,119.66,4.44
550,3.31,74.55,38.15,179.02,4.44
561,3.33,75.0,23.84,111.87,4.44
563,,,60.02,281.65,4.44
573,3.82,86.04,46.29,217.22,4.44
575,3.42,77.03,34.24,160.68,4.44
580,3.58,80.63,30.65,143.83,4.44
607,3.12,70.27,19.65,92.21,4.44
615,3.38,76.13,16.9,79.31,4.44
621,3.74,84.23,20.06,94.13,4.44
630,4.68,105.41,23.37,109.67,4.44
657,6.45,145.27,29.49,138.39,4.44
661,4.12,92.79,33.04,155.04,4.44
665,4.58,103.15,50.01,234.68,4.44
671,4.52,101.8,31.81,149.27,4.44
706,4.25,95.72,29.06,136.37,4.44
707,3.47,78.15,33.45,156.97,4.44
710,5.23,117.79,28.93,135.76,4.44
727,6.78,152.7,28.38,133.18,4.44
730,4.32,97.3,21.48,100.8,4.44
740,4.98,112.16,24.62,115.53,4.44
741,6.88,154.95,49.76,233.51,4.44
746,4.89,110.14,27.43,128.72,4.44
751,4.49,101.13,14.01,65.74,4.44
756,4.35,97.97,31.41,147.4,4.44
760,3.88,87.39,41.69,195.64,4.44
766,3.25,73.2,32.53,152.65,4.44
773,3.3,74.32,35.67,167.39,4.44
779,3.42,77.03,37.18,174.47,4.44
787,3.14,70.72,38.52,180.76,4.44
791,4.7,105.86,31.37,147.21,4.44
810,5.21,117.34,28.47,133.6,4.44
813,3.29,74.1,29.73,139.51,4.44
820,3.32,74.77,38.73,181.75,4.44
825,1.49,33.56,95.07,446.13,4.44
840,4.17,93.92,33.57,157.53,4.44
846,4.16,93.69,28.41,133.32,4.44
849,4.1,92.34,32.37,151.9,4.44
851,4.16,93.69,17.65,82.82,4.44
860,3.86,86.94,29.22,137.12,4.44
