kommune_kode,kommune_navn,no2_ug_m3,pm25_ug_m3,no2_ratio,pm25_ratio,no2_ug_m3_arealgns,pm25_ug_m3_arealgns
101,København,8.53,7.05,85.3,141.0,8.38,7.0
147,Frederiksberg,8.11,7.09,81.1,141.8,7.94,7.08
151,Ballerup,6.7,6.97,67.0,139.4,6.59,6.94
153,Brøndby,7.34,6.94,73.4,138.8,7.48,6.94
155,Dragør,8.3,6.84,83.0,136.8,7.46,6.78
157,Gentofte,8.04,6.87,80.4,137.4,7.96,6.88
159,Gladsaxe,7.94,7.05,79.4,141.0,8.0,7.06
161,Glostrup,7.37,6.97,73.7,139.4,7.35,6.94
163,Herlev,7.55,7.06,75.5,141.2,7.34,7.02
165,Albertslund,6.64,6.89,66.4,137.8,6.68,6.87
167,Hvidovre,7.5,6.98,75.0,139.6,7.6,6.93
169,Høje-Taastrup,6.65,7.01,66.5,140.2,6.36,6.97
173,Lyngby-Taarbæk,7.57,6.97,75.7,139.4,7.25,6.9
175,Rødovre,7.64,7.07,76.4,141.4,7.87,7.06
183,Ishøj,6.81,6.95,68.1,139.0,6.72,6.94
185,Tårnby,9.24,6.83,92.4,136.6,7.71,6.73
187,Vallensbæk,7.08,6.94,70.8,138.8,7.11,6.94
190,Furesø,6.27,6.91,62.7,138.2,6.11,6.87
201,Allerød,5.93,6.83,59.3,136.6,5.83,6.79
210,Fredensborg,5.7,6.65,57.0,133.0,5.65,6.62
217,Helsingør,6.48,6.66,64.8,133.2,5.89,6.54
219,Hillerød,6.57,6.81,65.7,136.2,5.87,6.73
223,Hørsholm,6.05,6.71,60.5,134.2,5.94,6.67
230,Rudersdal,6.44,6.87,64.4,137.4,6.4,6.82
240,Egedal,5.83,6.98,58.3,139.6,5.71,6.91
250,Frederikssund,5.31,6.94,53.1,138.8,5.03,6.87
253,Greve,6.73,6.99,67.3,139.8,6.48,6.99
259,Køge,6.08,7.16,60.8,143.2,5.6,7.08
260,Halsnæs,4.96,6.71,49.6,134.2,4.82,6.65
265,Roskilde,6.49,7.15,64.9,143.0,5.85,7.05
269,Solrød,6.13,7.09,61.3,141.8,6.11,7.07
270,Gribskov,5.63,6.66,56.3,133.2,5.48,6.61
306,Odsherred,4.57,6.8,45.7,136.0,4.49,6.77
316,Holbæk,4.92,7.07,49.2,141.4,4.75,7.01
320,Faxe,5.14,7.14,51.4,142.8,5.07,7.07
326,Kalundborg,5.18,7.05,51.8,141.0,4.9,7.0
329,Ringsted,5.19,7.24,51.9,144.8,4.96,7.13
330,Slagelse,5.43,7.22,54.3,144.4,5.12,7.13
336,Stevns,5.52,7.05,55.2,141.0,5.33,7.0
340,Sorø,4.89,7.17,48.9,143.4,4.79,7.1
350,Lejre,5.28,7.1,52.8,142.0,5.23,7.05
360,Lolland,6.19,7.33,61.9,146.6,5.95,7.25
370,Næstved,5.05,7.17,50.5,143.4,4.89,7.13
376,Guldborgsund,6.15,7.3,61.5,146.0,5.96,7.22
390,Vordingborg,5.26,7.09,52.6,141.8,5.17,7.06
400,Bornholm,4.05,6.83,40.5,136.6,3.84,6.76
410,Middelfart,4.64,7.26,46.4,145.2,4.57,7.22
420,Assens,4.63,7.29,46.3,145.8,4.56,7.27
430,Faaborg-Midtfyn,5.0,7.32,50.0,146.4,4.87,7.27
440,Kerteminde,5.07,7.14,50.7,142.8,4.99,7.08
450,Nyborg,5.14,7.18,51.4,143.6,5.06,7.19
461,Odense,5.37,7.22,53.7,144.4,5.22,7.21
479,Svendborg,5.71,7.39,57.1,147.8,5.26,7.28
480,Nordfyns,4.66,7.14,46.6,142.8,4.6,7.11
482,Langeland,5.77,7.27,57.7,145.4,5.85,7.22
492,Ærø,5.4,7.33,54.0,146.6,5.29,7.29
510,Haderslev,4.51,7.38,45.1,147.6,4.29,7.31
530,Billund,3.92,6.97,39.2,139.4,3.66,6.93
540,Sønderborg,5.36,7.55,53.6,151.0,5.19,7.48
550,Tønder,4.29,7.53,42.9,150.6,4.15,7.45
561,Esbjerg,4.45,7.13,44.5,142.6,3.91,7.19
563,Fanø,3.77,7.09,37.7,141.8,3.49,7.03
573,Varde,3.55,7.02,35.5,140.4,3.41,6.95
575,Vejen,4.07,7.26,40.7,145.2,3.94,7.2
580,Aabenraa,4.91,7.55,49.1,151.0,4.79,7.53
607,Fredericia,5.48,7.33,54.8,146.6,5.14,7.25
615,Horsens,4.81,7.05,48.1,141.0,4.25,6.92
621,Kolding,4.4,7.21,44.0,144.2,4.28,7.19
630,Vejle,4.39,7.13,43.9,142.6,4.0,7.02
657,Herning,3.62,6.81,36.2,136.2,3.33,6.69
661,Holstebro,3.24,6.64,32.4,132.8,3.12,6.58
665,Lemvig,3.18,6.55,31.8,131.0,2.98,6.51
671,Struer,3.38,6.65,33.8,133.0,3.16,6.54
706,Syddjurs,4.44,6.48,44.4,129.6,4.42,6.42
707,Norddjurs,4.3,6.37,43.0,127.4,4.08,6.34
710,Favrskov,4.28,6.71,42.8,134.2,4.08,6.66
727,Odder,4.37,6.81,43.7,136.2,4.36,6.77
730,Randers,4.15,6.65,41.5,133.0,3.85,6.55
740,Silkeborg,3.83,6.76,38.3,135.2,3.61,6.69
741,Samsø,4.67,6.69,46.7,133.8,4.61,6.65
746,Skanderborg,4.63,6.89,46.3,137.8,4.34,6.82
751,Aarhus,5.26,6.76,52.6,135.2,4.87,6.73
756,Ikast-Brande,3.64,6.84,36.4,136.8,3.5,6.76
760,Ringkøbing-Skjern,3.3,6.81,33.0,136.2,3.19,6.78
766,Hedensted,4.41,7.04,44.1,140.8,4.31,6.99
773,Morsø,3.2,6.45,32.0,129.0,3.08,6.39
779,Skive,3.47,6.58,34.7,131.6,3.22,6.51
787,Thisted,3.14,6.25,31.4,125.0,2.99,6.17
791,Viborg,3.61,6.67,36.1,133.4,3.41,6.58
810,Brønderslev,3.92,6.2,39.2,124.0,3.74,6.15
813,Frederikshavn,4.49,5.82,44.9,116.4,3.98,5.8
820,Vesthimmerlands,3.47,6.52,34.7,130.4,3.36,6.46
825,Læsø,3.78,5.64,37.8,112.8,3.73,5.61
840,Rebild,3.63,6.46,36.3,129.2,3.61,6.43
846,Mariagerfjord,3.67,6.53,36.7,130.6,3.58,6.47
849,Jammerbugt,3.5,6.19,35.0,123.8,3.33,6.14
851,Aalborg,4.67,6.31,46.7,126.2,3.8,6.25
860,Hjørring,4.03,6.08,40.3,121.6,3.87,5.98
