kommune_kode,kommune_navn,indicator_id,ratio,raw_value,unit,data_year,source,category,dimension,reference
201,Allerød,life_expectancy,102.82,83.9,år,2021-2025,DST HISBK,social,sundhed,81.6
153,Brøndby,life_expectancy,98.53,80.4,år,2021-2025,DST HISBK,social,sundhed,81.6
175,Rødovre,life_expectancy,99.63,81.3,år,2021-2025,DST HISBK,social,sundhed,81.6
155,Dragør,life_expectancy,102.33,83.5,år,2021-2025,DST HISBK,social,sundhed,81.6
190,Furesø,life_expectancy,101.96,83.2,år,2021-2025,DST HISBK,social,sundhed,81.6
167,Hvidovre,life_expectancy,99.51,81.2,år,2021-2025,DST HISBK,social,sundhed,81.6
230,Rudersdal,life_expectancy,102.82,83.9,år,2021-2025,DST HISBK,social,sundhed,81.6
746,Skanderborg,life_expectancy,101.72,83.0,år,2021-2025,DST HISBK,social,sundhed,81.6
269,Solrød,life_expectancy,102.08,83.3,år,2021-2025,DST HISBK,social,sundhed,81.6
265,Roskilde,life_expectancy,100.74,82.2,år,2021-2025,DST HISBK,social,sundhed,81.6
240,Egedal,life_expectancy,101.72,83.0,år,2021-2025,DST HISBK,social,sundhed,81.6
151,Ballerup,life_expectancy,99.51,81.2,år,2021-2025,DST HISBK,social,sundhed,81.6
223,Hørsholm,life_expectancy,102.45,83.6,år,2021-2025,DST HISBK,social,sundhed,81.6
185,Tårnby,life_expectancy,99.51,81.2,år,2021-2025,DST HISBK,social,sundhed,81.6
157,Gentofte,life_expectancy,103.06,84.1,år,2021-2025,DST HISBK,social,sundhed,81.6
350,Lejre,life_expectancy,101.84,83.1,år,2021-2025,DST HISBK,social,sundhed,81.6
163,Herlev,life_expectancy,98.65,80.5,år,2021-2025,DST HISBK,social,sundhed,81.6
173,Lyngby-Taarbæk,life_expectancy,103.06,84.1,år,2021-2025,DST HISBK,social,sundhed,81.6
210,Fredensborg,life_expectancy,100.61,82.1,år,2021-2025,DST HISBK,social,sundhed,81.6
183,Ishøj,life_expectancy,97.67,79.7,år,2021-2025,DST HISBK,social,sundhed,81.6
710,Favrskov,life_expectancy,101.23,82.6,år,2021-2025,DST HISBK,social,sundhed,81.6
530,Billund,life_expectancy,100.74,82.2,år,2021-2025,DST HISBK,social,sundhed,81.6
840,Rebild,life_expectancy,100.37,81.9,år,2021-2025,DST HISBK,social,sundhed,81.6
187,Vallensbæk,life_expectancy,101.84,83.1,år,2021-2025,DST HISBK,social,sundhed,81.6
253,Greve,life_expectancy,100.74,82.2,år,2021-2025,DST HISBK,social,sundhed,81.6
147,Frederiksberg,life_expectancy,101.23,82.6,år,2021-2025,DST HISBK,social,sundhed,81.6
259,Køge,life_expectancy,99.39,81.1,år,2021-2025,DST HISBK,social,sundhed,81.6
159,Gladsaxe,life_expectancy,100.0,81.6,år,2021-2025,DST HISBK,social,sundhed,81.6
217,Helsingør,life_expectancy,99.75,81.4,år,2021-2025,DST HISBK,social,sundhed,81.6
250,Frederikssund,life_expectancy,99.75,81.4,år,2021-2025,DST HISBK,social,sundhed,81.6
661,Holstebro,life_expectancy,100.12,81.7,år,2021-2025,DST HISBK,social,sundhed,81.6
657,Herning,life_expectancy,100.25,81.8,år,2021-2025,DST HISBK,social,sundhed,81.6
260,Halsnæs,life_expectancy,98.77,80.6,år,2021-2025,DST HISBK,social,sundhed,81.6
773,Morsø,life_expectancy,98.77,80.6,år,2021-2025,DST HISBK,social,sundhed,81.6
219,Hillerød,life_expectancy,101.1,82.5,år,2021-2025,DST HISBK,social,sundhed,81.6
340,Sorø,life_expectancy,99.02,80.8,år,2021-2025,DST HISBK,social,sundhed,81.6
561,Esbjerg,life_expectancy,99.02,80.8,år,2021-2025,DST HISBK,social,sundhed,81.6
740,Silkeborg,life_expectancy,101.23,82.6,år,2021-2025,DST HISBK,social,sundhed,81.6
615,Horsens,life_expectancy,99.88,81.5,år,2021-2025,DST HISBK,social,sundhed,81.6
316,Holbæk,life_expectancy,99.51,81.2,år,2021-2025,DST HISBK,social,sundhed,81.6
766,Hedensted,life_expectancy,100.74,82.2,år,2021-2025,DST HISBK,social,sundhed,81.6
607,Fredericia,life_expectancy,99.51,81.2,år,2021-2025,DST HISBK,social,sundhed,81.6
