kommune_kode,medicin_raw,medicin_ratio
101,51.0,128.24
147,51.9,126.01
151,65.8,99.39
153,50.2,130.28
155,46.7,140.04
157,48.5,134.85
159,52.1,125.53
161,61.5,106.34
163,64.4,101.55
165,60.5,108.1
167,50.9,128.49
169,43.1,151.74
173,53.0,123.4
175,53.0,123.4
183,47.2,138.56
185,47.5,137.68
187,36.7,178.2
190,54.2,120.66
201,56.5,115.75
210,57.2,114.34
217,62.9,103.97
219,64.2,101.87
223,49.9,131.06
230,52.0,125.77
240,44.7,146.31
250,63.7,102.67
253,48.1,135.97
259,50.8,128.74
260,62.6,104.47
265,48.8,134.02
269,42.6,153.52
270,60.0,109.0
306,62.5,104.64
316,56.0,116.79
320,60.0,109.0
326,73.3,89.22
329,49.6,131.85
330,72.1,90.71
336,51.1,127.98
340,78.6,83.21
350,50.4,129.76
360,77.5,84.39
370,65.1,100.46
376,66.5,98.35
390,66.9,97.76
400,86.2,75.87
410,62.3,104.98
420,81.6,80.15
430,59.0,110.85
440,66.2,98.79
450,66.5,98.35
461,55.2,118.48
479,73.4,89.1
480,56.5,115.75
482,77.9,83.95
492,77.6,84.28
510,101.5,64.43
530,70.8,92.37
540,80.1,81.65
550,88.8,73.65
561,62.5,104.64
563,39.3,166.41
573,63.8,102.51
575,81.2,80.54
580,79.1,82.68
607,72.7,89.96
615,71.8,91.09
621,64.7,101.08
630,62.8,104.14
657,81.5,80.25
661,83.9,77.95
665,66.3,98.64
671,85.4,76.58
706,81.8,79.95
707,104.0,62.88
710,71.2,91.85
727,83.3,78.51
730,83.8,78.04
740,72.6,90.08
741,64.5,101.4
746,67.7,96.6
751,76.5,85.49
756,77.3,84.61
760,83.4,78.42
766,66.2,98.79
773,123.1,53.13
779,89.0,73.48
787,82.6,79.18
791,84.2,77.67
810,68.2,95.89
813,72.9,89.71
820,75.0,87.2
825,56.4,115.96
840,54.4,120.22
846,61.3,106.69
849,68.0,96.18
851,71.3,91.73
860,78.0,83.85
