kommune_kode,commute_distance_km,commute_ratio,car_access_pct,car_access_ratio,commute_distance_ref
101,13.0,173.85,31.44,49.29,22.6
147,12.4,182.26,40.14,62.94,22.6
151,14.4,156.94,60.93,95.53,22.6
153,14.2,159.15,55.35,86.78,22.6
155,18.2,124.18,77.11,120.9,22.6
157,14.8,152.7,63.86,100.13,22.6
159,12.8,176.56,58.84,92.25,22.6
161,14.0,161.43,57.91,90.8,22.6
163,12.5,180.8,59.03,92.55,22.6
165,14.1,160.28,56.5,88.59,22.6
167,13.7,164.96,58.28,91.38,22.6
169,18.3,123.5,61.99,97.19,22.6
173,15.0,150.67,57.69,90.45,22.6
175,12.6,179.37,56.73,88.95,22.6
183,16.3,138.65,56.41,88.44,22.6
185,13.8,163.77,62.76,98.4,22.6
187,15.9,142.14,65.83,103.21,22.6
190,17.5,129.14,74.03,116.07,22.6
201,20.2,111.88,79.05,123.94,22.6
210,23.0,98.26,73.02,114.49,22.6
217,24.0,94.17,67.68,106.11,22.6
219,21.3,106.1,69.46,108.91,22.6
223,21.3,106.1,74.74,117.18,22.6
230,19.3,117.1,71.76,112.51,22.6
240,20.5,110.24,79.61,124.82,22.6
250,24.6,91.87,75.49,118.36,22.6
253,20.5,110.24,73.0,114.46,22.6
259,26.6,84.96,69.18,108.47,22.6
260,25.7,87.94,73.04,114.52,22.6
265,22.9,98.69,68.5,107.4,22.6
269,24.6,91.87,78.08,122.42,22.6
270,27.9,81.0,77.29,121.18,22.6
306,29.9,75.59,73.1,114.61,22.6
316,29.6,76.35,73.1,114.61,22.6
320,33.2,68.07,73.82,115.74,22.6
326,27.4,82.48,72.56,113.77,22.6
329,31.4,71.97,70.23,110.11,22.6
330,30.9,73.14,67.69,106.13,22.6
336,31.6,71.52,77.63,121.72,22.6
340,33.4,67.66,74.67,117.07,22.6
350,29.7,76.09,79.76,125.05,22.6
360,32.3,69.97,66.77,104.69,22.6
370,30.7,73.62,70.72,110.88,22.6
376,32.2,70.19,70.44,110.44,22.6
390,36.3,62.26,71.51,112.12,22.6
400,25.9,87.26,70.77,110.96,22.6
410,30.0,75.33,78.58,123.2,22.6
420,27.9,81.0,77.44,121.42,22.6
430,27.5,82.18,77.11,120.9,22.6
440,25.7,87.94,75.53,118.42,22.6
450,29.3,77.13,71.44,112.01,22.6
461,24.2,93.39,58.47,91.67,22.6
479,28.5,79.3,70.7,110.85,22.6
480,27.4,82.48,76.93,120.62,22.6
482,29.8,75.84,71.0,111.32,22.6
492,23.2,97.41,63.93,100.24,22.6
510,27.7,81.59,73.86,115.8,22.6
530,24.3,93.0,77.41,121.37,22.6
540,22.3,101.35,71.68,112.39,22.6
550,25.5,88.63,75.15,117.83,22.6
561,21.5,105.12,70.54,110.6,22.6
563,26.1,86.59,67.21,105.38,22.6
573,25.3,89.33,78.23,122.66,22.6
575,27.8,81.29,77.82,122.01,22.6
580,25.2,89.68,76.66,120.19,22.6
607,24.2,93.39,69.85,109.52,22.6
615,23.5,96.17,71.47,112.06,22.6
621,26.9,84.01,72.29,113.34,22.6
630,27.2,83.09,74.31,116.51,22.6
657,23.4,96.58,74.42,116.68,22.6
661,24.8,91.13,74.95,117.51,22.6
665,24.2,93.39,77.28,121.17,22.6
671,24.8,91.13,74.24,116.4,22.6
706,31.6,71.52,78.66,123.33,22.6
707,26.3,85.93,71.99,112.87,22.6
710,26.3,85.93,81.68,128.07,22.6
727,23.9,94.56,77.65,121.75,22.6
730,26.0,86.92,70.28,110.19,22.6
740,28.3,79.86,77.82,122.01,22.6
741,20.2,111.88,70.37,110.33,22.6
746,26.4,85.61,82.11,128.74,22.6
751,22.5,100.44,51.1,80.12,22.6
756,25.0,90.4,75.08,117.72,22.6
760,22.7,99.56,78.03,122.34,22.6
766,24.8,91.13,80.74,126.59,22.6
773,20.8,108.65,74.39,116.64,22.6
779,22.9,98.69,75.57,118.49,22.6
787,23.6,95.76,74.96,117.53,22.6
791,25.7,87.94,74.62,117.0,22.6
810,29.8,75.84,76.74,120.32,22.6
813,28.5,79.3,70.8,111.01,22.6
820,26.0,86.92,76.07,119.27,22.6
825,22.5,100.44,70.53,110.58,22.6
840,30.3,74.59,82.77,129.77,22.6
846,27.6,81.88,76.08,119.29,22.6
849,29.8,75.84,77.71,121.84,22.6
851,26.0,86.92,61.57,96.53,22.6
860,26.8,84.33,74.55,116.89,22.6
