kommune_kode,kommune_navn,slug,grade,composite,kollektiv_kvalitet,bevaegelsesfrihed,bilbehov,bil_skat_kr,tvunget_andel,valgt_andel,gini,p10,cdi,o_pt,o_car,reach_ratio,unserved_pct
101,København,dk-koebenhavn-0101,A,95.95,100.0,91.91,0.0,0,0.0,0.5381,0.033,86.64,0.0809,13.3863,15.5971,1.17,7.2
147,Frederiksberg,dk-frederiksberg-0147,B,61.8,24.23,99.37,0.0,0,0.0,0.5028,0.0091,95.38,0.0063,3.2962,3.3328,1.02,0
151,Ballerup,dk-ballerup-0151,C,48.99,10.07,87.91,0.0,0,0.0,0.5592,0.0278,82.37,0.1209,1.4108,1.7895,1.29,7.4
153,Brøndby,dk-broendby-0153,C,52.03,12.66,91.4,0.0,0,0.0,0.5421,0.0252,85.44,0.086,1.7565,2.0795,1.22,9.2
155,Dragør,dk-dragoer-0155,C,46.95,2.57,91.33,0.0,0,0.0,0.5428,0.0175,87.16,0.0867,0.4123,0.4894,1.2,18.5
157,Gentofte,dk-gentofte-0157,C,52.08,13.2,90.95,0.0,0,0.0,0.5446,0.0202,86.51,0.0905,1.8285,2.1866,1.2,1.5
159,Gladsaxe,dk-gladsaxe-0159,C,52.07,15.03,89.11,0.0,0,0.0,0.554,0.0174,86.45,0.1089,2.0719,2.5736,1.26,3
161,Glostrup,dk-glostrup-0161,C,48.67,4.04,93.3,0.0,0,0.0,0.5322,0.0252,85.2,0.067,0.6075,0.6913,1.2,6.8
163,Herlev,dk-herlev-0163,C,50.0,6.99,93.02,0.0,0,0.0,0.5344,0.0159,90,0.0698,1.0004,1.1484,1.19,9
165,Albertslund,dk-albertslund-0165,C,47.98,5.54,90.41,0.0,0,0.0,0.5468,0.0264,84.27,0.0959,0.8083,0.9753,1.22,4.8
167,Hvidovre,dk-hvidovre-0167,C,51.1,9.49,92.72,0.0,0,0.0,0.5355,0.0222,87.51,0.0728,1.3336,1.5373,1.15,3.3
169,Høje-Taastrup,dk-hoeje-taastrup-0169,C,46.1,9.39,82.81,0.0,0,0.0,0.5801,0.0712,65.57,0.1719,1.3209,1.8251,1.38,10
173,Lyngby-Taarbæk,dk-lyngby-taarbaek-0173,C,50.59,10.32,90.86,0.0,0,0.0,0.5444,0.0273,84.57,0.0914,1.4445,1.7261,1.21,2.5
175,Rødovre,dk-roedovre-0175,C,51.13,6.95,95.31,0.0,0,0.0,0.523,0.0137,92.63,0.0469,0.9956,1.0918,1.13,8.3
183,Ishøj,dk-ishoej-0183,C,47.41,6.73,88.08,0.0,0,0.0,0.5571,0.0398,78.79,0.1192,0.9664,1.2154,1.31,10.2
185,Tårnby,dk-taarnby-0185,B,61.7,36.67,86.73,0.0,0,0.0,0.566,0.0215,84.51,0.1327,4.953,6.4587,1.29,2
187,Vallensbæk,dk-vallensbaek-0187,C,48.17,4.61,91.74,0.0,0,0.0,0.5403,0.0256,86.72,0.0826,0.6841,0.804,1.19,14.8
190,Furesø,dk-furesoe-0190,C,47.08,7.93,86.22,0.0,0,0.0,0.5669,0.0369,79.77,0.1378,1.126,1.4736,1.33,15.4
201,Allerød,dk-alleroed-0201,D,43.2,4.75,81.64,0.0,0,0.0,0.586,0.0738,68.41,0.1836,0.7027,0.9947,1.43,20.1
210,Fredensborg,dk-fredensborg-0210,D,43.2,5.92,80.49,0.0,0,0.0,0.5922,0.0753,64.13,0.1951,0.8582,1.2464,1.44,18.3
217,Helsingør,dk-helsingoer-0217,C,45.21,6.41,84.02,0.0,0,0.0,0.5766,0.0584,70.35,0.1598,0.9235,1.2576,1.35,4
219,Hillerød,dk-hilleroed-0219,D,41.62,8.04,75.21,0.0858,0,0.0175,0.594,0.1432,43.73,0.2479,1.1413,1.7959,1.53,15.9
223,Hørsholm,dk-hoersholm-0223,C,47.81,3.46,92.16,0.0,0,0.0,0.5361,0.0423,82.53,0.0784,0.5315,0.6143,1.16,17.8
230,Rudersdal,dk-rudersdal-0230,C,47.36,7.18,87.53,0.0,0,0.0,0.5609,0.0314,82.22,0.1247,1.0258,1.3104,1.28,14.3
240,Egedal,dk-egedal-0240,D,39.6,5.64,73.56,0.1788,0,0.0372,0.5867,0.1085,50.11,0.2644,0.8208,1.3613,1.66,23.9
250,Frederikssund,dk-frederikssund-0250,D,32.24,5.46,59.03,0.6142,60000,0.1396,0.5423,0.2653,15.38,0.4097,0.7976,1.7097,2.05,25.8
253,Greve,dk-greve-0253,C,47.11,8.55,85.67,0.0,0,0.0,0.5691,0.0439,76.77,0.1433,1.2088,1.5968,1.32,15.4
259,Køge,dk-koege-0259,D,41.07,6.28,75.86,0.0339,0,0.0068,0.5977,0.1808,16.8,0.2414,0.9058,1.3845,1.46,20.9
260,Halsnæs,dk-halsnaes-0260,D,37.74,3.22,72.26,0.2516,0,0.0531,0.5804,0.0901,57.61,0.2774,0.4993,0.8633,1.71,37
265,Roskilde,dk-roskilde-0265,D,43.56,14.19,72.93,0.1837,0,0.0382,0.5863,0.1279,45.01,0.2707,1.9597,3.2591,1.64,13.8
269,Solrød,dk-solroed-0269,D,44.64,1.9,87.38,0.0,0,0.0,0.56,0.0525,76.68,0.1262,0.3228,0.4108,1.28,19.4
270,Gribskov,dk-gribskov-0270,D,30.38,3.37,57.39,0.7872,60000,0.185,0.52,0.16,35.4,0.4261,0.5186,1.2392,2.3,25.1
