kommune_kode,kommune_navn,n_deposition_kg_ha,n_deposition_ratio
101,København,8.88,88.8
147,Frederiksberg,9.75,97.5
151,Ballerup,10.1,101.0
153,Brøndby,10.01,100.1
155,Dragør,7.45,74.5
157,Gentofte,9.3,93.0
159,Gladsaxe,10.14,101.4
161,Glostrup,10.84,108.4
163,Herlev,10.45,104.5
165,Albertslund,10.61,106.1
167,Hvidovre,9.29,92.9
169,Høje-Taastrup,9.5,95.0
173,Lyngby-Taarbæk,9.33,93.3
175,Rødovre,10.39,103.9
183,Ishøj,9.31,93.1
185,Tårnby,8.09,80.9
187,Vallensbæk,9.93,99.3
190,Furesø,9.98,99.8
201,Allerød,9.81,98.1
210,Fredensborg,9.22,92.2
217,Helsingør,8.73,87.3
219,Hillerød,9.48,94.8
223,Hørsholm,8.91,89.1
230,Rudersdal,9.08,90.8
240,Egedal,9.37,93.7
250,Frederikssund,8.72,87.2
253,Greve,8.93,89.3
259,Køge,10.47,104.7
260,Halsnæs,8.6,86.0
265,Roskilde,9.33,93.3
269,Solrød,9.43,94.3
270,Gribskov,8.91,89.1
306,Odsherred,9.03,90.3
316,Holbæk,10.19,101.9
320,Faxe,10.64,106.4
326,Kalundborg,9.84,98.4
329,Ringsted,11.15,111.5
330,Slagelse,10.62,106.2
336,Stevns,9.59,95.9
340,Sorø,10.88,108.8
350,Lejre,10.0,100.0
360,Lolland,10.35,103.5
370,Næstved,11.09,110.9
376,Guldborgsund,10.25,102.5
390,Vordingborg,9.51,95.1
400,Bornholm,10.97,109.7
410,Middelfart,12.16,121.6
420,Assens,13.14,131.4
430,Faaborg-Midtfyn,12.52,125.2
440,Kerteminde,9.8,98.0
450,Nyborg,11.6,116.0
461,Odense,11.65,116.5
479,Svendborg,12.28,122.8
480,Nordfyns,11.38,113.8
482,Langeland,9.88,98.8
492,Ærø,8.88,88.8
510,Haderslev,14.67,146.7
530,Billund,13.64,136.4
540,Sønderborg,13.46,134.6
550,Tønder,14.8,148.0
561,Esbjerg,14.18,141.8
563,Fanø,9.84,98.4
573,Varde,13.39,133.9
575,Vejen,15.56,155.6
580,Aabenraa,16.14,161.4
607,Fredericia,12.6,126.0
615,Horsens,13.11,131.1
621,Kolding,13.75,137.5
630,Vejle,13.75,137.5
657,Herning,13.01,130.1
661,Holstebro,12.52,125.2
665,Lemvig,12.26,122.6
671,Struer,11.45,114.5
706,Syddjurs,10.43,104.3
707,Norddjurs,10.74,107.4
710,Favrskov,12.18,121.8
727,Odder,11.62,116.2
730,Randers,11.59,115.9
740,Silkeborg,12.04,120.4
741,Samsø,8.05,80.5
746,Skanderborg,11.88,118.8
751,Aarhus,11.52,115.2
756,Ikast-Brande,13.19,131.9
760,Ringkøbing-Skjern,13.15,131.5
766,Hedensted,12.53,125.3
773,Morsø,11.29,112.9
779,Skive,11.74,117.4
787,Thisted,10.34,103.4
791,Viborg,12.31,123.1
810,Brønderslev,11.93,119.3
813,Frederikshavn,9.85,98.5
820,Vesthimmerlands,12.69,126.9
825,Læsø,7.78,77.8
840,Rebild,13.16,131.6
846,Mariagerfjord,12.86,128.6
849,Jammerbugt,10.26,102.6
851,Aalborg,10.83,108.3
860,Hjørring,11.16,111.6
