kommune_kode,kommune_navn,n_belastning_pct_af_maal,areal_andel_med_maal_pct,n_kystvand_ratio
101,København,103.8,100.0,103.8
147,Frederiksberg,103.7,100.0,103.7
151,Ballerup,150.6,100.0,150.6
153,Brøndby,104.7,100.0,104.7
155,Dragør,104.8,100.0,104.8
157,Gentofte,103.7,100.0,103.7
159,Gladsaxe,114.3,100.0,114.3
161,Glostrup,104.2,100.0,104.2
163,Herlev,127.1,100.0,127.1
165,Albertslund,113.8,100.0,113.8
167,Hvidovre,104.1,100.0,104.1
169,Høje-Taastrup,144.2,100.0,144.2
173,Lyngby-Taarbæk,103.7,100.0,103.7
175,Rødovre,103.7,100.0,103.7
183,Ishøj,105.0,100.0,105.0
185,Tårnby,104.1,100.0,104.1
187,Vallensbæk,105.0,100.0,105.0
190,Furesø,136.5,100.0,136.5
201,Allerød,150.1,100.0,150.1
210,Fredensborg,121.7,100.0,121.7
217,Helsingør,165.6,100.0,165.6
219,Hillerød,179.4,100.0,179.4
223,Hørsholm,103.7,100.0,103.7
230,Rudersdal,103.7,100.0,103.7
240,Egedal,180.0,100.0,180.0
250,Frederikssund,183.3,100.0,183.3
253,Greve,112.0,100.0,112.0
259,Køge,107.8,100.0,107.8
260,Halsnæs,183.3,100.0,183.3
265,Roskilde,175.6,100.0,175.6
269,Solrød,105.0,100.0,105.0
270,Gribskov,183.3,100.0,183.3
306,Odsherred,163.4,100.0,163.4
316,Holbæk,175.3,100.0,175.3
320,Faxe,121.7,100.0,121.7
326,Kalundborg,144.0,100.0,144.0
329,Ringsted,131.4,100.0,131.4
330,Slagelse,149.2,100.0,149.2
336,Stevns,107.7,100.0,107.7
340,Sorø,147.7,100.0,147.7
350,Lejre,183.0,100.0,183.0
360,Lolland,149.6,100.0,149.6
370,Næstved,131.9,100.0,131.9
376,Guldborgsund,158.1,100.0,158.1
390,Vordingborg,143.4,100.0,143.4
400,Bornholm,98.0,100.0,98.0
410,Middelfart,185.6,100.0,185.6
420,Assens,192.4,100.0,192.4
430,Faaborg-Midtfyn,175.4,100.0,175.4
440,Kerteminde,179.3,100.0,179.3
450,Nyborg,195.3,100.0,195.3
461,Odense,172.5,100.0,172.5
479,Svendborg,156.8,100.0,156.8
480,Nordfyns,181.4,100.0,181.4
482,Langeland,145.5,100.0,145.5
492,Ærø,164.1,100.0,164.1
510,Haderslev,256.0,100.0,256.0
530,Billund,153.0,100.0,153.0
540,Sønderborg,144.8,100.0,144.8
550,Tønder,120.1,97.7,120.1
561,Esbjerg,214.0,100.0,214.0
563,Fanø,187.7,72.6,187.7
573,Varde,150.7,78.1,150.7
575,Vejen,254.8,100.0,254.8
580,Aabenraa,118.6,100.0,118.6
607,Fredericia,187.1,100.0,187.1
615,Horsens,146.4,100.0,146.4
621,Kolding,254.9,100.0,254.9
630,Vejle,156.4,100.0,156.4
657,Herning,169.9,100.0,169.9
661,Holstebro,177.4,100.0,177.4
665,Lemvig,173.4,100.0,173.4
671,Struer,198.4,100.0,198.4
706,Syddjurs,122.6,100.0,122.6
707,Norddjurs,117.9,100.0,117.9
710,Favrskov,125.0,100.0,125.0
727,Odder,155.9,100.0,155.9
730,Randers,156.3,100.0,156.3
740,Silkeborg,141.1,100.0,141.1
741,Samsø,156.2,100.0,156.2
746,Skanderborg,117.9,100.0,117.9
751,Aarhus,101.5,100.0,101.5
756,Ikast-Brande,170.6,100.0,170.6
760,Ringkøbing-Skjern,165.5,100.0,165.5
766,Hedensted,146.2,100.0,146.2
773,Morsø,231.6,100.0,231.6
779,Skive,220.2,100.0,220.2
787,Thisted,202.7,100.0,202.7
791,Viborg,215.7,100.0,215.7
810,Brønderslev,102.7,100.0,102.7
813,Frederikshavn,85.9,100.0,85.9
820,Vesthimmerlands,223.4,100.0,223.4
825,Læsø,88.2,100.0,88.2
840,Rebild,163.1,100.0,163.1
846,Mariagerfjord,194.2,100.0,194.2
849,Jammerbugt,126.7,100.0,126.7
851,Aalborg,120.3,100.0,120.3
860,Hjørring,84.4,100.0,84.4
