kommune_kode,kommune_navn,n_ceiling_kg_per_ha,markblok_ha_i_opland,n_ratio
101,København,100.7,1602.5,14.62
147,Frederiksberg,116.1,138.3,12.68
151,Ballerup,19.9,2422.5,74.0
153,Brøndby,29.6,920.2,49.75
155,Dragør,26.8,861.8,54.95
157,Gentofte,116.1,405.0,12.68
159,Gladsaxe,63.5,680.0,23.19
161,Glostrup,49.4,417.4,29.81
163,Herlev,39.0,493.8,37.76
165,Albertslund,26.3,1277.9,55.99
167,Hvidovre,58.8,629.6,25.04
169,Høje-Taastrup,13.9,8362.6,105.94
173,Lyngby-Taarbæk,116.1,616.1,12.68
175,Rødovre,116.1,193.3,12.68
183,Ishøj,20.8,1408.7,70.8
185,Tårnby,60.0,1783.9,24.54
187,Vallensbæk,20.8,497.7,70.8
190,Furesø,29.3,2898.5,50.26
201,Allerød,20.6,4420.6,71.48
210,Fredensborg,64.2,2703.2,22.94
217,Helsingør,18.7,5379.9,78.75
219,Hillerød,10.8,19467.8,136.35
223,Hørsholm,116.1,497.6,12.68
230,Rudersdal,116.1,1165.0,12.68
240,Egedal,10.8,13018.7,136.35
250,Frederikssund,10.7,30402.4,137.62
253,Greve,18.7,3819.4,78.75
259,Køge,19.9,14943.5,74.0
260,Halsnæs,10.0,11135.2,147.26
265,Roskilde,11.8,30648.0,124.79
269,Solrød,20.8,2181.0,70.8
270,Gribskov,10.0,20209.1,147.26
306,Odsherred,11.1,41576.7,132.66
316,Holbæk,11.7,84905.5,125.86
320,Faxe,18.5,34560.9,79.6
326,Kalundborg,12.0,38386.9,122.71
329,Ringsted,16.5,35571.7,89.25
330,Slagelse,15.3,47249.1,96.25
336,Stevns,20.8,14101.9,70.8
340,Sorø,15.0,28154.6,98.17
350,Lejre,11.5,40333.7,128.05
360,Lolland,19.8,91737.9,74.37
370,Næstved,16.9,85956.9,87.13
376,Guldborgsund,18.7,82159.9,78.75
390,Vordingborg,17.3,58371.0,85.12
400,Bornholm,14.9,34991.3,98.83
410,Middelfart,14.3,22508.8,102.98
411,Christiansø,0.0,0.0,150.0
420,Assens,11.4,65706.3,129.17
430,Faaborg-Midtfyn,13.9,100173.2,105.94
440,Kerteminde,13.8,26346.6,106.71
450,Nyborg,14.1,38910.5,104.44
461,Odense,14.4,55042.5,102.26
479,Svendborg,14.8,28684.2,99.5
480,Nordfyns,13.5,53558.9,109.08
482,Langeland,12.8,19798.9,115.04
492,Ærø,11.8,5878.1,124.79
510,Haderslev,10.7,74885.0,137.62
530,Billund,17.0,46151.8,86.62
540,Sønderborg,12.4,72161.5,118.76
550,Tønder,13.3,86509.3,110.72
561,Esbjerg,13.1,51656.6,112.41
563,Fanø,14.7,2803.9,100.17
573,Varde,16.8,75243.6,87.65
575,Vejen,12.8,59666.6,115.04
580,Aabenraa,13.6,82333.9,108.28
607,Fredericia,15.7,12351.6,93.79
615,Horsens,13.7,94489.1,107.49
621,Kolding,13.1,73816.7,112.41
630,Vejle,17.4,152059.6,84.63
657,Herning,16.8,172806.3,87.65
661,Holstebro,15.7,117746.3,93.79
665,Lemvig,15.6,88438.4,94.4
671,Struer,14.0,49656.6,105.18
706,Syddjurs,14.7,59741.1,100.17
707,Norddjurs,14.7,58296.3,100.17
710,Favrskov,13.3,93418.5,110.72
727,Odder,13.8,27991.1,106.71
730,Randers,13.3,134443.6,110.72
740,Silkeborg,13.1,152019.3,112.41
741,Samsø,12.7,7600.6,115.95
746,Skanderborg,13.9,65198.1,105.94
751,Aarhus,16.5,41468.5,89.25
756,Ikast-Brande,16.2,100180.2,90.9
760,Ringkøbing-Skjern,17.6,183567.2,83.67
766,Hedensted,14.4,78624.3,102.26
773,Morsø,12.7,70272.2,115.95
779,Skive,12.3,133433.9,119.72
787,Thisted,13.3,212790.3,110.72
791,Viborg,11.2,322245.7,131.48
810,Brønderslev,19.7,41779.8,74.75
813,Frederikshavn,24.2,36496.5,60.85
820,Vesthimmerlands,11.8,130425.0,124.79
825,Læsø,14.0,5562.0,105.18
840,Rebild,14.1,71444.5,104.44
846,Mariagerfjord,16.1,131948.2,91.46
849,Jammerbugt,16.1,67226.8,91.46
851,Aalborg,17.3,81281.0,85.12
860,Hjørring,21.4,49916.7,68.81
