kommune_kode,nitrogen_per_1000,phosphorus_per_1000,nitrogen_ratio,phosphorus_ratio,naer_nitrogen_ref,naer_phosphorus_ref
101,1.201,0.103,95.09,119.42,1.142,0.123
147,,,,,1.142,0.123
151,0.586,0.098,194.88,125.51,1.142,0.123
153,0.154,0.026,741.56,473.08,1.142,0.123
155,0.824,0.069,138.59,178.26,1.142,0.123
157,0.413,0.067,276.51,183.58,1.142,0.123
159,0.057,0.014,2003.51,878.57,1.142,0.123
161,0.169,0.042,675.74,292.86,1.142,0.123
163,0.134,,852.24,,1.142,0.123
165,0.217,0.036,526.27,341.67,1.142,0.123
167,3.125,0.372,36.54,33.06,1.142,0.123
169,0.174,0.017,656.32,723.53,1.142,0.123
173,1.469,0.239,77.74,51.46,1.142,0.123
175,0.068,,1679.41,,1.142,0.123
183,0.296,0.042,385.81,292.86,1.142,0.123
185,1.025,0.182,111.41,67.58,1.142,0.123
187,0.337,0.056,338.87,219.64,1.142,0.123
190,0.235,0.024,485.96,512.5,1.142,0.123
201,0.424,0.077,269.34,159.74,1.142,0.123
210,0.405,0.048,281.98,256.25,1.142,0.123
217,0.94,0.188,121.49,65.43,1.142,0.123
219,0.551,0.055,207.26,223.64,1.142,0.123
223,0.887,0.161,128.75,76.4,1.142,0.123
230,0.542,0.087,210.7,141.38,1.142,0.123
240,0.351,0.066,325.36,186.36,1.142,0.123
250,0.626,0.065,182.43,189.23,1.142,0.123
253,1.15,0.115,99.3,106.96,1.142,0.123
259,0.843,0.127,135.47,96.85,1.142,0.123
260,0.984,0.095,116.06,129.47,1.142,0.123
265,0.517,0.055,220.89,223.64,1.142,0.123
269,0.651,0.122,175.42,100.82,1.142,0.123
270,0.787,0.095,145.11,129.47,1.142,0.123
306,0.92,0.092,124.13,133.7,1.142,0.123
316,0.796,0.148,143.47,83.11,1.142,0.123
320,0.927,0.132,123.19,93.18,1.142,0.123
326,4.099,0.373,27.86,32.98,1.142,0.123
329,0.715,0.055,159.72,223.64,1.142,0.123
330,0.988,0.138,115.59,89.13,1.142,0.123
336,0.507,0.085,225.25,144.71,1.142,0.123
340,0.787,0.098,145.11,125.51,1.142,0.123
350,0.682,0.102,167.45,120.59,1.142,0.123
360,3.709,0.454,30.79,27.09,1.142,0.123
370,0.838,0.083,136.28,148.19,1.142,0.123
376,1.991,0.234,57.36,52.56,1.142,0.123
390,1.749,0.219,65.29,56.16,1.142,0.123
400,1.424,0.178,80.2,69.1,1.142,0.123
410,1.37,0.199,83.36,61.81,1.142,0.123
420,0.689,0.049,165.75,251.02,1.142,0.123
430,1.128,0.115,101.24,106.96,1.142,0.123
440,1.13,0.084,101.06,146.43,1.142,0.123
450,1.522,0.217,75.03,56.68,1.142,0.123
461,1.177,0.11,97.03,111.82,1.142,0.123
479,0.954,0.117,119.71,105.13,1.142,0.123
480,1.182,0.135,96.62,91.11,1.142,0.123
482,2.529,0.245,45.16,50.2,1.142,0.123
492,1.007,,113.41,,1.142,0.123
510,2.056,0.198,55.54,62.12,1.142,0.123
530,2.987,0.258,38.23,47.67,1.142,0.123
540,1.037,0.094,110.13,130.85,1.142,0.123
550,1.582,0.191,72.19,64.4,1.142,0.123
561,1.326,0.156,86.12,78.85,1.142,0.123
563,,,,,1.142,0.123
573,1.566,0.161,72.92,76.4,1.142,0.123
575,2.033,0.234,56.17,52.56,1.142,0.123
580,1.262,0.239,90.49,51.46,1.142,0.123
607,1.505,0.305,75.88,40.33,1.142,0.123
615,1.006,0.092,113.52,133.7,1.142,0.123
621,1.39,0.2,82.16,61.5,1.142,0.123
630,1.537,0.14,74.3,87.86,1.142,0.123
657,2.015,0.2,56.67,61.5,1.142,0.123
661,1.983,0.153,57.59,80.39,1.142,0.123
665,2.669,0.419,42.79,29.36,1.142,0.123
671,0.777,0.097,146.98,126.8,1.142,0.123
706,0.59,0.091,193.56,135.16,1.142,0.123
707,1.332,0.136,85.74,90.44,1.142,0.123
710,0.932,0.101,122.53,121.78,1.142,0.123
727,1.59,0.126,71.82,97.62,1.142,0.123
730,1.11,0.1,102.88,123.0,1.142,0.123
740,0.744,0.06,153.49,205.0,1.142,0.123
741,4.331,0.271,26.37,45.39,1.142,0.123
746,0.552,0.046,206.88,267.39,1.142,0.123
751,0.836,0.046,136.6,267.39,1.142,0.123
756,1.404,0.117,81.34,105.13,1.142,0.123
760,3.042,0.249,37.54,49.4,1.142,0.123
766,2.116,0.21,53.97,58.57,1.142,0.123
773,0.861,0.101,132.64,121.78,1.142,0.123
779,1.341,0.134,85.16,91.79,1.142,0.123
787,1.372,0.14,83.24,87.86,1.142,0.123
791,1.293,0.092,88.32,133.7,1.142,0.123
810,0.819,0.109,139.44,112.84,1.142,0.123
813,2.981,0.325,38.31,37.85,1.142,0.123
820,1.388,0.083,82.28,148.19,1.142,0.123
825,2.843,0.569,40.17,21.62,1.142,0.123
840,1.067,0.162,107.03,75.93,1.142,0.123
846,0.91,0.096,125.49,128.12,1.142,0.123
849,1.02,0.105,111.96,117.14,1.142,0.123
851,1.129,0.125,101.15,98.4,1.142,0.123
860,1.243,0.173,91.87,71.1,1.142,0.123
