kommune_kode,kommune_navn,nitrat_mg_l,nitrat_ratio,nitrat_antal_anlaeg
101,København,,,
147,Frederiksberg,2.3,38.3,1
151,Ballerup,1.28,21.3,5
153,Brøndby,,,
155,Dragør,2.2,36.7,2
157,Gentofte,1.2,20.0,1
159,Gladsaxe,0.95,15.8,2
161,Glostrup,1.73,28.8,3
163,Herlev,,,
165,Albertslund,1.48,24.7,2
167,Hvidovre,4.0,66.7,1
169,Høje-Taastrup,2.05,34.2,11
173,Lyngby-Taarbæk,2.33,38.8,4
175,Rødovre,3.02,50.3,3
183,Ishøj,3.13,52.2,3
185,Tårnby,2.24,37.3,2
187,Vallensbæk,2.8,46.7,1
190,Furesø,0.7,11.7,5
201,Allerød,1.2,20.0,9
210,Fredensborg,3.76,62.7,4
217,Helsingør,2.33,38.8,9
219,Hillerød,3.97,66.2,18
223,Hørsholm,1.8,30.0,3
230,Rudersdal,2.28,38.0,5
240,Egedal,1.61,26.8,18
250,Frederikssund,5.75,95.8,30
253,Greve,2.02,33.7,7
259,Køge,2.72,45.3,17
260,Halsnæs,9.54,159.0,9
265,Roskilde,2.21,36.8,28
269,Solrød,2.71,45.2,3
270,Gribskov,4.4,73.3,17
306,Odsherred,3.87,64.5,33
316,Holbæk,2.47,41.2,52
320,Faxe,2.52,42.0,22
326,Kalundborg,2.98,49.7,48
329,Ringsted,2.5,41.7,19
330,Slagelse,3.34,55.7,27
336,Stevns,2.81,46.8,20
340,Sorø,2.25,37.5,13
350,Lejre,3.15,52.5,47
360,Lolland,2.58,43.0,29
370,Næstved,2.06,34.3,55
376,Guldborgsund,3.2,53.3,49
390,Vordingborg,6.24,104.0,57
400,Bornholm,1.66,27.7,19
410,Middelfart,2.54,42.3,22
420,Assens,1.99,33.2,37
430,Faaborg-Midtfyn,1.64,27.3,25
440,Kerteminde,1.84,30.7,11
450,Nyborg,1.89,31.5,17
461,Odense,1.56,26.0,15
479,Svendborg,2.84,47.3,21
480,Nordfyns,1.48,24.7,35
482,Langeland,3.35,55.8,9
492,Ærø,11.41,190.2,4
510,Haderslev,1.79,29.8,30
530,Billund,0.41,6.8,6
540,Sønderborg,3.05,50.8,42
550,Tønder,1.21,20.2,27
561,Esbjerg,1.56,26.0,22
563,Fanø,3.8,63.3,1
573,Varde,2.1,35.0,19
575,Vejen,1.1,18.3,14
580,Aabenraa,0.98,16.3,41
607,Fredericia,0.53,8.8,6
615,Horsens,1.28,21.3,23
621,Kolding,1.07,17.8,40
630,Vejle,1.91,31.8,44
657,Herning,2.72,45.3,17
661,Holstebro,1.99,33.2,18
665,Lemvig,0.95,15.8,12
671,Struer,8.58,143.0,9
706,Syddjurs,3.27,54.5,70
707,Norddjurs,9.61,160.2,41
710,Favrskov,8.28,138.0,30
727,Odder,2.14,35.7,12
730,Randers,8.37,139.5,66
740,Silkeborg,3.01,50.2,23
741,Samsø,3.75,62.5,5
746,Skanderborg,4.9,81.7,25
751,Aarhus,1.0,16.7,47
756,Ikast-Brande,0.65,10.8,5
760,Ringkøbing-Skjern,1.44,24.0,18
766,Hedensted,3.11,51.8,34
773,Morsø,5.6,93.3,24
779,Skive,1.76,29.3,25
787,Thisted,5.18,86.3,30
791,Viborg,3.0,50.0,38
810,Brønderslev,4.57,76.2,24
813,Frederikshavn,3.86,64.3,14
820,Vesthimmerlands,6.29,104.8,49
825,Læsø,0.59,9.8,1
840,Rebild,8.68,144.7,43
846,Mariagerfjord,3.99,66.5,49
849,Jammerbugt,10.51,175.2,46
851,Aalborg,20.47,341.2,117
860,Hjørring,4.43,73.8,31
