kommune_kode,kommune_navn,kommunegruppe,public_transport_raw,public_transport_ref,andel_middel,andel_lavt,andel_intet,befolkning_2021,gtfs_dato
101,København,1,89.33,37.01,4.93,1.24,4.5,634390,2026-09-30
147,Frederiksberg,1,95.71,37.01,1.12,1.66,1.51,104261,2026-09-30
151,Ballerup,1,55.33,37.01,25.18,9.82,9.68,49122,2026-09-30
153,Brøndby,1,66.08,37.01,16.0,2.83,15.1,35052,2026-09-30
155,Dragør,1,46.81,37.01,24.01,8.06,21.12,14463,2026-09-30
157,Gentofte,1,74.06,37.01,14.14,4.01,7.8,73356,2026-09-30
159,Gladsaxe,1,70.25,37.01,10.97,2.67,16.11,69793,2026-09-30
161,Glostrup,1,64.03,37.01,20.23,6.82,8.92,22930,2026-09-30
163,Herlev,1,65.66,37.01,13.19,1.81,19.34,28727,2026-09-30
165,Albertslund,1,60.48,37.01,25.38,7.61,6.53,28290,2026-09-30
167,Hvidovre,1,66.33,37.01,13.71,2.41,17.54,53816,2026-09-30
169,Høje-Taastrup,1,52.41,37.01,26.88,9.99,10.72,51509,2026-09-30
173,Lyngby-Taarbæk,1,60.6,37.01,23.6,5.44,10.37,55929,2026-09-30
175,Rødovre,1,76.45,37.01,11.73,1.83,9.99,41473,2026-09-30
183,Ishøj,1,35.71,37.01,38.8,16.3,9.19,23312,2026-09-30
185,Tårnby,1,64.45,37.01,14.98,5.99,14.59,41665,2026-09-30
187,Vallensbæk,1,49.13,37.01,19.53,12.02,19.31,15196,2026-09-30
190,Furesø,1,44.77,37.01,25.84,14.96,14.42,41212,2026-09-30
201,Allerød,1,26.57,37.01,29.69,16.78,26.96,25824,2026-09-30
210,Fredensborg,4,31.19,37.01,26.4,25.54,16.87,40695,2026-09-30
217,Helsingør,3,55.02,37.01,22.17,15.27,7.54,62853,2026-09-30
219,Hillerød,3,40.52,37.01,24.3,17.31,17.87,51438,2026-09-30
223,Hørsholm,1,47.88,37.01,14.32,18.11,19.69,24986,2026-09-30
230,Rudersdal,1,45.58,37.01,23.88,13.45,17.09,57458,2026-09-30
240,Egedal,1,16.9,37.01,37.07,20.64,25.4,43309,2026-09-30
250,Frederikssund,4,19.32,37.01,21.12,24.8,34.76,45354,2026-09-30
253,Greve,1,26.8,37.01,33.21,15.3,24.69,50431,2026-09-30
259,Køge,3,37.87,37.01,26.76,9.42,25.95,61300,2026-09-30
260,Halsnæs,4,8.03,37.01,26.91,28.83,36.22,31328,2026-09-30
265,Roskilde,3,41.11,37.01,21.94,17.94,19.01,88790,2026-09-30
269,Solrød,1,18.1,37.01,18.92,42.85,20.13,23412,2026-09-30
270,Gribskov,4,12.69,37.01,25.86,27.56,33.9,40865,2026-09-30
306,Odsherred,5,5.96,37.01,20.16,36.05,37.84,32833,2026-09-30
316,Holbæk,4,24.91,37.01,25.34,24.91,24.84,71839,2026-09-30
320,Faxe,4,8.97,37.01,23.32,27.05,40.66,36674,2026-09-30
326,Kalundborg,5,13.34,37.01,28.29,32.95,25.42,48375,2026-09-30
329,Ringsted,4,36.81,37.01,25.3,19.25,18.64,34781,2026-09-30
330,Slagelse,3,30.16,37.01,27.85,18.0,23.99,78937,2026-09-30
336,Stevns,4,9.05,37.01,22.58,31.78,36.6,22998,2026-09-30
340,Sorø,4,18.52,37.01,26.03,29.55,25.9,29958,2026-09-30
350,Lejre,4,6.91,37.01,30.04,33.19,29.86,28096,2026-09-30
360,Lolland,5,8.09,37.01,16.83,49.85,25.23,40412,2026-09-30
370,Næstved,3,24.38,37.01,27.91,14.15,33.56,82967,2026-09-30
376,Guldborgsund,5,14.6,37.01,17.61,25.88,41.91,60194,2026-09-30
390,Vordingborg,5,13.73,37.01,27.3,22.38,36.59,45186,2026-09-30
400,Bornholm,5,11.46,37.01,30.12,32.26,26.17,39511,2026-09-30
410,Middelfart,4,4.49,37.01,10.31,63.5,21.7,39032,2026-09-30
420,Assens,4,5.86,37.01,21.97,41.01,31.15,40830,2026-09-30
430,Faaborg-Midtfyn,4,2.64,37.01,22.16,44.49,30.71,51628,2026-09-30
440,Kerteminde,4,3.47,37.01,25.86,42.84,27.83,23833,2026-09-30
450,Nyborg,4,22.26,37.01,26.1,26.2,25.43,31891,2026-09-30
461,Odense,2,46.92,37.01,19.47,9.92,23.69,205085,2026-09-30
479,Svendborg,5,19.62,37.01,25.43,35.49,19.46,58489,2026-09-30
480,Nordfyns,4,8.23,37.01,15.34,40.51,35.92,29529,2026-09-30
482,Langeland,5,0.57,37.01,13.09,54.27,32.07,12347,2026-09-30
492,Ærø,5,0.0,37.01,1.77,36.7,61.54,5958,2026-09-30
510,Haderslev,5,19.29,37.01,17.6,33.42,29.7,55312,2026-09-30
530,Billund,5,2.3,37.01,10.36,29.99,57.35,26513,2026-09-30
540,Sønderborg,5,10.21,37.01,21.79,42.41,25.59,73723,2026-09-30
550,Tønder,5,0.92,37.01,11.92,42.95,44.22,37087,2026-09-30
561,Esbjerg,3,43.78,37.01,16.14,18.11,21.98,115420,2026-09-30
563,Fanø,5,0.0,37.01,0.0,0.0,100.0,3456,2026-09-30
573,Varde,5,1.24,37.01,9.65,47.66,41.45,49591,2026-09-30
575,Vejen,4,1.65,37.01,12.89,42.82,42.65,42741,2026-09-30
580,Aabenraa,5,10.68,37.01,17.58,42.15,29.59,59051,2026-09-30
607,Fredericia,3,14.41,37.01,36.89,31.25,17.46,51106,2026-09-30
615,Horsens,3,29.57,37.01,23.48,22.47,24.47,92030,2026-09-30
621,Kolding,3,33.76,37.01,18.23,24.21,23.8,93085,2026-09-30
630,Vejle,3,18.81,37.01,25.79,29.46,25.94,116857,2026-09-30
657,Herning,3,16.57,37.01,20.04,33.27,30.12,89078,2026-09-30
661,Holstebro,3,2.03,37.01,15.21,33.08,49.68,58549,2026-09-30
665,Lemvig,5,0.0,37.01,8.7,32.33,58.98,19597,2026-09-30
671,Struer,5,1.17,37.01,13.32,57.4,28.11,20782,2026-09-30
706,Syddjurs,4,10.35,37.01,19.53,25.64,44.48,43140,2026-09-30
707,Norddjurs,5,0.0,37.01,7.55,56.34,36.11,36902,2026-09-30
710,Favrskov,4,8.05,37.01,17.25,40.35,34.36,48362,2026-09-30
727,Odder,4,12.89,37.01,17.65,48.69,20.77,22990,2026-09-30
730,Randers,3,47.65,37.01,17.86,18.23,16.26,97941,2026-09-30
740,Silkeborg,3,20.9,37.01,22.62,31.3,25.18,95373,2026-09-30
741,Samsø,5,0.0,37.01,0.0,0.58,99.42,3680,2026-09-30
746,Skanderborg,4,11.39,37.01,20.3,20.01,48.29,63325,2026-09-30
751,Aarhus,2,62.62,37.01,16.89,8.0,12.49,351503,2026-09-30
756,Ikast-Brande,4,2.88,37.01,10.5,40.46,46.16,41440,2026-09-30
760,Ringkøbing-Skjern,5,0.38,37.01,7.81,39.09,52.72,56098,2026-09-30
766,Hedensted,4,3.62,37.01,16.41,43.51,36.46,46694,2026-09-30
773,Morsø,5,5.89,37.01,16.99,45.84,31.27,20056,2026-09-30
779,Skive,5,7.19,37.01,14.11,42.3,36.4,45362,2026-09-30
787,Thisted,5,7.35,37.01,13.72,40.34,38.59,43117,2026-09-30
791,Viborg,3,20.19,37.01,13.9,33.18,32.73,96514,2026-09-30
810,Brønderslev,5,3.16,37.01,12.56,41.49,42.78,36128,2026-09-30
813,Frederikshavn,5,3.55,37.01,15.31,49.2,31.94,58990,2026-09-30
820,Vesthimmerlands,5,5.05,37.01,14.16,34.47,46.32,36317,2026-09-30
825,Læsø,5,0.0,37.01,0.0,53.24,46.76,1761,2026-09-30
840,Rebild,4,2.2,37.01,16.51,46.36,34.94,30504,2026-09-30
846,Mariagerfjord,5,7.45,37.01,14.76,47.22,30.57,41471,2026-09-30
849,Jammerbugt,5,2.21,37.01,14.96,39.46,43.37,38139,2026-09-30
851,Aalborg,2,47.2,37.01,22.19,11.7,18.91,219074,2026-09-30
860,Hjørring,5,4.34,37.01,14.84,35.29,45.53,64068,2026-09-30
