kommune_kode,kommune_navn,pesticid_pct_fund,pesticid_pct_fund_observeret,pesticid_ratio,pesticid_aktive_anlaeg,pesticid_anlaeg_med_fund,pesticider_ref
101,København,,,,,,30.4713
147,Frederiksberg,35.49,100.0,116.5,1,1,30.4713
151,Ballerup,35.11,50.0,115.2,4,2,30.4713
153,Brøndby,,,,,,30.4713
155,Dragør,,,,,,30.4713
157,Gentofte,35.49,100.0,116.5,1,1,30.4713
159,Gladsaxe,33.1,50.0,108.6,2,1,30.4713
161,Glostrup,39.84,100.0,130.7,2,2,30.4713
163,Herlev,,,,,,30.4713
165,Albertslund,33.1,50.0,108.6,2,1,30.4713
167,Hvidovre,35.49,100.0,116.5,1,1,30.4713
169,Høje-Taastrup,37.96,50.0,124.6,8,4,30.4713
173,Lyngby-Taarbæk,33.1,50.0,108.6,2,1,30.4713
175,Rødovre,39.84,100.0,130.7,2,2,30.4713
183,Ishøj,39.84,100.0,130.7,2,2,30.4713
185,Tårnby,33.1,50.0,108.6,2,1,30.4713
187,Vallensbæk,35.49,100.0,116.5,1,1,30.4713
190,Furesø,38.74,60.0,127.1,5,3,30.4713
201,Allerød,36.23,44.44,118.9,9,4,30.4713
210,Fredensborg,26.37,0.0,86.5,2,0,30.4713
217,Helsingør,27.54,20.0,90.4,5,1,30.4713
219,Hillerød,19.18,11.11,62.9,18,2,30.4713
223,Hørsholm,28.27,0.0,92.8,1,0,30.4713
230,Rudersdal,49.95,100.0,163.9,5,5,30.4713
240,Egedal,44.38,57.14,145.6,14,8,30.4713
250,Frederikssund,48.69,57.69,159.8,26,15,30.4713
253,Greve,31.01,33.33,101.8,3,1,30.4713
259,Køge,39.92,47.06,131.0,17,8,30.4713
260,Halsnæs,37.96,50.0,124.6,8,4,30.4713
265,Roskilde,40.48,45.83,132.8,24,11,30.4713
269,Solrød,31.01,33.33,101.8,3,1,30.4713
270,Gribskov,49.97,66.67,164.0,15,10,30.4713
306,Odsherred,18.05,12.9,59.2,31,4,30.4713
316,Holbæk,30.97,31.11,101.6,45,14,30.4713
320,Faxe,18.01,10.0,59.1,20,2,30.4713
326,Kalundborg,27.04,26.09,88.7,46,12,30.4713
329,Ringsted,19.82,11.76,65.0,17,2,30.4713
330,Slagelse,29.9,29.63,98.1,27,8,30.4713
336,Stevns,46.83,57.89,153.7,19,11,30.4713
340,Sorø,30.62,30.77,100.5,13,4,30.4713
350,Lejre,36.79,38.64,120.7,44,17,30.4713
360,Lolland,26.2,24.0,86.0,25,6,30.4713
370,Næstved,14.9,10.64,48.9,47,5,30.4713
376,Guldborgsund,30.84,30.95,101.2,42,13,30.4713
390,Vordingborg,19.89,16.22,65.3,37,6,30.4713
400,Bornholm,49.97,64.71,164.0,17,11,30.4713
410,Middelfart,28.9,27.78,94.8,18,5,30.4713
420,Assens,40.37,44.12,132.5,34,15,30.4713
430,Faaborg-Midtfyn,29.62,29.17,97.2,24,7,30.4713
440,Kerteminde,33.19,36.36,108.9,11,4,30.4713
450,Nyborg,30.9,31.25,101.4,16,5,30.4713
461,Odense,41.57,54.55,136.4,11,6,30.4713
479,Svendborg,49.97,63.16,164.0,19,12,30.4713
480,Nordfyns,24.34,21.88,79.9,32,7,30.4713
482,Langeland,26.08,16.67,85.6,6,1,30.4713
492,Ærø,23.24,0.0,76.3,4,0,30.4713
