kommune_kode,music_school_per_1k,music_school_ratio,music_school_ref
101,2.5,23.02,10.86
147,10.2,93.92,10.86
151,25.18,231.86,10.86
153,9.13,84.07,10.86
155,14.12,130.02,10.86
157,14.89,137.11,10.86
159,13.47,124.03,10.86
161,7.72,71.09,10.86
163,12.44,114.55,10.86
165,16.89,155.52,10.86
167,17.56,161.69,10.86
169,9.77,89.96,10.86
173,20.39,187.75,10.86
175,17.03,156.81,10.86
183,17.44,160.59,10.86
185,13.97,128.64,10.86
187,17.85,164.36,10.86
190,23.13,212.98,10.86
201,23.73,218.51,10.86
210,14.72,135.54,10.86
217,9.55,87.94,10.86
219,13.22,121.73,10.86
223,19.19,176.7,10.86
230,18.87,173.76,10.86
240,10.93,100.64,10.86
250,6.82,62.8,10.86
253,15.22,140.15,10.86
259,9.58,88.21,10.86
260,15.33,141.16,10.86
265,16.85,155.16,10.86
269,11.4,104.97,10.86
270,9.04,83.24,10.86
306,9.31,85.73,10.86
316,8.87,81.68,10.86
320,8.67,79.83,10.86
326,7.63,70.26,10.86
329,15.02,138.31,10.86
330,5.42,49.91,10.86
336,11.9,109.58,10.86
340,11.85,109.12,10.86
350,17.81,164.0,10.86
360,11.4,104.97,10.86
370,11.53,106.17,10.86
376,8.19,75.41,10.86
390,17.84,164.27,10.86
400,11.04,101.66,10.86
410,10.81,99.54,10.86
420,12.87,118.51,10.86
430,13.54,124.68,10.86
440,10.36,95.4,10.86
450,11.35,104.51,10.86
461,5.42,49.91,10.86
479,14.18,130.57,10.86
480,10.36,95.4,10.86
482,14.78,136.1,10.86
492,10.71,98.62,10.86
510,10.06,92.63,10.86
530,22.82,210.13,10.86
540,10.59,97.51,10.86
550,7.61,70.07,10.86
561,18.13,166.94,10.86
563,,,10.86
573,14.86,136.83,10.86
575,5.43,50.0,10.86
580,5.97,54.97,10.86
607,11.61,106.91,10.86
615,9.46,87.11,10.86
621,12.39,114.09,10.86
630,10.17,93.65,10.86
657,7.91,72.84,10.86
661,9.46,87.11,10.86
665,15.64,144.01,10.86
671,17.99,165.65,10.86
706,11.16,102.76,10.86
707,9.36,86.19,10.86
710,10.72,98.71,10.86
727,11.21,103.22,10.86
730,7.3,67.22,10.86
740,12.48,114.92,10.86
741,,,10.86
746,19.3,177.72,10.86
751,6.52,60.04,10.86
756,7.74,71.27,10.86
760,12.16,111.97,10.86
766,7.93,73.02,10.86
773,5.43,50.0,10.86
779,10.42,95.95,10.86
787,11.55,106.35,10.86
791,7.57,69.71,10.86
810,10.19,93.83,10.86
813,16.45,151.47,10.86
820,14.02,129.1,10.86
825,,,10.86
840,11.05,101.75,10.86
846,15.5,142.73,10.86
849,24.29,223.66,10.86
851,17.67,162.71,10.86
860,12.87,118.51,10.86
