kommune_kode,hospital_short_pct,hospital_short_ratio,hospital_long_pct,hospital_long_ratio,gp_distance_km,gp_distance_ratio
101,42.14,113.05,7.17,114.09,0.6,400.0
147,46.11,103.32,8.26,99.03,0.5,480.0
151,49.82,95.62,8.93,91.6,1.2,200.0
153,49.36,96.52,9.14,89.5,0.8,300.0
155,49.6,96.05,8.55,95.67,1.3,184.62
157,49.66,95.93,7.84,104.34,0.8,300.0
159,46.97,101.43,8.53,95.9,1.1,218.18
161,50.73,93.91,9.14,89.5,1.4,171.43
163,49.96,95.36,9.02,90.69,2.0,120.0
165,50.43,94.47,8.86,92.33,1.3,184.62
167,49.61,96.03,8.76,93.38,0.9,266.67
169,47.98,99.29,8.99,90.99,1.5,160.0
173,46.75,101.9,7.68,106.51,1.1,218.18
175,47.39,100.53,8.64,94.68,1.1,218.18
183,47.99,99.27,8.6,95.12,1.2,200.0
185,48.35,98.53,8.44,96.92,0.8,300.0
187,47.44,100.42,8.29,98.67,1.0,240.0
190,49.15,96.93,8.54,95.78,1.6,150.0
201,49.89,95.49,8.08,101.24,1.6,150.0
210,51.03,93.36,8.81,92.85,1.5,160.0
217,53.44,89.15,9.29,88.05,1.3,184.62
219,51.17,93.1,8.6,95.12,2.7,88.89
223,51.13,93.17,8.88,92.12,1.3,184.62
230,48.5,98.23,8.24,99.27,1.8,133.33
240,49.52,96.2,8.46,96.69,1.7,141.18
250,52.94,89.99,9.45,86.56,2.6,92.31
253,47.0,101.36,8.35,97.96,1.7,141.18
259,48.27,98.69,8.51,96.12,2.4,100.0
260,53.44,89.15,9.97,82.05,2.8,85.71
265,46.76,101.88,7.62,107.35,1.9,126.32
269,49.66,95.93,7.96,102.76,1.5,160.0
270,53.28,89.41,9.81,83.38,3.1,77.42
306,52.0,91.62,10.29,79.49,4.3,55.81
316,48.49,98.25,8.58,95.34,3.2,75.0
320,48.41,98.41,9.26,88.34,2.9,82.76
326,49.45,96.34,9.29,88.05,4.5,53.33
329,47.23,100.87,8.33,98.2,3.0,80.0
330,51.88,91.83,9.68,84.5,3.3,72.73
336,49.27,96.69,8.52,96.01,3.6,66.67
340,50.32,94.67,9.22,88.72,3.1,77.42
350,48.41,98.41,8.62,94.9,3.9,61.54
360,52.83,90.18,11.0,74.36,4.6,52.17
370,50.26,94.79,8.96,91.29,3.1,77.42
376,52.99,89.9,10.23,79.96,4.1,58.54
390,50.53,94.28,9.68,84.5,3.5,68.57
400,58.93,80.84,10.61,77.1,3.2,75.0
410,53.26,89.45,8.19,99.88,2.4,100.0
420,51.38,92.72,7.89,103.68,3.2,75.0
430,49.15,96.93,7.91,103.41,3.4,70.59
440,52.46,90.81,8.27,98.91,2.8,85.71
450,50.56,94.22,8.16,100.25,2.7,88.89
461,46.91,101.56,7.08,115.54,1.8,133.33
479,50.28,94.75,7.67,106.65,3.2,75.0
480,51.86,91.86,7.99,102.38,3.2,75.0
482,55.51,85.82,9.39,87.11,8.7,27.59
492,51.38,92.72,9.33,87.67,4.1,58.54
510,50.96,93.49,8.27,98.91,3.9,61.54
530,51.73,92.09,8.06,101.49,2.7,88.89
540,53.38,89.25,8.64,94.68,2.2,109.09
550,51.17,93.1,8.79,93.06,3.6,66.67
561,52.66,90.47,8.78,93.17,2.6,92.31
563,50.43,94.47,9.06,90.29,2.6,92.31
573,48.38,98.47,8.5,96.24,4.2,57.14
575,51.11,93.21,8.07,101.36,3.1,77.42
580,51.27,92.92,8.65,94.57,3.6,66.67
607,53.1,89.72,8.16,100.25,2.0,120.0
615,44.84,106.24,7.87,103.94,3.2,75.0
621,49.47,96.3,7.7,106.23,2.5,96.0
630,48.78,97.66,7.86,104.07,3.0,80.0
657,47.1,101.15,7.35,111.29,3.7,64.86
661,47.68,99.92,7.41,110.39,3.8,63.16
665,46.91,101.56,7.86,104.07,4.9,48.98
671,49.46,96.32,8.37,97.73,3.4,70.59
706,45.64,104.38,7.65,106.93,3.6,66.67
707,47.15,101.04,8.3,98.55,3.4,70.59
710,44.49,107.08,7.12,114.89,2.8,85.71
727,44.36,107.39,7.29,112.21,4.5,53.33
730,47.67,99.94,8.0,102.25,2.9,82.76
740,46.82,101.75,8.32,98.32,3.2,75.0
741,48.75,97.72,11.07,73.89,4.6,52.17
746,43.51,109.49,6.97,117.36,2.9,82.76
751,38.93,122.37,6.76,121.01,1.3,184.62
756,46.78,101.84,7.77,105.28,2.9,82.76
760,47.24,100.85,7.44,109.95,3.9,61.54
766,46.8,101.79,7.82,104.6,4.1,58.54
773,49.34,96.55,9.42,86.84,5.3,45.28
779,49.05,97.13,9.02,90.69,4.0,60.0
787,50.17,94.96,8.7,94.02,5.1,47.06
791,48.63,97.96,8.65,94.57,3.4,70.59
810,48.36,98.51,8.75,93.49,3.2,75.0
813,49.96,95.36,8.96,91.29,3.0,80.0
820,50.55,94.24,9.09,89.99,3.8,63.16
825,45.37,105.0,10.23,79.96,5.3,45.28
840,47.23,100.87,8.41,97.27,2.7,88.89
846,48.35,98.53,8.95,91.4,3.2,75.0
849,50.01,95.26,9.34,87.58,3.9,61.54
851,44.78,106.39,7.98,102.51,2.1,114.29
860,51.54,92.43,9.1,89.89,3.6,66.67
