kommune_kode,indicator_id,aar,raw_value
101,alkohol,2010,30.5
101,alkohol,2013,27.6
101,alkohol,2017,23.5
101,alkohol,2021,19.1
101,alkohol,2025,17.7
147,alkohol,2010,33.1
147,alkohol,2013,28.9
147,alkohol,2017,24.1
147,alkohol,2021,20.5
147,alkohol,2025,18.2
151,alkohol,2010,25.1
151,alkohol,2013,19.9
151,alkohol,2017,18.2
151,alkohol,2021,15.3
151,alkohol,2025,12.6
153,alkohol,2010,21.9
153,alkohol,2013,17.5
153,alkohol,2017,15.8
153,alkohol,2021,13.3
153,alkohol,2025,11.0
155,alkohol,2010,30.5
155,alkohol,2013,26.8
155,alkohol,2017,23.5
155,alkohol,2021,22.2
155,alkohol,2025,20.4
157,alkohol,2010,32.2
157,alkohol,2013,29.1
157,alkohol,2017,25.5
157,alkohol,2021,25.0
157,alkohol,2025,20.0
159,alkohol,2010,27.3
159,alkohol,2013,22.1
159,alkohol,2017,17.9
159,alkohol,2021,16.0
159,alkohol,2025,13.5
161,alkohol,2010,24.8
161,alkohol,2013,19.5
161,alkohol,2017,16.3
161,alkohol,2021,14.9
161,alkohol,2025,12.4
163,alkohol,2010,24.4
163,alkohol,2013,23.6
163,alkohol,2017,17.5
163,alkohol,2021,15.1
163,alkohol,2025,12.5
165,alkohol,2010,22.6
165,alkohol,2013,19.6
165,alkohol,2017,16.0
165,alkohol,2021,12.8
165,alkohol,2025,10.6
167,alkohol,2010,23.7
167,alkohol,2013,21.3
167,alkohol,2017,17.0
167,alkohol,2021,13.7
167,alkohol,2025,11.6
169,alkohol,2010,25.3
169,alkohol,2013,18.6
169,alkohol,2017,16.2
169,alkohol,2021,11.5
169,alkohol,2025,11.2
173,alkohol,2010,30.8
173,alkohol,2013,24.9
173,alkohol,2017,20.8
173,alkohol,2021,17.8
173,alkohol,2025,15.5
175,alkohol,2010,26.5
175,alkohol,2013,20.8
175,alkohol,2017,18.1
175,alkohol,2021,13.6
175,alkohol,2025,13.5
183,alkohol,2010,22.2
183,alkohol,2013,16.3
183,alkohol,2017,13.4
183,alkohol,2021,11.8
183,alkohol,2025,10.6
185,alkohol,2010,24.8
185,alkohol,2013,19.5
185,alkohol,2017,17.8
185,alkohol,2021,15.3
185,alkohol,2025,15.7
187,alkohol,2010,24.0
