kommune_kode,selvvurderet_helbred_pct,selvvurderet_helbred_ratio,mentalt_helbred_pct,mentalt_helbred_ratio,rygning_pct,rygning_ratio,alkohol_pct,alkohol_ratio,fysisk_aktivitet_pct,fysisk_aktivitet_ratio,kost_pct,kost_ratio,svaer_overvaegt_pct,svaer_overvaegt_ratio,ensomhed_pct,ensomhed_ratio,social_stoette_pct,social_stoette_ratio,selvvurderet_helbred_ref,mentalt_helbred_ref,rygning_ref,alkohol_ref,fysisk_aktivitet_ref,kost_ref,svaer_overvaegt_ref,ensomhed_ref,social_stoette_ref
101,85.4,104.06,18.8,84.73,10.6,98.77,17.7,81.22,41.0,125.43,11.8,150,11.4,150,12.9,83.72,6.1,85.3,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
147,85.7,104.42,15.3,104.11,9.0,116.33,18.2,78.99,42.8,120.15,11.8,150,9.3,150,10.3,104.85,4.3,121.01,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
151,80.0,97.48,18.5,86.1,8.5,123.18,12.6,114.1,52.2,98.51,18.2,101.02,18.7,98.56,11.8,91.52,4.6,113.12,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
153,75.5,92.0,21.3,74.79,15.7,66.69,11.0,130.7,58.2,88.36,22.6,81.35,27.6,66.78,13.7,78.83,7.4,70.32,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
155,84.1,102.48,14.4,110.62,8.1,129.26,20.4,70.47,47.9,107.36,13.3,138.23,12.4,148.63,7.7,140.25,4.7,110.71,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
157,86.8,105.77,12.0,132.74,6.1,150,20.0,71.88,42.4,121.28,9.6,150,7.5,150,8.7,124.13,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
159,82.6,100.65,17.0,93.7,9.4,111.38,13.5,106.49,48.5,106.03,13.5,136.19,14.8,124.53,11.3,95.57,6.5,80.05,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
161,80.8,98.45,17.1,93.15,11.4,91.84,12.4,115.94,56.4,91.18,20.4,90.12,22.3,82.65,12.1,89.25,5.9,88.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
163,81.6,99.43,16.1,98.94,11.1,94.32,12.5,115.01,54.4,94.53,17.9,102.71,19.4,95.0,10.8,99.99,5.6,92.92,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
165,77.2,94.07,20.6,77.33,13.4,78.13,10.6,135.63,53.3,96.48,20.0,91.93,22.6,81.55,15.1,71.52,7.0,74.33,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
