kommune_kode,kommune_navn,trangboethed_raw,trangboethed_ratio,trangboethed_ref
101,København,18.59,55.19,10.26
147,Frederiksberg,11.3,90.8,10.26
151,Ballerup,13.09,78.38,10.26
153,Brøndby,20.14,50.94,10.26
155,Dragør,8.96,114.51,10.26
157,Gentofte,10.09,101.68,10.26
159,Gladsaxe,16.89,60.75,10.26
161,Glostrup,19.86,51.66,10.26
163,Herlev,15.32,66.97,10.26
165,Albertslund,19.81,51.79,10.26
167,Hvidovre,15.85,64.73,10.26
169,Høje-Taastrup,22.82,44.96,10.26
173,Lyngby-Taarbæk,10.39,98.75,10.26
175,Rødovre,18.76,54.69,10.26
183,Ishøj,25.72,39.89,10.26
185,Tårnby,12.5,82.08,10.26
187,Vallensbæk,25.04,40.97,10.26
190,Furesø,10.33,99.32,10.26
201,Allerød,8.33,123.17,10.26
210,Fredensborg,12.26,83.69,10.26
217,Helsingør,12.11,84.72,10.26
219,Hillerød,10.39,98.75,10.26
223,Hørsholm,6.88,149.13,10.26
230,Rudersdal,7.68,133.59,10.26
240,Egedal,10.64,96.43,10.26
250,Frederikssund,10.47,97.99,10.26
253,Greve,11.57,88.68,10.26
259,Køge,12.59,81.49,10.26
260,Halsnæs,13.7,74.89,10.26
265,Roskilde,10.15,101.08,10.26
269,Solrød,8.2,125.12,10.26
270,Gribskov,10.84,94.65,10.26
306,Odsherred,8.33,123.17,10.26
316,Holbæk,10.01,102.5,10.26
320,Faxe,9.79,104.8,10.26
326,Kalundborg,9.15,112.13,10.26
329,Ringsted,12.3,83.41,10.26
330,Slagelse,9.97,102.91,10.26
336,Stevns,9.72,105.56,10.26
340,Sorø,9.23,111.16,10.26
350,Lejre,11.13,92.18,10.26
360,Lolland,6.89,148.91,10.26
370,Næstved,9.13,112.38,10.26
376,Guldborgsund,7.22,142.11,10.26
390,Vordingborg,8.05,127.45,10.26
400,Bornholm,7.91,129.71,10.26
410,Middelfart,5.69,150.0,10.26
420,Assens,6.42,150.0,10.26
430,Faaborg-Midtfyn,6.47,150.0,10.26
440,Kerteminde,7.42,138.27,10.26
450,Nyborg,6.51,150.0,10.26
461,Odense,9.27,110.68,10.26
479,Svendborg,7.45,137.72,10.26
480,Nordfyns,6.29,150.0,10.26
482,Langeland,4.59,150.0,10.26
492,Ærø,5.38,150.0,10.26
510,Haderslev,6.54,150.0,10.26
530,Billund,6.18,150.0,10.26
540,Sønderborg,7.33,139.97,10.26
550,Tønder,6.9,148.7,10.26
561,Esbjerg,6.65,150.0,10.26
563,Fanø,4.07,150.0,10.26
573,Varde,7.51,136.62,10.26
575,Vejen,6.74,150.0,10.26
580,Aabenraa,6.34,150.0,10.26
607,Fredericia,7.94,129.22,10.26
615,Horsens,8.31,123.47,10.26
621,Kolding,8.44,121.56,10.26
630,Vejle,8.78,116.86,10.26
657,Herning,6.6,150.0,10.26
661,Holstebro,5.38,150.0,10.26
665,Lemvig,5.35,150.0,10.26
671,Struer,6.03,150.0,10.26
706,Syddjurs,7.39,138.84,10.26
707,Norddjurs,6.04,150.0,10.26
710,Favrskov,7.11,144.3,10.26
727,Odder,5.9,150.0,10.26
730,Randers,6.77,150.0,10.26
740,Silkeborg,7.38,139.02,10.26
741,Samsø,5.23,150.0,10.26
746,Skanderborg,6.62,150.0,10.26
751,Aarhus,10.72,95.71,10.26
756,Ikast-Brande,7.37,139.21,10.26
760,Ringkøbing-Skjern,6.48,150.0,10.26
766,Hedensted,6.54,150.0,10.26
773,Morsø,5.86,150.0,10.26
779,Skive,5.38,150.0,10.26
787,Thisted,7.0,146.57,10.26
791,Viborg,6.44,150.0,10.26
810,Brønderslev,6.8,150.0,10.26
813,Frederikshavn,6.16,150.0,10.26
820,Vesthimmerlands,5.78,150.0,10.26
825,Læsø,3.35,150.0,10.26
840,Rebild,5.86,150.0,10.26
846,Mariagerfjord,6.42,150.0,10.26
849,Jammerbugt,5.44,150.0,10.26
851,Aalborg,7.01,146.36,10.26
860,Hjørring,5.72,150.0,10.26
