kommune_kode,indicator_id,aar,vaerdi
101,areal_antropiseret,2011,79.45
101,areal_antropiseret,2018,80.14
101,areal_antropiseret,2021,80.14
101,areal_antropiseret,2024,80.37
147,areal_antropiseret,2011,89.66
147,areal_antropiseret,2018,89.66
147,areal_antropiseret,2021,89.66
147,areal_antropiseret,2024,89.66
151,areal_antropiseret,2011,74.47
151,areal_antropiseret,2018,74.09
151,areal_antropiseret,2021,72.87
151,areal_antropiseret,2024,72.87
153,areal_antropiseret,2011,74.26
153,areal_antropiseret,2018,73.27
153,areal_antropiseret,2021,72.77
153,areal_antropiseret,2024,73.27
155,areal_antropiseret,2011,64.37
155,areal_antropiseret,2018,63.79
155,areal_antropiseret,2021,62.64
155,areal_antropiseret,2024,62.64
157,areal_antropiseret,2011,85.71
157,areal_antropiseret,2018,85.71
157,areal_antropiseret,2021,85.71
157,areal_antropiseret,2024,85.71
159,areal_antropiseret,2011,84.03
159,areal_antropiseret,2018,84.03
159,areal_antropiseret,2021,84.03
159,areal_antropiseret,2024,84.03
161,areal_antropiseret,2011,74.05
161,areal_antropiseret,2018,77.1
161,areal_antropiseret,2021,77.1
161,areal_antropiseret,2024,77.1
163,areal_antropiseret,2011,82.35
163,areal_antropiseret,2018,84.03
163,areal_antropiseret,2021,84.03
163,areal_antropiseret,2024,84.03
165,areal_antropiseret,2011,50.22
165,areal_antropiseret,2018,50.65
165,areal_antropiseret,2021,50.65
165,areal_antropiseret,2024,50.87
167,areal_antropiseret,2011,80.89
167,areal_antropiseret,2018,82.22
167,areal_antropiseret,2021,82.22
167,areal_antropiseret,2024,82.22
169,areal_antropiseret,2011,75.36
169,areal_antropiseret,2018,72.48
169,areal_antropiseret,2021,71.07
169,areal_antropiseret,2024,70.64
173,areal_antropiseret,2011,58.79
173,areal_antropiseret,2018,58.5
173,areal_antropiseret,2021,57.93
173,areal_antropiseret,2024,57.93
175,areal_antropiseret,2011,88.43
175,areal_antropiseret,2018,88.43
175,areal_antropiseret,2021,88.43
175,areal_antropiseret,2024,88.43
183,areal_antropiseret,2011,74.8
183,areal_antropiseret,2018,73.09
183,areal_antropiseret,2021,71.49
183,areal_antropiseret,2024,71.08
185,areal_antropiseret,2011,45.51
185,areal_antropiseret,2018,45.75
185,areal_antropiseret,2021,45.66
185,areal_antropiseret,2024,45.83
187,areal_antropiseret,2011,63.64
187,areal_antropiseret,2018,65.91
187,areal_antropiseret,2021,65.91
187,areal_antropiseret,2024,65.91
190,areal_antropiseret,2011,54.16
190,areal_antropiseret,2018,52.94
190,areal_antropiseret,2021,53.14
190,areal_antropiseret,2024,52.54
201,areal_antropiseret,2011,58.11
201,areal_antropiseret,2018,57.12
201,areal_antropiseret,2021,56.5
201,areal_antropiseret,2024,55.26
210,areal_antropiseret,2011,59.13
210,areal_antropiseret,2018,54.11
210,areal_antropiseret,2021,52.46
210,areal_antropiseret,2024,51.21
217,areal_antropiseret,2011,58.9
217,areal_antropiseret,2018,56.19
217,areal_antropiseret,2021,55.12
217,areal_antropiseret,2024,54.1
219,areal_antropiseret,2011,57.21
219,areal_antropiseret,2018,55.38
219,areal_antropiseret,2021,55.54
219,areal_antropiseret,2024,54.52
223,areal_antropiseret,2011,57.68
223,areal_antropiseret,2018,56.31
223,areal_antropiseret,2021,55.63
223,areal_antropiseret,2024,53.77
230,areal_antropiseret,2011,56.11
230,areal_antropiseret,2018,54.3
230,areal_antropiseret,2021,54.45
230,areal_antropiseret,2024,53.85
240,areal_antropiseret,2011,66.07
240,areal_antropiseret,2018,63.67
240,areal_antropiseret,2021,63.18
240,areal_antropiseret,2024,62.11
250,areal_antropiseret,2011,72.65
250,areal_antropiseret,2018,71.48
250,areal_antropiseret,2021,70.94
250,areal_antropiseret,2024,70.16
253,areal_antropiseret,2011,82.09
253,areal_antropiseret,2018,79.05
253,areal_antropiseret,2021,77.87
253,areal_antropiseret,2024,78.17
259,areal_antropiseret,2011,70.1
259,areal_antropiseret,2018,69.31
259,areal_antropiseret,2021,69.16
259,areal_antropiseret,2024,68.54
260,areal_antropiseret,2011,67.89
260,areal_antropiseret,2018,65.51
260,areal_antropiseret,2021,64.7
260,areal_antropiseret,2024,64.12
