kommune_kode,indicator_id,periode_start,periode_slut,vaerdi_start,vaerdi_slut,pct,retning,n_aar,kilde,noegle_indikator
101,_dim_arealanvendelse,2011,2024,,,-1.17,stagneret,4,Danmarks Statistik,areal_bebygget
147,_dim_arealanvendelse,2011,2024,,,-0.0,stagneret,4,Danmarks Statistik,areal_bebygget
151,_dim_arealanvendelse,2011,2024,,,-2.17,forkert,4,Danmarks Statistik,areal_bebygget
153,_dim_arealanvendelse,2011,2024,,,-1.88,forkert,4,Danmarks Statistik,areal_bebygget
155,_dim_arealanvendelse,2011,2024,,,-2.25,forkert,4,Danmarks Statistik,areal_bebygget
157,_dim_arealanvendelse,2011,2024,,,-0.24,stagneret,4,Danmarks Statistik,areal_bebygget
159,_dim_arealanvendelse,2011,2024,,,-0.12,stagneret,4,Danmarks Statistik,areal_bebygget
161,_dim_arealanvendelse,2011,2024,,,-4.28,forkert,4,Danmarks Statistik,areal_bebygget
163,_dim_arealanvendelse,2011,2024,,,-1.0,stagneret,4,Danmarks Statistik,areal_bebygget
165,_dim_arealanvendelse,2011,2024,,,-2.28,forkert,4,Danmarks Statistik,areal_bebygget
167,_dim_arealanvendelse,2011,2024,,,-1.79,forkert,4,Danmarks Statistik,areal_bebygget
169,_dim_arealanvendelse,2011,2024,,,-0.0,stagneret,4,Danmarks Statistik,areal_bebygget
173,_dim_arealanvendelse,2011,2024,,,-1.21,stagneret,4,Danmarks Statistik,areal_bebygget
175,_dim_arealanvendelse,2011,2024,,,-0.46,stagneret,4,Danmarks Statistik,areal_bebygget
183,_dim_arealanvendelse,2011,2024,,,-5.65,forkert,4,Danmarks Statistik,areal_bebygget
185,_dim_arealanvendelse,2011,2024,,,-2.23,stagneret,4,Danmarks Statistik,areal_bebygget
187,_dim_arealanvendelse,2011,2024,,,-2.7,forkert,4,Danmarks Statistik,areal_bebygget
190,_dim_arealanvendelse,2011,2024,,,-2.22,stagneret,4,Danmarks Statistik,areal_bebygget
201,_dim_arealanvendelse,2011,2024,,,-3.23,stagneret,4,Danmarks Statistik,areal_bebygget
210,_dim_arealanvendelse,2011,2024,,,-3.9,stagneret,4,Danmarks Statistik,areal_bebygget
217,_dim_arealanvendelse,2011,2024,,,-1.96,stagneret,4,Danmarks Statistik,areal_bebygget
219,_dim_arealanvendelse,2011,2024,,,-5.0,stagneret,4,Danmarks Statistik,areal_bebygget
223,_dim_arealanvendelse,2011,2024,,,-1.68,stagneret,4,Danmarks Statistik,areal_bebygget
230,_dim_arealanvendelse,2011,2024,,,-1.15,stagneret,4,Danmarks Statistik,areal_bebygget
240,_dim_arealanvendelse,2011,2024,,,-6.25,forkert,4,Danmarks Statistik,areal_bebygget
250,_dim_arealanvendelse,2011,2024,,,-5.24,forkert,4,Danmarks Statistik,areal_bebygget
