kommune_kode,low_education_pct,low_education_ratio,low_education_ref
101,6.23,225.04,14.02
147,5.32,263.53,14.02
151,16.83,83.3,14.02
153,20.3,69.06,14.02
155,18.18,77.12,14.02
157,9.77,143.5,14.02
159,14.41,97.29,14.02
161,15.12,92.72,14.02
163,15.57,90.04,14.02
165,19.47,72.01,14.02
167,17.44,80.39,14.02
169,15.51,90.39,14.02
173,7.57,185.2,14.02
175,16.22,86.44,14.02
183,18.97,73.91,14.02
185,23.33,60.09,14.02
187,14.0,100.14,14.02
190,22.78,61.55,14.02
201,17.8,78.76,14.02
210,19.65,71.35,14.02
217,23.2,60.43,14.02
219,17.44,80.39,14.02
223,16.01,87.57,14.02
230,15.14,92.6,14.02
240,15.92,88.07,14.02
250,21.27,65.91,14.02
253,20.45,68.56,14.02
259,20.22,69.34,14.02
260,26.43,53.05,14.02
265,14.65,95.7,14.02
269,14.97,93.65,14.02
270,26.0,53.92,14.02
306,33.81,41.47,14.02
316,22.32,62.81,14.02
320,29.79,47.06,14.02
326,23.21,60.4,14.02
329,19.01,73.75,14.02
330,23.3,60.17,14.02
336,26.2,53.51,14.02
340,26.11,53.7,14.02
350,23.65,59.28,14.02
360,37.72,37.17,14.02
370,23.21,60.4,14.02
376,27.9,50.25,14.02
390,28.94,48.45,14.02
400,26.55,52.81,14.02
410,22.08,63.5,14.02
420,26.62,52.67,14.02
430,22.31,62.84,14.02
440,23.52,59.61,14.02
450,25.0,56.08,14.02
461,10.18,137.72,14.02
479,23.48,59.71,14.02
480,23.57,59.48,14.02
482,26.76,52.39,14.02
492,14.77,94.92,14.02
510,28.16,49.79,14.02
530,22.15,63.3,14.02
540,24.52,57.18,14.02
550,26.4,53.11,14.02
561,17.1,81.99,14.02
563,16.28,86.12,14.02
573,20.34,68.93,14.02
575,22.98,61.01,14.02
580,21.82,64.25,14.02
607,22.31,62.84,14.02
615,19.6,71.53,14.02
621,17.64,79.48,14.02
630,20.08,69.82,14.02
657,20.18,69.47,14.02
661,18.09,77.5,14.02
665,21.99,63.76,14.02
671,26.05,53.82,14.02
706,21.33,65.73,14.02
707,24.74,56.67,14.02
710,18.51,75.74,14.02
727,22.05,63.58,14.02
730,20.3,69.06,14.02
740,17.25,81.28,14.02
741,18.63,75.25,14.02
746,19.74,71.02,14.02
751,6.84,204.97,14.02
756,22.31,62.84,14.02
760,21.71,64.58,14.02
766,22.47,62.39,14.02
773,25.95,54.03,14.02
779,22.82,61.44,14.02
787,23.03,60.88,14.02
791,21.1,66.45,14.02
810,20.66,67.86,14.02
813,24.69,56.78,14.02
820,25.93,54.07,14.02
825,13.21,106.13,14.02
840,17.63,79.52,14.02
846,25.01,56.06,14.02
849,25.67,54.62,14.02
851,9.82,142.77,14.02
860,22.86,61.33,14.02
