kommune_kode,child_notifications_per_1k,child_notifications_ratio,child_notifications_ref
101,89.97,102.62,92.33
147,73.3,125.96,92.33
151,110.05,83.9,92.33
153,133.86,68.98,92.33
155,58.99,156.52,92.33
157,51.57,179.04,92.33
159,79.05,116.8,92.33
161,101.67,90.81,92.33
163,92.34,99.99,92.33
165,121.44,76.03,92.33
167,95.76,96.42,92.33
169,128.34,71.94,92.33
173,78.05,118.3,92.33
175,97.96,94.25,92.33
183,89.58,103.07,92.33
185,92.79,99.5,92.33
187,71.88,128.45,92.33
190,86.45,106.8,92.33
201,91.31,101.12,92.33
210,90.59,101.92,92.33
217,95.93,96.25,92.33
219,86.26,107.04,92.33
223,69.74,132.39,92.33
230,68.42,134.95,92.33
240,65.16,141.7,92.33
250,120.18,76.83,92.33
253,75.01,123.09,92.33
259,102.93,89.7,92.33
260,107.71,85.72,92.33
265,82.9,111.38,92.33
269,76.08,121.36,92.33
270,130.04,71.0,92.33
306,138.82,66.51,92.33
316,102.0,90.52,92.33
320,126.84,72.79,92.33
326,114.31,80.77,92.33
329,83.76,110.23,92.33
330,132.79,69.53,92.33
336,110.24,83.75,92.33
340,112.68,81.94,92.33
350,96.0,96.18,92.33
360,148.72,62.08,92.33
370,125.28,73.7,92.33
376,129.96,71.04,92.33
390,143.41,64.38,92.33
400,112.88,81.79,92.33
410,96.67,95.51,92.33
420,134.94,68.42,92.33
430,98.59,93.65,92.33
440,109.81,84.08,92.33
450,117.2,78.78,92.33
461,81.17,113.75,92.33
479,87.53,105.48,92.33
480,89.23,103.47,92.33
482,147.78,62.48,92.33
492,96.77,95.41,92.33
510,114.35,80.74,92.33
530,98.08,94.14,92.33
540,84.66,109.06,92.33
550,120.67,76.51,92.33
561,89.96,102.63,92.33
563,74.77,123.49,92.33
573,92.34,99.99,92.33
575,117.1,78.85,92.33
580,84.32,109.5,92.33
607,113.89,81.07,92.33
615,89.72,102.91,92.33
621,83.7,110.31,92.33
630,72.56,127.25,92.33
657,67.94,135.9,92.33
661,97.35,94.84,92.33
665,75.94,121.58,92.33
671,88.16,104.73,92.33
706,80.45,114.77,92.33
707,97.33,94.86,92.33
710,57.54,160.46,92.33
727,79.16,116.64,92.33
730,96.56,95.62,92.33
740,83.62,110.42,92.33
741,107.49,85.9,92.33
746,58.21,158.62,92.33
751,74.9,123.27,92.33
756,78.51,117.6,92.33
760,78.66,117.38,92.33
766,83.01,111.23,92.33
773,106.13,87.0,92.33
779,85.3,108.24,92.33
787,108.83,84.84,92.33
791,84.33,109.49,92.33
810,89.43,103.24,92.33
813,87.51,105.51,92.33
820,122.02,75.67,92.33
825,70.35,131.24,92.33
840,78.74,117.26,92.33
846,95.87,96.31,92.33
849,125.16,73.77,92.33
851,101.04,91.38,92.33
860,116.54,79.23,92.33
