kommune_kode,exam_grade_avg,exam_grade_ratio,high_absence_pct,high_absence_ratio,wellbeing_score,wellbeing_ratio,youth_education_pct,youth_education_ratio,exam_grade_ref,high_absence_ref,wellbeing_ref,youth_education_ref
101,7.9,107.34,25.1,86.93,,,84.9,101.01,7.36,21.82,3.6,84.05
147,8.4,114.13,20.3,107.49,3.64,101.11,88.2,104.94,7.36,21.82,3.6,84.05
151,7.1,96.47,25.0,87.28,3.6,100.0,85.1,101.25,7.36,21.82,3.6,84.05
153,6.6,89.67,28.9,75.5,3.56,98.89,84.6,100.65,7.36,21.82,3.6,84.05
155,8.2,111.41,29.3,74.47,3.7,102.78,89.1,106.01,7.36,21.82,3.6,84.05
157,8.6,116.85,19.6,111.33,,,92.2,109.7,7.36,21.82,3.6,84.05
159,7.8,105.98,21.2,102.92,,,87.3,103.87,7.36,21.82,3.6,84.05
161,7.2,97.83,20.7,105.41,3.5,97.22,86.6,103.03,7.36,21.82,3.6,84.05
163,7.3,99.18,20.6,105.92,3.5,97.22,85.6,101.84,7.36,21.82,3.6,84.05
165,6.9,93.75,23.2,94.05,3.56,98.89,82.0,97.56,7.36,21.82,3.6,84.05
167,7.4,100.54,20.3,107.49,3.6,100.0,83.8,99.7,7.36,21.82,3.6,84.05
169,7.0,95.11,20.8,104.9,3.54,98.33,83.3,99.11,7.36,21.82,3.6,84.05
173,8.8,119.57,17.6,123.98,3.72,103.33,91.8,109.22,7.36,21.82,3.6,84.05
175,7.3,99.18,21.5,101.49,3.58,99.44,83.3,99.11,7.36,21.82,3.6,84.05
183,6.9,93.75,24.1,90.54,3.58,99.44,80.3,95.54,7.36,21.82,3.6,84.05
185,7.6,103.26,30.8,70.84,3.56,98.89,85.2,101.37,7.36,21.82,3.6,84.05
187,7.2,97.83,24.7,88.34,3.6,100.0,89.8,106.84,7.36,21.82,3.6,84.05
190,8.3,112.77,19.9,109.65,3.68,102.22,90.8,108.03,7.36,21.82,3.6,84.05
201,8.5,115.49,22.2,98.29,3.7,102.78,92.7,110.29,7.36,21.82,3.6,84.05
210,7.7,104.62,21.4,101.96,3.58,99.44,88.2,104.94,7.36,21.82,3.6,84.05
217,7.2,97.83,27.7,78.77,3.6,100.0,86.4,102.8,7.36,21.82,3.6,84.05
219,7.8,105.98,28.9,75.5,3.58,99.44,88.3,105.06,7.36,21.82,3.6,84.05
223,8.6,116.85,27.6,79.06,3.72,103.33,92.9,110.53,7.36,21.82,3.6,84.05
230,8.3,112.77,20.4,106.96,3.68,102.22,92.2,109.7,7.36,21.82,3.6,84.05
240,7.8,105.98,23.1,94.46,3.5,97.22,89.5,106.48,7.36,21.82,3.6,84.05
250,7.4,100.54,29.2,74.73,3.56,98.89,83.9,99.82,7.36,21.82,3.6,84.05
253,7.2,97.83,25.1,86.93,3.58,99.44,86.5,102.91,7.36,21.82,3.6,84.05
259,7.2,97.83,31.0,70.39,3.6,100.0,86.1,102.44,7.36,21.82,3.6,84.05
260,6.4,86.96,27.5,79.35,3.48,96.67,80.9,96.25,7.36,21.82,3.6,84.05
265,7.6,103.26,26.6,82.03,3.56,98.89,88.0,104.7,7.36,21.82,3.6,84.05
269,7.6,103.26,25.3,86.25,3.64,101.11,88.6,105.41,7.36,21.82,3.6,84.05
270,7.1,96.47,35.9,60.78,3.44,95.56,83.8,99.7,7.36,21.82,3.6,84.05
306,6.9,93.75,31.8,68.62,3.48,96.67,78.4,93.28,7.36,21.82,3.6,84.05
316,7.0,95.11,26.5,82.34,3.48,96.67,80.3,95.54,7.36,21.82,3.6,84.05
320,6.9,93.75,28.4,76.83,3.4,94.44,75.9,90.3,7.36,21.82,3.6,84.05
326,6.8,92.39,28.9,75.5,3.52,97.78,77.7,92.44,7.36,21.82,3.6,84.05
329,7.0,95.11,24.7,88.34,3.6,100.0,82.8,98.51,7.36,21.82,3.6,84.05
330,7.1,96.47,29.1,74.98,3.56,98.89,81.6,97.09,7.36,21.82,3.6,84.05
336,7.0,95.11,30.9,70.61,3.5,97.22,82.7,98.39,7.36,21.82,3.6,84.05
340,7.3,99.18,22.9,95.28,3.58,99.44,81.9,97.44,7.36,21.82,3.6,84.05
350,7.6,103.26,22.8,95.7,3.52,97.78,86.7,103.15,7.36,21.82,3.6,84.05
360,6.5,88.32,34.2,63.8,3.5,97.22,72.3,86.02,7.36,21.82,3.6,84.05
370,7.0,95.11,26.0,83.92,3.56,98.89,83.2,98.99,7.36,21.82,3.6,84.05
376,7.0,95.11,21.5,101.49,3.56,98.89,79.4,94.47,7.36,21.82,3.6,84.05
390,7.3,99.18,30.2,72.25,3.56,98.89,79.9,95.06,7.36,21.82,3.6,84.05
400,7.4,100.54,30.7,71.07,3.5,97.22,82.9,98.63,7.36,21.82,3.6,84.05
410,7.2,97.83,19.0,114.84,3.64,101.11,82.8,98.51,7.36,21.82,3.6,84.05
420,7.0,95.11,25.7,84.9,3.56,98.89,79.9,95.06,7.36,21.82,3.6,84.05
430,6.9,93.75,20.8,104.9,3.5,97.22,80.7,96.01,7.36,21.82,3.6,84.05
440,7.1,96.47,25.9,84.25,3.58,99.44,78.7,93.63,7.36,21.82,3.6,84.05
450,7.2,97.83,18.9,115.45,3.58,99.44,82.1,97.68,7.36,21.82,3.6,84.05
461,7.2,97.83,14.0,155.86,3.64,101.11,84.5,100.54,7.36,21.82,3.6,84.05
479,7.1,96.47,27.7,78.77,3.6,100.0,84.1,100.06,7.36,21.82,3.6,84.05
480,6.9,93.75,27.6,79.06,3.62,100.56,81.1,96.49,7.36,21.82,3.6,84.05
482,7.0,95.11,21.2,102.92,3.5,97.22,74.7,88.88,7.36,21.82,3.6,84.05
492,7.0,95.11,29.3,74.47,3.4,94.44,78.9,93.87,7.36,21.82,3.6,84.05
510,6.6,89.67,22.8,95.7,3.62,100.56,81.5,96.97,7.36,21.82,3.6,84.05
530,6.8,92.39,22.7,96.12,3.48,96.67,79.4,94.47,7.36,21.82,3.6,84.05
540,7.0,95.11,16.6,131.45,3.64,101.11,81.5,96.97,7.36,21.82,3.6,84.05
550,6.6,89.67,18.9,115.45,3.56,98.89,80.4,95.66,7.36,21.82,3.6,84.05
561,7.1,96.47,24.2,90.17,3.6,100.0,82.0,97.56,7.36,21.82,3.6,84.05
563,7.1,96.47,37.6,58.03,3.48,96.67,84.3,100.3,7.36,21.82,3.6,84.05
573,6.9,93.75,16.8,129.88,3.54,98.33,81.1,96.49,7.36,21.82,3.6,84.05
575,6.8,92.39,23.5,92.85,3.54,98.33,82.7,98.39,7.36,21.82,3.6,84.05
580,6.7,91.03,17.5,124.69,3.56,98.89,79.1,94.11,7.36,21.82,3.6,84.05
607,7.0,95.11,22.3,97.85,3.56,98.89,80.5,95.78,7.36,21.82,3.6,84.05
615,7.0,95.11,22.4,97.41,3.58,99.44,83.5,99.35,7.36,21.82,3.6,84.05
621,7.5,101.9,22.4,97.41,3.64,101.11,85.5,101.73,7.36,21.82,3.6,84.05
630,7.3,99.18,18.9,115.45,3.6,100.0,83.3,99.11,7.36,21.82,3.6,84.05
657,7.2,97.83,11.9,183.36,3.68,102.22,82.1,97.68,7.36,21.82,3.6,84.05
661,7.2,97.83,15.0,145.47,3.64,101.11,85.5,101.73,7.36,21.82,3.6,84.05
665,6.9,93.75,12.5,174.56,3.62,100.56,86.1,102.44,7.36,21.82,3.6,84.05
671,6.9,93.75,14.2,153.66,3.64,101.11,81.4,96.85,7.36,21.82,3.6,84.05
706,7.1,96.47,20.6,105.92,3.52,97.78,80.4,95.66,7.36,21.82,3.6,84.05
707,6.8,92.39,23.1,94.46,3.48,96.67,76.7,91.26,7.36,21.82,3.6,84.05
710,7.6,103.26,23.5,92.85,3.62,100.56,84.5,100.54,7.36,21.82,3.6,84.05
727,7.5,101.9,12.0,181.83,3.54,98.33,81.7,97.2,7.36,21.82,3.6,84.05
730,7.1,96.47,18.7,116.68,3.6,100.0,83.9,99.82,7.36,21.82,3.6,84.05
740,7.4,100.54,14.8,147.43,3.6,100.0,85.5,101.73,7.36,21.82,3.6,84.05
741,7.2,97.83,43.9,49.7,3.52,97.78,77.8,92.56,7.36,21.82,3.6,84.05
746,7.5,101.9,21.1,103.41,3.66,101.67,85.7,101.96,7.36,21.82,3.6,84.05
751,7.7,104.62,14.6,149.45,3.66,101.67,84.8,100.89,7.36,21.82,3.6,84.05
756,6.7,91.03,16.6,131.45,3.66,101.67,80.6,95.9,7.36,21.82,3.6,84.05
760,7.0,95.11,19.2,113.65,3.7,102.78,83.3,99.11,7.36,21.82,3.6,84.05
766,6.6,89.67,20.7,105.41,3.62,100.56,78.8,93.75,7.36,21.82,3.6,84.05
773,7.2,97.83,20.3,107.49,3.52,97.78,79.3,94.35,7.36,21.82,3.6,84.05
779,6.8,92.39,17.8,122.58,3.6,100.0,83.4,99.23,7.36,21.82,3.6,84.05
787,6.9,93.75,25.8,84.57,3.58,99.44,81.6,97.09,7.36,21.82,3.6,84.05
791,7.2,97.83,17.3,126.13,3.6,100.0,83.3,99.11,7.36,21.82,3.6,84.05
810,7.2,97.83,18.3,119.23,3.62,100.56,83.0,98.75,7.36,21.82,3.6,84.05
813,7.1,96.47,23.0,94.87,3.54,98.33,81.2,96.61,7.36,21.82,3.6,84.05
820,7.1,96.47,16.4,133.05,3.6,100.0,80.1,95.3,7.36,21.82,3.6,84.05
825,7.4,100.54,12.0,181.83,3.54,98.33,75.7,90.07,7.36,21.82,3.6,84.05
840,7.8,105.98,15.4,141.69,3.6,100.0,84.8,100.89,7.36,21.82,3.6,84.05
846,7.0,95.11,17.9,121.9,3.64,101.11,80.8,96.13,7.36,21.82,3.6,84.05
849,7.0,95.11,20.8,104.9,3.6,100.0,80.9,96.25,7.36,21.82,3.6,84.05
851,7.5,101.9,25.3,86.25,3.6,100.0,84.9,101.01,7.36,21.82,3.6,84.05
860,7.2,97.83,21.9,99.63,3.62,100.56,80.4,95.66,7.36,21.82,3.6,84.05
