kommune_kode,wastewater_per_1000,water_extraction_per_1000,wastewater_ratio,water_extraction_ratio
101,158.389,0.0067,136.65,2018.97
147,,0.0226,150,598.23
151,169.342,0.0482,127.81,280.66
153,70.578,0.0171,306.65,792.02
155,191.93,,112.77,150
157,39.384,0.0439,549.54,307.83
159,14.413,0.0393,1501.62,343.86
161,32.902,0.0619,657.8,218.39
163,47.736,,453.39,150
165,99.036,,218.54,150
167,604.927,0.0018,35.78,7334.67
169,78.335,0.0314,276.29,430.39
173,192.667,0.0324,112.33,417.26
175,22.752,0.0155,951.24,872.17
183,138.505,0.2269,156.26,59.62
185,169.087,,128.0,150
187,168.227,0.0375,128.65,361.11
190,90.055,0.2402,240.33,56.3
201,138.625,0.1095,156.13,123.58
210,153.964,0.0777,140.57,173.97
217,149.259,0.0545,145.0,248.27
219,195.553,0.1613,110.68,83.86
223,223.199,0.0789,96.97,171.46
230,105.436,0.0622,205.27,217.58
240,115.138,0.1362,187.97,99.27
250,165.669,0.1307,130.64,103.51
253,188.969,0.0536,114.53,252.42
259,237.532,0.2095,91.12,64.56
260,199.981,0.0788,108.23,171.71
265,156.823,0.1974,138.01,68.51
269,149.681,0.1038,144.6,130.26
270,245.004,0.0574,88.34,235.5
306,176.472,0.0875,122.64,154.52
316,180.632,0.0773,119.82,174.92
320,220.958,0.1206,97.95,112.15
326,345.852,0.2398,62.58,56.4
329,239.322,0.2333,90.43,57.98
330,197.013,0.0704,109.86,192.11
336,143.696,0.0587,150.62,230.34
340,189.836,0.0389,114.01,347.75
350,180.361,0.1975,120.0,68.5
360,403.965,0.0908,53.58,148.91
370,197.48,0.0341,109.6,397.2
376,293.205,0.0677,73.82,199.91
390,204.011,0.0535,106.09,252.65
400,253.303,0.0802,85.44,168.75
410,326.991,0.0566,66.19,238.9
420,267.111,0.0966,81.03,140.0
430,298.483,0.0707,72.51,191.29
440,236.923,0.0617,91.35,219.11
450,256.165,0.0772,84.49,175.3
461,240.196,0.0615,90.11,220.09
479,233.528,0.06,92.68,225.53
480,289.455,0.0994,74.77,136.09
482,345.326,0.1013,62.67,133.46
492,234.998,0.0347,92.1,389.94
510,336.43,0.1195,64.33,113.16
530,420.221,0.4412,51.5,30.66
540,225.881,0.0769,95.82,175.89
550,319.677,0.3373,67.7,40.1
561,342.375,0.1183,63.21,114.32
563,62.425,0.09,346.71,150.22
573,277.816,0.2446,77.9,55.3
575,353.392,0.3846,61.24,35.17
580,344.251,0.3476,62.87,38.91
607,431.667,0.0718,50.14,188.43
615,250.025,0.086,86.56,157.22
621,284.221,0.1216,76.15,111.23
630,273.379,0.7805,79.17,17.33
657,338.833,0.5036,63.88,26.86
661,360.158,0.3978,60.09,34.0
665,459.454,0.8927,47.11,15.15
671,294.106,0.0795,73.59,170.1
706,156.981,0.1014,137.87,133.43
707,301.149,0.1398,71.87,96.74
710,204.207,0.1406,105.99,96.17
727,188.729,0.0576,114.68,234.86
730,188.179,0.0577,115.01,234.52
740,183.742,0.1937,117.79,69.84
741,220.072,0.1382,98.35,97.84
746,216.452,0.0603,99.99,224.36
751,190.958,0.0494,113.34,273.67
756,277.797,0.4064,77.91,33.28
760,372.313,1.4602,58.13,9.26
766,321.833,0.2264,67.25,59.73
773,301.127,0.1086,71.87,124.59
779,352.689,0.0998,61.37,135.58
787,249.013,0.1503,86.92,89.97
791,203.936,0.1798,106.13,75.22
810,204.577,0.0767,105.79,176.46
813,464.527,0.0608,46.59,222.3
820,236.08,0.5445,91.68,24.84
825,229.352,0.1188,94.37,113.82
840,133.568,0.1151,162.04,117.52
846,261.958,0.1083,82.62,124.86
849,227.407,0.0947,95.17,142.76
851,186.283,0.1318,116.18,102.59
860,257.975,0.2953,83.9,45.8
