kommune_kode,kommune_navn,udnyttelse_pct,vandindvinding_ratio,grundvandsindvinding_mm_aar,ressource_mm_aar,infiltration_mm_aar,udnyttelse_dk_pct
101,København,264.28,264.28,50.99,19.29,264.3,62.56
147,Frederiksberg,1306.78,1306.78,279.69,21.4,293.2,62.56
151,Ballerup,379.36,379.36,77.24,20.36,278.9,62.56
153,Brøndby,181.4,181.4,34.65,19.1,261.7,62.56
155,Dragør,24.78,24.78,3.83,15.46,211.8,62.56
157,Gentofte,626.53,626.53,134.92,21.53,295.0,62.56
159,Gladsaxe,532.77,532.77,117.65,22.08,302.5,62.56
161,Glostrup,667.76,667.76,127.23,19.05,261.0,62.56
163,Herlev,0.0,0.0,0.0,21.29,291.6,62.56
165,Albertslund,8.93,8.93,1.45,16.23,222.4,62.56
167,Hvidovre,31.82,31.82,5.93,18.62,255.1,62.56
169,Høje-Taastrup,202.25,202.25,34.08,16.85,230.8,62.56
173,Lyngby-Taarbæk,252.08,252.08,51.87,20.58,281.9,62.56
175,Rødovre,292.95,292.95,60.61,20.69,283.4,62.56
183,Ishøj,1427.85,1427.85,222.22,15.56,213.2,62.56
185,Tårnby,33.1,33.1,5.46,16.48,225.8,62.56
187,Vallensbæk,325.45,325.45,60.61,18.62,255.1,62.56
190,Furesø,1037.07,1037.07,206.22,19.88,272.4,62.56
201,Allerød,184.94,184.94,35.09,18.97,259.9,62.56
210,Fredensborg,175.66,175.66,36.07,20.53,281.3,62.56
217,Helsingør,164.1,164.1,31.19,19.01,260.4,62.56
219,Hillerød,231.76,231.76,44.44,19.18,262.7,62.56
223,Hørsholm,297.12,297.12,65.07,21.9,300.0,62.56
230,Rudersdal,283.07,283.07,56.31,19.89,272.5,62.56
240,Egedal,311.39,311.39,54.28,17.43,238.8,62.56
250,Frederikssund,160.34,160.34,25.11,15.66,214.5,62.56
253,Greve,307.13,307.13,46.81,15.24,208.8,62.56
259,Køge,339.67,339.67,51.97,15.3,209.6,62.56
260,Halsnæs,111.78,111.78,18.38,16.44,225.2,62.56
265,Roskilde,302.51,302.51,69.36,22.93,314.1,62.56
269,Solrød,528.84,528.84,79.53,15.04,206.0,62.56
270,Gribskov,51.36,51.36,9.44,18.37,251.7,62.56
306,Odsherred,55.13,55.13,8.27,15.0,205.5,62.56
316,Holbæk,70.5,70.5,10.21,14.48,198.4,62.56
320,Faxe,74.08,74.08,11.0,14.85,203.4,62.56
326,Kalundborg,58.08,58.08,7.44,12.8,175.4,62.56
329,Ringsted,163.88,163.88,25.91,15.81,216.6,62.56
330,Slagelse,91.9,91.9,10.33,11.24,154.0,62.56
336,Stevns,49.4,49.4,5.81,11.75,161.0,62.56
340,Sorø,39.92,39.92,6.11,15.29,209.5,62.56
350,Lejre,148.23,148.23,24.41,16.47,225.6,62.56
360,Lolland,37.63,37.63,3.88,10.32,141.4,62.56
370,Næstved,34.72,34.72,4.83,13.91,190.5,62.56
376,Guldborgsund,37.69,37.69,4.58,12.14,166.3,62.56
390,Vordingborg,34.03,34.03,4.55,13.37,183.2,62.56
400,Bornholm,23.91,23.91,5.68,23.78,325.7,62.56
410,Middelfart,35.93,35.93,8.54,23.76,325.5,62.56
420,Assens,38.97,38.97,8.32,21.35,292.5,62.56
430,Faaborg-Midtfyn,31.9,31.9,6.97,21.84,299.2,62.56
440,Kerteminde,48.12,48.12,7.11,14.77,202.3,62.56
450,Nyborg,59.79,59.79,9.94,16.62,227.7,62.56
461,Odense,205.05,205.05,42.46,20.71,283.7,62.56
479,Svendborg,47.76,47.76,8.94,18.71,256.3,62.56
480,Nordfyns,38.72,38.72,6.99,18.06,247.4,62.56
482,Langeland,28.97,28.97,4.13,14.24,195.1,62.56
492,Ærø,16.16,16.16,2.67,16.5,226.0,62.56
510,Haderslev,44.1,44.1,13.83,31.36,429.6,62.56
530,Billund,93.36,93.36,35.0,37.49,513.6,62.56
540,Sønderborg,54.57,54.57,12.87,23.59,323.1,62.56
550,Tønder,58.05,58.05,19.85,34.19,468.4,62.56
561,Esbjerg,68.98,68.98,23.53,34.11,467.2,62.56
563,Fanø,12.35,12.35,5.09,41.25,565.1,62.56
573,Varde,36.96,36.96,14.31,38.71,530.3,62.56
575,Vejen,61.53,61.53,26.92,43.76,599.4,62.56
580,Aabenraa,57.86,57.86,21.74,37.58,514.8,62.56
607,Fredericia,96.09,96.09,28.94,30.12,412.6,62.56
615,Horsens,64.68,64.68,15.84,24.49,335.5,62.56
621,Kolding,39.67,39.67,12.6,31.75,434.9,62.56
630,Vejle,57.35,57.35,20.24,35.29,483.4,62.56
657,Herning,81.22,81.22,32.64,40.19,550.6,62.56
661,Holstebro,77.51,77.51,31.32,40.4,553.5,62.56
665,Lemvig,44.23,44.23,14.88,33.65,460.9,62.56
671,Struer,25.92,25.92,10.08,38.89,532.8,62.56
706,Syddjurs,35.9,35.9,7.4,20.6,282.2,62.56
707,Norddjurs,54.46,54.46,10.49,19.26,263.9,62.56
710,Favrskov,24.62,24.62,5.32,21.61,296.1,62.56
727,Odder,36.13,36.13,6.62,18.31,250.8,62.56
730,Randers,29.15,29.15,8.52,29.24,400.6,62.56
740,Silkeborg,31.29,31.29,9.12,29.15,399.3,62.56
741,Samsø,,,5.37,,,62.56
746,Skanderborg,41.1,41.1,9.89,24.07,329.7,62.56
751,Aarhus,190.69,190.69,40.69,21.34,292.3,62.56
756,Ikast-Brande,99.21,99.21,35.56,35.84,491.0,62.56
760,Ringkøbing-Skjern,87.36,87.36,31.47,36.02,493.5,62.56
766,Hedensted,37.31,37.31,9.47,25.39,347.8,62.56
773,Morsø,17.86,17.86,5.93,33.19,454.7,62.56
779,Skive,23.65,23.65,7.02,29.69,406.7,62.56
787,Thisted,16.84,16.84,5.69,33.81,463.2,62.56
791,Viborg,47.53,47.53,14.68,30.88,423.0,62.56
810,Brønderslev,19.81,19.81,5.19,26.18,358.7,62.56
813,Frederikshavn,23.63,23.63,6.4,27.07,370.8,62.56
820,Vesthimmerlands,87.86,87.86,23.6,26.86,367.9,62.56
825,Læsø,,,1.74,,,62.56
840,Rebild,24.59,24.59,6.93,28.16,385.8,62.56
846,Mariagerfjord,26.84,26.84,7.83,29.18,399.7,62.56
849,Jammerbugt,16.18,16.18,4.44,27.43,375.7,62.56
851,Aalborg,88.1,88.1,22.09,25.07,343.4,62.56
860,Hjørring,32.73,32.73,9.15,27.96,383.0,62.56
