kommune_kode,kommune_navn,ve_kw_per_indb,ve_sol_mw,ve_vind_mw,ve_offshore_mw,befolkning
101,København,0.1,34.9,10.7,40.0,667099.0
147,Frederiksberg,0.0,3.3,0.0,0.0,105840.0
151,Ballerup,0.2,12.7,0.0,0.0,52939.0
153,Brøndby,0.2,7.1,0.0,0.0,40401.0
155,Dragør,0.2,2.3,0.0,0.0,14450.0
157,Gentofte,0.1,6.5,0.0,0.0,75076.0
159,Gladsaxe,0.1,8.7,0.0,0.0,70958.0
161,Glostrup,0.2,4.9,0.9,0.0,24869.0
163,Herlev,0.2,6.9,0.0,0.0,30784.0
165,Albertslund,0.2,6.1,0.0,0.0,28117.0
167,Hvidovre,0.2,10.2,2.0,10.8,53760.0
169,Høje-Taastrup,0.3,15.1,0.8,0.0,59059.0
173,Lyngby-Taarbæk,0.1,5.9,0.0,0.0,58713.0
175,Rødovre,0.1,5.0,0.0,0.0,44734.0
183,Ishøj,0.2,4.8,0.0,0.0,24365.0
185,Tårnby,0.3,13.6,0.0,0.0,44034.0
187,Vallensbæk,0.1,2.2,0.0,0.0,18322.0
190,Furesø,0.2,7.7,0.0,0.0,42540.0
201,Allerød,0.4,8.3,2.7,0.0,26128.0
210,Fredensborg,0.2,7.9,0.0,0.0,42186.0
217,Helsingør,0.2,11.4,0.0,0.0,63953.0
219,Hillerød,0.3,14.1,4.0,0.0,54855.0
223,Hørsholm,0.2,3.9,0.0,0.0,25168.0
230,Rudersdal,0.2,9.9,0.0,0.0,57342.0
240,Egedal,0.3,12.2,0.1,0.0,45563.0
250,Frederikssund,0.5,20.3,3.0,0.0,47052.0
253,Greve,0.3,16.5,0.4,0.0,53536.0
259,Køge,0.5,25.7,4.0,0.0,63335.0
260,Halsnæs,0.4,9.3,4.2,0.0,31633.0
265,Roskilde,0.4,27.2,7.5,0.0,91623.0
269,Solrød,0.2,5.9,0.3,0.0,24732.0
270,Gribskov,0.4,14.5,0.6,0.0,41797.0
306,Odsherred,0.5,12.7,4.7,0.0,32225.0
316,Holbæk,1.5,52.5,59.0,0.0,74490.0
320,Faxe,4.7,142.2,35.1,0.0,37820.0
326,Kalundborg,3.0,61.8,80.3,0.0,48103.0
329,Ringsted,0.6,12.6,9.0,0.0,36286.0
330,Slagelse,1.4,73.8,42.4,21.0,80481.0
336,Stevns,0.8,8.8,9.8,0.0,23612.0
340,Sorø,3.5,99.2,6.8,0.0,30641.0
350,Lejre,0.6,11.2,5.4,0.0,29594.0
360,Lolland,14.6,302.0,270.5,368.0,39122.0
370,Næstved,2.5,143.9,68.5,0.0,84895.0
376,Guldborgsund,2.0,57.9,58.0,0.0,59350.0
390,Vordingborg,2.6,100.1,17.7,604.8,45057.0
400,Bornholm,1.8,31.7,36.7,0.0,38966.0
410,Middelfart,1.1,31.9,13.6,0.0,40318.0
420,Assens,2.3,63.9,30.9,0.0,40469.0
430,Faaborg-Midtfyn,0.6,17.8,15.7,0.0,52284.0
440,Kerteminde,1.3,6.1,24.9,0.0,23949.0
450,Nyborg,1.1,7.4,29.0,0.0,32329.0
461,Odense,0.6,122.2,11.1,0.0,210803.0
479,Svendborg,1.5,53.1,34.5,0.0,60001.0
480,Nordfyns,1.3,12.6,26.3,0.0,29342.0
482,Langeland,4.0,4.4,43.6,0.0,11973.0
492,Ærø,2.5,2.4,12.0,0.0,5881.0
510,Haderslev,1.1,19.5,40.6,0.0,55354.0
530,Billund,5.9,66.6,93.9,0.0,27168.0
540,Sønderborg,1.6,102.3,13.8,0.0,74096.0
550,Tønder,5.4,21.8,173.8,0.0,36399.0
561,Esbjerg,1.0,31.1,81.5,776.0,115157.0
563,Fanø,1.0,1.4,2.0,0.0,3270.0
573,Varde,3.5,72.6,99.1,0.0,49410.0
575,Vejen,7.6,265.4,61.0,0.0,42702.0
580,Aabenraa,7.5,357.9,84.3,0.0,58621.0
607,Fredericia,0.3,13.1,2.2,0.0,52616.0
615,Horsens,0.6,56.4,3.6,0.0,97921.0
621,Kolding,2.9,244.7,34.0,0.0,95897.0
630,Vejle,2.3,227.0,53.4,0.0,122433.0
657,Herning,3.0,136.2,136.3,0.0,90006.0
661,Holstebro,6.9,177.6,230.2,0.0,59201.0
665,Lemvig,16.8,133.4,182.2,219.6,18800.0
671,Struer,3.4,6.4,62.0,0.0,20229.0
706,Syddjurs,5.1,207.7,18.6,0.0,44101.0
707,Norddjurs,4.0,92.9,52.4,404.0,36658.0
710,Favrskov,1.9,60.4,31.3,0.0,49359.0
727,Odder,0.9,6.7,15.7,5.0,24083.0
730,Randers,4.1,137.8,275.0,0.0,100356.0
740,Silkeborg,0.8,48.9,30.9,0.0,101574.0
741,Samsø,3.8,2.7,11.0,23.1,3656.0
746,Skanderborg,0.6,20.5,18.3,0.0,65760.0
751,Aarhus,0.2,66.8,11.3,0.0,373388.0
756,Ikast-Brande,2.1,24.0,66.4,0.0,43009.0
760,Ringkøbing-Skjern,12.3,165.1,516.5,168.0,55582.0
766,Hedensted,2.1,72.4,29.0,0.0,48167.0
773,Morsø,5.7,34.1,77.7,0.0,19520.0
779,Skive,5.8,93.1,164.5,0.0,44328.0
787,Thisted,6.6,61.3,218.9,0.0,42698.0
791,Viborg,2.5,170.0,74.0,0.0,97621.0
810,Brønderslev,3.6,40.2,92.0,0.0,36706.0
813,Frederikshavn,2.4,92.5,48.5,7.6,57882.0
820,Vesthimmerlands,5.9,46.4,163.8,0.0,35818.0
825,Læsø,4.5,7.8,0.0,0.0,1719.0
840,Rebild,2.1,15.3,48.4,0.0,30942.0
846,Mariagerfjord,3.3,31.4,104.2,0.0,41606.0
849,Jammerbugt,6.8,39.6,218.7,0.0,37954.0
851,Aalborg,0.9,39.4,158.8,0.0,224612.0
860,Hjørring,2.5,35.9,121.5,0.0,63311.0
