kommune_kode,vulnerable_children_pct,vulnerable_children_ratio,neet_pct,neet_ratio,vulnerable_children_ref,neet_ref
101,2.3,152.17,8.05,113.54,3.5,9.14
147,2.2,159.09,6.19,147.66,3.5,9.14
151,3.5,100.0,9.27,98.6,3.5,9.14
153,3.9,89.74,9.26,98.7,3.5,9.14
155,2.3,152.17,7.79,117.33,3.5,9.14
157,2.2,159.09,9.62,95.01,3.5,9.14
159,4.7,74.47,7.83,116.73,3.5,9.14
161,2.2,159.09,8.23,111.06,3.5,9.14
163,3.0,116.67,8.83,103.51,3.5,9.14
165,3.5,100.0,8.7,105.06,3.5,9.14
167,3.2,109.38,8.08,113.12,3.5,9.14
169,3.4,102.94,8.82,103.63,3.5,9.14
173,2.4,145.83,6.87,133.04,3.5,9.14
175,4.0,87.5,8.53,107.15,3.5,9.14
183,3.6,97.22,9.15,99.89,3.5,9.14
185,2.1,166.67,8.94,102.24,3.5,9.14
187,2.9,120.69,7.79,117.33,3.5,9.14
190,4.8,72.92,7.6,120.26,3.5,9.14
201,3.0,116.67,7.72,118.39,3.5,9.14
210,4.0,87.5,9.93,92.04,3.5,9.14
217,3.2,109.38,8.85,103.28,3.5,9.14
219,3.0,116.67,9.12,100.22,3.5,9.14
223,2.6,134.62,8.51,107.4,3.5,9.14
230,3.4,102.94,8.42,108.55,3.5,9.14
240,2.7,129.63,8.29,110.25,3.5,9.14
250,4.1,85.37,10.37,88.14,3.5,9.14
253,2.7,129.63,8.61,106.16,3.5,9.14
259,4.6,76.09,9.77,93.55,3.5,9.14
260,6.3,55.56,11.31,80.81,3.5,9.14
265,3.2,109.38,7.81,117.03,3.5,9.14
269,2.6,134.62,6.97,131.13,3.5,9.14
270,5.9,59.32,9.65,94.72,3.5,9.14
306,4.8,72.92,13.96,65.47,3.5,9.14
316,3.6,97.22,10.38,88.05,3.5,9.14
320,5.5,63.64,12.26,74.55,3.5,9.14
326,6.0,58.33,11.4,80.18,3.5,9.14
329,3.7,94.59,10.02,91.22,3.5,9.14
330,6.9,50.72,10.4,87.88,3.5,9.14
336,3.8,92.11,12.08,75.66,3.5,9.14
340,4.2,83.33,11.43,79.97,3.5,9.14
350,3.4,102.94,9.05,100.99,3.5,9.14
360,7.6,46.05,16.7,54.73,3.5,9.14
370,5.0,70.0,10.39,87.97,3.5,9.14
376,8.4,41.67,12.83,71.24,3.5,9.14
390,5.5,63.64,13.55,67.45,3.5,9.14
400,5.7,61.4,12.0,76.17,3.5,9.14
410,4.0,87.5,10.36,88.22,3.5,9.14
420,5.0,70.0,13.28,68.83,3.5,9.14
430,4.5,77.78,11.04,82.79,3.5,9.14
440,4.2,83.33,8.05,113.54,3.5,9.14
450,5.3,66.04,10.35,88.31,3.5,9.14
461,4.1,85.37,7.97,114.68,3.5,9.14
479,4.0,87.5,10.55,86.64,3.5,9.14
480,3.6,97.22,13.22,69.14,3.5,9.14
482,7.5,46.67,13.0,70.31,3.5,9.14
492,5.7,61.4,9.93,92.04,3.5,9.14
510,4.9,71.43,10.37,88.14,3.5,9.14
530,4.3,81.4,8.72,104.82,3.5,9.14
540,5.3,66.04,10.88,84.01,3.5,9.14
550,4.7,74.47,10.16,89.96,3.5,9.14
561,3.9,89.74,9.15,99.89,3.5,9.14
563,1.6,218.75,8.42,108.55,3.5,9.14
573,4.5,77.78,9.41,97.13,3.5,9.14
575,4.7,74.47,10.71,85.34,3.5,9.14
580,5.0,70.0,10.53,86.8,3.5,9.14
607,5.3,66.04,11.39,80.25,3.5,9.14
615,3.4,102.94,10.44,87.55,3.5,9.14
621,3.4,102.94,8.94,102.24,3.5,9.14
630,3.5,100.0,9.0,101.56,3.5,9.14
657,2.9,120.69,9.83,92.98,3.5,9.14
661,2.9,120.69,8.53,107.15,3.5,9.14
665,5.4,64.81,9.67,94.52,3.5,9.14
671,4.2,83.33,10.77,84.87,3.5,9.14
706,3.1,112.9,12.93,70.69,3.5,9.14
707,5.7,61.4,10.94,83.55,3.5,9.14
710,2.3,152.17,9.87,92.6,3.5,9.14
727,3.6,97.22,10.54,86.72,3.5,9.14
730,3.3,106.06,11.59,78.86,3.5,9.14
740,3.2,109.38,9.84,92.89,3.5,9.14
741,6.9,50.72,9.6,95.21,3.5,9.14
746,1.9,184.21,9.33,97.96,3.5,9.14
751,2.2,159.09,7.51,121.7,3.5,9.14
756,3.2,109.38,11.76,77.72,3.5,9.14
760,3.4,102.94,8.64,105.79,3.5,9.14
766,3.0,116.67,11.5,79.48,3.5,9.14
773,5.8,60.34,9.41,97.13,3.5,9.14
779,3.9,89.74,10.81,84.55,3.5,9.14
787,4.1,85.37,9.39,97.34,3.5,9.14
791,2.9,120.69,9.34,97.86,3.5,9.14
810,5.1,68.63,11.14,82.05,3.5,9.14
813,6.2,56.45,10.88,84.01,3.5,9.14
820,4.2,83.33,11.31,80.81,3.5,9.14
825,2.9,120.69,10.59,86.31,3.5,9.14
840,3.1,112.9,6.88,132.85,3.5,9.14
846,3.9,89.74,11.39,80.25,3.5,9.14
849,4.9,71.43,12.62,72.42,3.5,9.14
851,3.6,97.22,7.08,129.1,3.5,9.14
860,5.3,66.04,10.91,83.78,3.5,9.14
