kystvand_id,kystvand_navn,nedstroems_id,areal_helopland_km2,statusbelastning_ton_n,baselinebelastning_2027_ton_n,maalbelastning_ton_n,status_pct_af_maal,kaede_pct_af_maal
1,"Roskilde Fjord, ydre",200,1178.1,986.9,935.5,615.8,160.3,183.3
2,"Roskilde Fjord, indre",1,448.9,470.2,449.5,425.4,110.5,183.3
6,Nordlige Øresund,,595.7,1191.1,1135.4,1149.1,103.7,103.7
16,Korsør Nor,206,30.0,26.9,25.2,24.9,108.0,114.7
17,Basnæs Nor,206,39.8,86.1,83.5,51.7,166.5,166.5
18,Holsteinborg Nor,206,19.0,29.4,27.6,25.7,114.4,114.7
24,"Isefjord, ydre",200,766.2,1130.0,1054.6,742.3,152.2,183.3
25,Skælskør Fjord og Nor,206,26.1,42.6,41.5,35.7,119.3,119.3
28,Sejerø Bugt,,314.0,239.4,217.3,197.6,121.2,121.2
29,Kalundborg Fjord,,64.5,75.7,70.8,60.7,124.7,124.7
34,"Smålandsfarvandet, syd",,434.1,790.2,758.7,542.8,145.6,145.6
35,Karrebæk Fjord,206,1105.6,1327.0,1214.1,1026.6,129.3,129.3
36,Dybsø Fjord,206,43.6,80.7,76.3,59.0,136.8,136.8
37,Avnø Fjord,206,137.4,246.2,240.7,183.2,134.4,134.4
38,Guldborgsund,,263.1,426.1,411.0,373.7,114.0,114.0
44,Hjelm Bugt,,106.0,128.5,121.9,87.1,147.5,147.5
45,Grønsund,,192.5,365.7,355.2,222.3,164.5,164.5
46,Fakse Bugt,,368.6,695.5,676.5,584.6,119.0,119.0
47,Præstø Fjord,46,150.4,281.0,279.3,157.9,178.0,178.0
48,Stege Bugt,,230.6,391.0,373.6,297.9,131.3,131.3
49,Stege Nor,48,18.0,42.7,43.3,18.7,228.3,228.3
56,"Østersøen, Bornholm",,589.3,919.9,880.6,938.9,98.0,98.0
57,"Østersøen, Christiansø",,0.4,1.2,1.2,,,
59,Nærå Strand,219,74.1,107.6,102.1,34.5,311.9,311.9
62,Lillestrand,219,14.6,10.3,8.0,5.3,194.3,194.3
68,Lindelse Nor,214,31.6,39.7,37.9,,,180.4
72,Kløven,214,26.3,15.6,11.3,13.4,116.4,180.4
74,Bredningen,217,111.3,135.6,115.9,64.6,209.9,209.9
80,Gamborg Fjord,231,53.3,90.2,86.0,76.1,118.5,238.8
82,Aborg Minde Nor,217,83.7,147.2,139.8,52.2,282.0,282.0
83,Holckenhavn Fjord,86,221.3,291.7,255.6,122.3,238.5,238.5
84,Kerteminde Fjord,96,36.0,48.4,47.2,35.1,137.9,183.4
85,Kertinge Nor,84,17.3,24.3,24.1,18.2,133.5,183.4
86,Nyborg Fjord,90,241.6,319.1,281.1,215.5,148.1,148.1
87,Helnæs Bugt,216,183.3,193.0,174.6,126.7,152.3,152.3
89,Lunkebugten,90,17.8,19.5,19.5,,,122.2
