kommune_kode,kommune_navn,pct_god_tilstand,antal_vandomraader,vandkvalitet_ratio,overfladevand_ref
101,København,6.25,16,99.56,5.8382
147,Frederiksberg,0.0,1,106.2,5.8382
151,Ballerup,0.0,13,106.2,5.8382
153,Brøndby,33.33,3,70.8,5.8382
155,Dragør,0.0,1,106.2,5.8382
157,Gentofte,0.0,3,106.2,5.8382
159,Gladsaxe,0.0,4,106.2,5.8382
161,Glostrup,0.0,3,106.2,5.8382
163,Herlev,0.0,2,106.2,5.8382
165,Albertslund,0.0,5,106.2,5.8382
167,Hvidovre,0.0,1,106.2,5.8382
169,Høje-Taastrup,14.29,14,91.02,5.8382
173,Lyngby-Taarbæk,0.0,8,106.2,5.8382
175,Rødovre,0.0,1,106.2,5.8382
183,Ishøj,16.67,6,88.5,5.8382
185,Tårnby,66.67,6,35.4,5.8382
187,Vallensbæk,0.0,1,106.2,5.8382
190,Furesø,0.0,15,106.2,5.8382
201,Allerød,5.88,17,99.96,5.8382
210,Fredensborg,4.55,22,101.37,5.8382
217,Helsingør,0.0,26,106.2,5.8382
219,Hillerød,10.87,46,94.66,5.8382
223,Hørsholm,0.0,9,106.2,5.8382
230,Rudersdal,5.26,19,100.61,5.8382
240,Egedal,2.33,43,103.73,5.8382
250,Frederikssund,6.67,30,99.12,5.8382
253,Greve,6.67,15,99.12,5.8382
259,Køge,0.0,37,106.2,5.8382
260,Halsnæs,12.5,8,92.93,5.8382
265,Roskilde,4.88,41,101.02,5.8382
269,Solrød,7.14,14,98.62,5.8382
270,Gribskov,5.56,54,100.3,5.8382
306,Odsherred,2.94,34,103.08,5.8382
316,Holbæk,2.04,98,104.03,5.8382
320,Faxe,5.77,104,100.07,5.8382
326,Kalundborg,10.13,79,95.44,5.8382
329,Ringsted,1.67,60,104.43,5.8382
330,Slagelse,1.79,56,104.3,5.8382
336,Stevns,0.0,35,106.2,5.8382
340,Sorø,7.79,77,97.93,5.8382
350,Lejre,0.0,56,106.2,5.8382
360,Lolland,1.64,61,104.46,5.8382
370,Næstved,2.22,135,103.84,5.8382
376,Guldborgsund,0.87,115,105.28,5.8382
390,Vordingborg,2.04,98,104.03,5.8382
400,Bornholm,6.58,152,99.21,5.8382
410,Middelfart,0.0,92,106.2,5.8382
420,Assens,1.47,136,104.64,5.8382
430,Faaborg-Midtfyn,3.57,196,102.41,5.8382
440,Kerteminde,0.0,25,106.2,5.8382
450,Nyborg,1.37,73,104.75,5.8382
461,Odense,2.38,84,103.67,5.8382
479,Svendborg,2.54,118,103.5,5.8382
480,Nordfyns,0.0,77,106.2,5.8382
482,Langeland,18.18,11,86.89,5.8382
492,Ærø,0.0,14,106.2,5.8382
510,Haderslev,3.8,158,102.16,5.8382
530,Billund,1.33,75,104.79,5.8382
540,Sønderborg,3.3,91,102.7,5.8382
550,Tønder,9.79,143,95.8,5.8382
561,Esbjerg,0.71,141,105.45,5.8382
563,Fanø,100.0,1,0.0,5.8382
573,Varde,3.56,225,102.42,5.8382
575,Vejen,2.93,205,103.09,5.8382
580,Aabenraa,11.43,140,94.06,5.8382
607,Fredericia,0.0,39,106.2,5.8382
615,Horsens,6.1,164,99.72,5.8382
621,Kolding,2.87,174,103.15,5.8382
630,Vejle,11.88,320,93.58,5.8382
657,Herning,8.54,199,97.13,5.8382
661,Holstebro,2.04,147,104.03,5.8382
665,Lemvig,5.21,96,100.67,5.8382
671,Struer,12.5,40,92.93,5.8382
706,Syddjurs,6.67,210,99.12,5.8382
707,Norddjurs,0.0,91,106.2,5.8382
710,Favrskov,2.3,217,103.76,5.8382
727,Odder,0.0,81,106.2,5.8382
730,Randers,1.9,158,104.18,5.8382
740,Silkeborg,16.67,270,88.5,5.8382
741,Samsø,0.0,5,106.2,5.8382
746,Skanderborg,24.39,205,80.3,5.8382
751,Aarhus,0.55,183,105.62,5.8382
756,Ikast-Brande,12.5,104,92.93,5.8382
760,Ringkøbing-Skjern,5.91,186,99.92,5.8382
766,Hedensted,1.42,141,104.69,5.8382
773,Morsø,1.82,55,104.27,5.8382
779,Skive,5.11,137,100.77,5.8382
787,Thisted,17.16,134,87.98,5.8382
791,Viborg,8.94,235,96.71,5.8382
810,Brønderslev,0.0,110,106.2,5.8382
813,Frederikshavn,2.38,168,103.67,5.8382
820,Vesthimmerlands,3.05,131,102.96,5.8382
825,Læsø,0.0,4,106.2,5.8382
840,Rebild,2.61,153,103.43,5.8382
846,Mariagerfjord,7.14,154,98.62,5.8382
849,Jammerbugt,9.09,77,96.55,5.8382
851,Aalborg,5.97,134,99.86,5.8382
860,Hjørring,1.16,173,104.97,5.8382
