kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,vacant_housing_ratio,social_avg,overall_avg
101,København,101.2,118.5,105.3,98.7,89.2,87.5,95.1,99.36,99.36
147,Frederiksberg,103.1,132.4,115.2,99.1,85.3,82.1,97.8,102.14,102.14
151,Ballerup,100.5,105.2,101.8,100.3,97.5,98.2,99.1,100.37,100.37
153,Brøndby,97.2,88.5,92.1,96.8,95.3,96.5,98.7,95.01,95.01
155,Dragør,103.8,112.5,118.3,101.2,102.5,103.1,101.5,106.13,106.13
157,Gentofte,105.2,135.8,142.5,101.5,78.2,72.5,99.8,105.07,105.07
159,Gladsaxe,100.8,108.3,103.5,100.1,94.8,95.2,98.5,100.17,100.17
161,Glostrup,99.5,98.2,100.1,99.8,98.5,99.1,97.8,99.0,99.0
163,Herlev,100.1,103.5,101.2,100.5,97.2,97.8,99.2,99.93,99.93
165,Albertslund,97.8,89.5,91.5,97.2,93.5,94.8,97.5,94.54,94.54
167,Hvidovre,99.2,98.8,97.5,99.5,96.8,97.2,98.1,98.16,98.16
169,Høje-Taastrup,98.5,92.5,95.8,98.2,94.2,95.5,97.2,96.0,96.0
173,Lyngby-Taarbæk,104.5,130.2,135.8,101.2,82.5,78.2,99.5,104.56,104.56
175,Rødovre,99.1,96.5,96.2,99.2,96.5,97.1,98.2,97.54,97.54
183,Ishøj,96.2,82.5,85.2,95.5,90.1,92.5,96.8,91.26,91.26
185,Tårnby,99.8,98.5,100.5,100.2,98.2,98.5,98.8,99.21,99.21
187,Vallensbæk,101.5,108.2,110.5,101.8,100.5,101.2,100.8,103.5,103.5
190,Furesø,103.2,118.5,120.2,101.5,98.5,95.8,100.2,105.41,105.41
201,Allerød,104.1,120.5,125.8,102.1,101.2,100.5,100.5,107.81,107.81
210,Fredensborg,101.8,108.2,110.5,100.5,96.8,95.2,99.5,101.79,101.79
217,Helsingør,100.5,102.5,103.2,99.8,97.2,97.5,98.2,99.84,99.84
219,Hillerød,102.1,112.8,108.5,101.2,99.5,98.8,99.8,103.24,103.24
223,Hørsholm,104.8,128.5,138.2,101.8,80.5,76.8,100.2,104.4,104.4
230,Rudersdal,105.5,132.5,140.2,101.5,79.8,75.2,100.5,105.03,105.03
240,Egedal,102.5,108.5,112.8,102.2,101.5,101.8,100.5,104.26,104.26
250,Frederikssund,100.2,98.5,100.8,100.1,99.2,99.5,99.5,99.69,99.69
253,Greve,101.8,105.2,108.5,101.5,100.2,100.5,100.1,102.54,102.54
259,Køge,100.5,100.2,101.5,100.8,99.5,99.8,99.2,100.21,100.21
260,Halsnæs,98.5,90.2,92.5,97.8,96.5,97.2,97.5,95.74,95.74
265,Roskilde,102.8,115.5,112.2,101.5,98.2,96.5,99.8,103.79,103.79
269,Solrød,102.2,108.8,115.5,102.1,101.8,102.2,100.8,104.77,104.77
270,Gribskov,100.1,95.5,98.2,98.5,97.8,98.5,95.8,97.77,97.77
306,Odsherred,97.5,82.8,88.5,95.2,95.8,97.2,88.5,92.21,92.21
316,Holbæk,98.8,92.5,95.2,98.5,97.2,98.1,95.5,96.54,96.54
320,Faxe,99.1,90.8,94.5,98.8,98.2,99.1,96.2,96.67,96.67
326,Kalundborg,98.2,88.5,93.2,97.5,97.8,98.5,92.5,95.17,95.17
329,Ringsted,99.5,95.2,98.5,99.8,99.1,99.5,97.8,98.49,98.49
330,Slagelse,97.8,88.2,92.5,96.8,95.5,96.8,94.2,94.54,94.54
336,Stevns,99.2,88.5,95.2,98.5,99.5,100.2,94.5,96.51,96.51
340,Sorø,99.8,95.8,98.8,99.5,99.2,99.8,96.8,98.53,98.53
350,Lejre,101.5,105.2,108.5,101.2,101.2,101.5,99.5,102.66,102.66
