kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,low_income_ratio,vacant_housing_ratio,kultur_spending_ratio,civil_society_ratio,ve_capacity_mw_ratio,life_expectancy_raw,education_raw,disposable_income_raw,employment_raw,child_poverty_raw,gini_raw,low_income_raw,vacant_housing_raw,kultur_spending_raw,civil_society_raw,ve_capacity_mw_raw,social_avg,ecological_avg,overall_avg
175,Rødovre,99.63,65.68,98.07,101.94,87.76,115.57,79.17,204.89,82.55,485.14,,81.3,62.4,282144.0,78.9,4.9,26.33,4.8,3.07,388.0,359.0,0.0,142.04,,142.04
155,Dragør,102.33,65.98,130.65,108.53,252.94,105.44,211.11,245.7,49.79,144.59,,83.5,62.68,375847.0,84.0,1.7,28.86,1.8,2.56,234.0,107.0,0.0,141.71,,141.71
153,Brøndby,98.53,64.64,87.31,95.35,50.0,116.32,55.07,240.08,127.02,477.03,,80.4,61.41,251169.0,73.8,8.6,26.16,6.9,2.62,597.0,353.0,0.0,141.14,,141.14
201,Allerød,102.82,59.89,126.38,108.91,238.89,111.51,211.11,190.61,109.15,66.22,,83.9,56.9,363562.0,84.3,1.8,27.29,1.8,3.3,513.0,49.0,0.0,132.55,,132.55
190,Furesø,101.96,53.73,129.17,106.2,153.57,101.03,140.74,186.09,134.04,214.86,,83.2,51.04,371605.0,82.2,2.8,30.12,2.7,3.38,630.0,159.0,0.0,132.14,,132.14
230,Rudersdal,102.82,49.0,187.14,103.36,179.17,64.32,172.73,121.9,106.6,204.05,,83.9,46.55,538360.0,80.0,2.4,47.31,2.2,5.16,501.0,151.0,0.0,129.11,,129.11
269,Solrød,102.08,74.58,117.06,109.17,238.89,111.79,190.0,243.8,19.36,66.22,,83.3,70.85,336771.0,84.5,1.8,27.22,2.0,2.58,91.0,49.0,0.0,127.29,,127.29
240,Egedal,101.72,71.65,111.09,109.17,226.32,127.59,180.95,206.91,31.49,78.38,,83.0,68.07,319596.0,84.5,1.9,23.85,2.1,3.04,148.0,58.0,0.0,124.53,,124.53
157,Gentofte,103.06,51.16,198.25,101.16,179.17,62.05,135.71,110.93,111.91,178.38,,84.1,48.6,570329.0,78.3,2.4,49.04,2.8,5.67,526.0,132.0,0.0,123.18,,123.18
746,Skanderborg,101.72,66.65,107.0,106.72,204.76,121.67,200.0,157.25,74.04,85.14,,83.0,63.32,307806.0,82.6,2.1,25.01,1.9,4.0,348.0,63.0,0.0,122.5,,122.5
265,Roskilde,100.74,67.09,112.46,103.62,179.17,102.84,152.0,162.11,109.57,128.38,,82.2,63.74,323534.0,80.2,2.4,29.59,2.5,3.88,515.0,95.0,0.0,121.8,,121.8
185,Tårnby,99.51,68.39,104.24,103.88,116.22,122.11,105.56,264.29,64.68,168.92,,81.2,64.97,299878.0,80.4,3.7,24.92,3.6,2.38,304.0,125.0,0.0,121.78,,121.78
167,Hvidovre,99.51,66.18,98.85,101.81,113.16,117.76,102.7,231.25,115.96,160.81,,81.2,62.87,284383.0,78.8,3.8,25.84,3.7,2.72,545.0,119.0,0.0,120.8,,120.8
223,Hørsholm,102.45,61.35,157.3,105.17,159.26,75.94,165.22,131.32,128.94,109.46,,83.6,58.28,452520.0,81.4,2.7,40.07,2.3,4.79,606.0,81.0,0.0,119.64,,119.64
151,Ballerup,99.51,65.76,99.08,100.0,104.88,113.88,102.7,219.93,115.96,170.27,,81.2,62.47,285035.0,77.4,4.1,26.72,3.7,2.86,545.0,126.0,0.0,119.2,,119.2
350,Lejre,101.84,70.15,106.12,105.81,148.28,119.99,152.0,160.05,78.72,135.14,,83.1,66.64,305283.0,81.9,2.9,25.36,2.5,3.93,370.0,100.0,0.0,117.81,,117.81
