kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,vacant_housing_ratio,social_avg,ecological_avg,overall_avg
185,Tårnby,99.51,68.39,104.24,103.88,122.11,122.11,264.29,126.36,,126.36
269,Solrød,102.08,74.58,117.06,109.17,111.79,111.79,243.8,124.32,,124.32
155,Dragør,102.33,65.98,130.65,108.53,105.44,105.44,245.7,123.44,,123.44
240,Egedal,101.72,71.65,111.09,109.17,127.59,127.59,206.91,122.25,,122.25
183,Ishøj,97.67,64.54,86.3,95.61,122.31,122.31,250.6,119.91,,119.91
167,Hvidovre,99.51,66.18,98.85,101.81,117.76,117.76,231.25,119.02,,119.02
253,Greve,100.74,71.03,106.56,105.04,115.48,115.48,213.95,118.33,,118.33
187,Vallensbæk,101.84,65.76,103.78,105.17,113.97,113.97,222.26,118.11,,118.11
153,Brøndby,98.53,64.64,87.31,95.35,116.32,116.32,240.08,116.94,,116.94
151,Ballerup,99.51,65.76,99.08,100.0,113.88,113.88,219.93,116.01,,116.01
201,Allerød,102.82,59.89,126.38,108.91,111.51,111.51,190.61,115.95,,115.95
175,Rødovre,99.63,65.68,98.07,101.94,115.57,115.57,204.89,114.48,,114.48
350,Lejre,101.84,70.15,106.12,105.81,119.99,119.99,160.05,111.99,,111.99
746,Skanderborg,101.72,66.65,107.0,106.72,121.67,121.67,157.25,111.81,,111.81
190,Furesø,101.96,53.73,129.17,106.2,101.03,101.03,186.09,111.32,,111.32
259,Køge,99.39,71.01,101.45,102.33,115.4,115.4,170.0,110.71,,110.71
250,Frederikssund,99.75,73.38,98.9,103.49,116.55,116.55,165.96,110.65,,110.65
710,Favrskov,101.23,68.89,99.12,105.81,124.66,124.66,143.61,109.71,,109.71
329,Ringsted,99.75,72.75,95.88,100.78,121.38,121.38,155.69,109.66,,109.66
159,Gladsaxe,100.0,56.84,107.9,101.55,103.68,103.68,191.19,109.26,,109.26
219,Hillerød,101.1,67.31,111.31,105.56,109.22,109.22,157.25,108.71,,108.71
260,Halsnæs,98.77,71.98,93.2,99.74,124.66,124.66,145.94,108.42,,108.42
370,Næstved,98.9,73.82,92.09,100.0,120.56,120.56,146.62,107.51,,107.51
265,Roskilde,100.74,67.09,112.46,103.62,102.84,102.84,162.11,107.39,,107.39
163,Herlev,98.65,66.49,101.25,101.29,112.08,112.08,155.31,106.74,,106.74
727,Odder,102.33,72.13,96.57,102.2,123.2,123.2,126.81,106.63,,106.63
161,Glostrup,99.39,66.86,97.48,101.94,116.15,116.15,148.0,106.57,,106.57
316,Holbæk,99.51,72.2,96.59,101.29,119.61,119.61,127.07,105.13,,105.13
210,Fredensborg,100.61,61.78,119.78,103.36,92.89,92.89,163.8,105.02,,105.02
766,Hedensted,100.74,76.02,96.13,105.94,123.8,123.8,107.34,104.82,,104.82
147,Frederiksberg,101.23,44.12,119.86,102.45,83.28,83.28,199.05,104.75,,104.75
320,Faxe,99.39,71.66,91.27,100.65,126.32,126.32,109.58,103.6,,103.6
340,Sorø,99.02,68.49,96.09,100.39,120.95,120.95,117.57,103.35,,103.35
740,Silkeborg,101.23,70.84,100.65,103.75,113.38,113.38,118.01,103.03,,103.03
270,Gribskov,100.25,71.36,101.79,102.84,109.93,109.93,121.9,102.57,,102.57
336,Stevns,99.51,71.48,96.39,102.45,122.85,122.85,100.8,102.33,,102.33
169,Høje-Taastrup,100.12,65.48,93.77,100.78,119.94,119.94,114.99,102.15,,102.15
615,Horsens,99.88,72.41,94.21,101.42,119.47,119.47,103.62,101.5,,101.5
840,Rebild,100.37,72.88,101.46,107.24,117.63,117.63,92.91,101.45,,101.45
217,Helsingør,99.75,67.45,107.82,101.16,99.61,99.61,134.4,101.4,,101.4
223,Hørsholm,102.45,61.35,157.3,105.17,75.94,75.94,131.32,101.35,,101.35
410,Middelfart,100.25,73.56,99.37,103.36,111.1,111.1,109.39,101.16,,101.16
440,Kerteminde,101.23,72.83,93.09,100.26,112.58,112.58,113.13,100.81,,100.81
430,Faaborg-Midtfyn,100.0,76.15,88.38,98.97,128.02,128.02,86.05,100.8,,100.8
630,Vejle,100.49,68.79,101.25,103.1,109.54,109.54,110.16,100.41,,100.41
450,Nyborg,99.63,69.39,89.14,95.87,121.72,121.72,103.97,100.21,,100.21
607,Fredericia,99.51,72.09,93.43,97.93,114.79,114.79,107.34,99.98,,99.98
480,Nordfyns,99.51,72.92,87.62,98.58,122.7,122.7,90.24,99.18,,99.18
420,Assens,99.02,73.32,87.87,98.58,124.41,124.41,86.4,99.14,,99.14
230,Rudersdal,102.82,49.0,187.14,103.36,64.32,64.32,121.9,98.98,,98.98
561,Esbjerg,99.02,74.33,95.47,101.16,112.66,112.66,95.16,98.64,,98.64
756,Ikast-Brande,100.12,73.59,92.39,99.48,113.16,113.16,97.52,98.49,,98.49
479,Svendborg,99.63,73.2,91.76,95.35,113.0,113.0,103.28,98.46,,98.46
157,Gentofte,103.06,51.16,198.25,101.16,62.05,62.05,110.93,98.38,,98.38
730,Randers,99.02,73.96,89.32,97.93,116.28,116.28,94.73,98.22,,98.22
330,Slagelse,98.65,68.59,89.38,97.03,119.85,119.85,92.77,98.02,,98.02
661,Holstebro,100.12,77.45,93.6,103.1,113.84,113.84,83.98,97.99,,97.99
657,Herning,100.25,76.09,94.96,102.58,114.79,114.79,81.48,97.85,,97.85
173,Lyngby-Taarbæk,103.06,50.34,139.41,99.35,77.47,77.47,137.64,97.82,,97.82
751,Aarhus,100.98,58.34,97.88,95.99,91.03,91.03,148.7,97.71,,97.71
791,Viborg,100.49,71.71,93.16,100.52,116.72,116.72,84.32,97.66,,97.66
621,Kolding,100.49,70.79,95.66,101.29,111.67,111.67,91.03,97.51,,97.51
573,Varde,100.74,76.17,93.3,104.26,117.08,117.08,73.83,97.49,,97.49
530,Billund,100.74,71.48,99.69,102.97,109.42,109.42,81.37,96.44,,96.44
760,Ringkøbing-Skjern,100.49,74.62,93.9,104.52,113.0,113.0,73.74,96.18,,96.18
580,Aabenraa,99.88,72.54,90.25,97.29,108.14,108.14,96.47,96.1,,96.1
326,Kalundborg,98.41,66.24,94.87,97.42,113.12,113.12,88.47,95.95,,95.95
461,Odense,99.88,65.74,89.66,94.57,107.45,107.45,106.25,95.86,,95.86
706,Syddjurs,100.74,69.97,94.54,100.26,116.28,116.28,72.97,95.86,,95.86
810,Brønderslev,99.14,73.86,88.85,100.78,115.57,115.57,76.99,95.82,,95.82
510,Haderslev,100.0,71.24,87.26,98.71,116.15,116.15,81.06,95.8,,95.8
540,Sønderborg,100.12,70.65,88.89,95.87,110.9,110.9,90.24,95.37,,95.37
707,Norddjurs,99.14,75.93,86.73,97.03,120.09,120.09,68.22,95.32,,95.32
563,Fanø,,58.73,96.53,103.49,115.53,115.53,81.27,95.18,,95.18
846,Mariagerfjord,99.75,71.73,91.15,99.61,117.13,117.13,68.97,95.07,,95.07
400,Bornholm,99.14,74.56,84.44,96.25,126.63,126.63,54.04,94.53,,94.53
101,København,99.14,49.63,102.83,99.1,87.02,87.02,136.15,94.41,,94.41
851,Aalborg,99.39,64.28,92.79,97.8,106.44,106.44,93.46,94.37,,94.37
165,Albertslund,99.88,64.03,86.49,96.51,123.4,123.4,66.0,94.24,,94.24
306,Odsherred,98.53,67.0,86.99,95.35,120.85,120.85,69.12,94.1,,94.1
779,Skive,99.88,73.67,89.99,100.78,114.83,114.83,64.65,94.09,,94.09
849,Jammerbugt,99.63,72.77,88.48,100.13,118.17,118.17,51.14,92.64,,92.64
860,Hjørring,99.63,74.58,88.96,100.0,114.87,114.87,55.32,92.6,,92.6
376,Guldborgsund,97.3,69.39,85.55,95.22,118.68,118.68,61.49,92.33,,92.33
390,Vordingborg,97.92,69.67,88.27,96.51,117.76,117.76,57.23,92.16,,92.16
820,Vesthimmerlands,99.14,72.13,88.02,99.61,115.27,115.27,55.03,92.07,,92.07
671,Struer,99.26,70.97,88.53,98.84,112.33,112.33,61.01,91.9,,91.9
787,Thisted,98.9,70.62,87.92,100.65,115.18,115.18,54.41,91.84,,91.84
813,Frederikshavn,98.9,76.22,89.99,97.55,115.31,115.31,41.3,90.65,,90.65
575,Vejen,100.25,74.47,125.5,104.01,65.7,65.7,96.47,90.3,,90.3
773,Morsø,98.77,68.66,85.73,98.84,114.18,114.18,51.64,90.29,,90.29
550,Tønder,98.77,73.73,86.61,97.55,106.36,106.36,48.87,88.32,,88.32
665,Lemvig,99.75,74.86,94.96,102.2,101.81,101.81,42.76,88.31,,88.31
360,Lolland,96.32,66.32,81.84,89.41,115.05,115.05,42.19,86.6,,86.6
482,Langeland,99.26,70.24,79.65,91.73,120.42,120.42,23.48,86.46,,86.46
741,Samsø,,73.15,86.5,100.9,115.27,115.27,17.81,84.82,,84.82
825,Læsø,,70.18,83.62,97.67,119.76,119.76,17.64,84.77,,84.77
492,Ærø,,78.61,81.73,95.35,112.79,112.79,21.51,83.8,,83.8
